playerid,year,stint,tmid,w,l,sa,ga
valiqst01,2007,1,NYR,2,2,11,3
thomati01,2009,1,BOS,5,5,33,9
leclapa01,2005,1,CBS,4,2,18,4
fleurma01,2006,1,PIT,9,5,39,9
millery01,2006,1,BUF,10,4,46,9
thibajo01,2005,1,PIT,1,1,12,3
emeryra01,2006,1,OTT,1,4,19,8
labarja01,2011,1,PHO,0,2,11,7
theodjo01,2007,1,COL,6,1,28,6
raycran01,2009,1,VAN,2,1,12,6
leighmi01,2009,2,PHI,1,0,2,0
josepcu01,2008,1,TOR,2,1,11,3
budajpe01,2008,1,COL,7,4,35,13
auldal01,2008,1,OTT,2,4,25,9
fleurma01,2007,1,PIT,1,0,3,0
gerbema01,2007,1,OTT,2,2,16,5
turcoma01,2009,1,DAL,4,8,53,15
legacma01,2007,1,STL,2,3,17,4
dipieri01,2006,1,NYI,5,4,44,9
garonma01,2008,1,EDM,1,0,3,1
bironma01,2007,1,PHI,2,6,20,13
kiprumi01,2005,1,CAL,1,7,23,12
turcoma01,2006,1,DAL,8,4,46,11
millery01,2007,1,BUF,4,7,33,14
toskave01,2006,1,SJS,0,1,3,3
quickjo01,2010,1,LAK,10,0,44,8
clemmsc01,2011,1,FLO,2,3,20,7
vokouto01,2010,1,FLO,2,1,13,2
macdojo01,2011,1,DET,1,1,9,3
lalimpa01,2007,1,CHI,3,0,9,2
luongro01,2009,1,VAN,2,3,14,5
mcelhcu01,2009,2,AND,1,2,8,4
bernijo01,2010,1,LAK,0,2,5,3
prusema01,2005,1,CBS,1,0,8,1
rinnepe01,2011,1,NAS,4,5,30,9
tellqmi01,2007,1,PHO,0,2,16,4
denisma01,2005,1,CBS,3,1,18,4
masonch02,2010,1,ATL,2,2,17,4
clemmsc01,2006,1,NJD,0,2,6,3
gigueje01,2006,1,AND,4,6,39,13
thomati01,2006,1,BOS,8,2,46,8
leclapa01,2006,1,CBS,1,1,15,4
clemmsc01,2010,1,FLO,2,6,23,12
bouchbr01,2009,1,PHI,1,2,7,4
toivoha01,2006,1,BOS,1,1,8,3
