playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
nedomva01,1982,1,NYR,NHL,r,1.0,1.0,0.0,1.0,0.0,,0,,0,,0,0,1,,,,,,,,,,,,
brownmi02,2008,1,VAN,NHL,r,20.0,0.0,1.0,1.0,85.0,-5,0,0,0,0,0,,6,,,,,,,,,,,,
faveldo01,1978,1,COR,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",7.0,0.0,1.0,1.0,17.0,0,0,,0,,0,0,0,,,,,,,,,,,,
gagnesi01,1999,1,PHI,NHL,С,80.0,20.0,28.0,48.0,22.0,11,8,13,1,0,4,0,159,17,5,5,10,2,0,2,2,0,0,1,34
senicge01,1952,1,NYR,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",13.0,2.0,3.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,
suthebr01,2008,2,DAL,NHL,С,42.0,5.0,4.0,9.0,52.0,-5,0,0,1,0,0,,50,,,,,,,,,,,,
ehrhoch01,2011,1,BUF,NHL,Да,66.0,5.0,27.0,32.0,47.0,-2,1,10,0,2,3,,136,,,,,,,,,,,,
biekske01,2009,1,VAN,NHL,Да,55.0,3.0,19.0,22.0,85.0,-5,1,6,0,0,0,,95,12,3,5,8,14,2,1,0,0,0,1,20
nichosi01,1915,1,VML,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
rutheji01,1970,1,DET,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",29.0,0.0,0.0,0.0,0.0,0,0,,0,,0,0,0,,,,,,,,,,,,
graharo02,1978,1,LAK,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",34.0,0.0,1.0,1.0,6.0,0,0,,0,,0,0,0,,,,,,,,,,,,
beverbi01,1942,1,NYR,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",17.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
