playerid,year,stint,tmid,w,l,sa,ga
hasekdo01,2005,1,OTT,2,4,16,6
holmqjo01,2007,1,TBL,1,0,4,1
bernijo01,2010,1,LAK,0,2,5,3
vokouto01,2010,1,FLO,2,1,13,2
bernijo01,2011,1,LAK,0,1,2,2
rinnepe01,2009,1,NAS,6,3,45,11
priceca01,2008,1,MTL,5,6,35,13
luongro01,2008,1,VAN,3,4,29,8
budajpe01,2005,1,COL,0,5,14,9
karlshe01,2010,1,CAL,1,3,11,5
hillejo01,2010,1,AND,4,2,26,4
backsni01,2008,1,MIN,5,2,21,5
vokouto01,2008,1,FLO,3,4,19,6
johnsbr02,2006,1,WAS,0,5,20,7
gigueje01,2010,1,TOR,2,2,15,7
shielst01,2005,1,ATL,0,1,2,1
drouije01,2008,1,EDM,1,0,3,0
theodjo01,2011,1,FLO,4,7,37,14
fleurma01,2009,1,PIT,6,2,23,6
legacma01,2006,1,STL,5,3,25,7
turcoma01,2009,1,DAL,4,8,53,15
aebisda01,2006,1,MTL,2,2,18,6
rinnepe01,2010,1,NAS,6,4,34,7
gigueje01,2006,1,AND,4,6,39,13
sanfocu01,2005,1,STL,3,5,25,10
bironma01,2007,1,PHI,2,6,20,13
marksja02,2011,1,FLO,0,1,3,1
raycran01,2006,1,TOR,3,6,32,13
ramoka01,2008,1,TBL,1,3,13,5
auldal01,2005,1,VAN,4,3,22,7
bironma01,2005,1,BUF,2,3,12,5
elliobr01,2010,1,OTT,0,4,8,6
fleurma01,2010,1,PIT,8,2,38,6
sabouda01,2007,1,PIT,4,1,26,6
wardca01,2011,1,CAR,1,4,14,6
theodjo01,2009,1,WAS,2,2,16,7
montoal01,2011,1,NYI,2,2,13,5
varlasi01,2010,1,WAS,1,2,8,3
mclenja01,2005,1,FLO,0,1,4,2
dunhami01,2006,1,NYI,1,1,8,3
halakja01,2006,1,MTL,2,0,8,2
emeryra01,2007,1,OTT,1,3,15,7
halakja01,2011,1,STL,3,7,32,9
bryzgil01,2010,1,PHO,4,5,32,11
brodema01,2009,1,NJD,6,4,31,9
ersbeer01,2007,1,LAK,1,1,10,2
macdojo01,2006,2,BOS,0,1,3,2
legacma01,2008,1,STL,3,1,13,4
thomati01,2006,1,BOS,8,2,46,8
nabokev01,2008,1,SJS,5,4,32,11
hillejo01,2009,1,AND,3,4,27,10
halakja01,2009,1,MTL,5,2,21,5
hedbejo01,2009,1,ATL,4,2,21,5
hardijo01,2008,1,MIN,0,1,2,1
lalimpa01,2005,1,STL,0,2,5,3
lehtoka01,2009,1,DAL,1,0,4,0
gigueje01,2009,2,TOR,1,2,8,4
smithmi02,2008,1,TBL,2,7,27,15
labarja01,2005,1,LAK,2,0,5,0
josepcu01,2005,1,PHO,3,2,19,6
poulike01,2010,1,NYI,0,1,3,2
andercr01,2009,1,COL,7,4,51,16
turcoma01,2008,1,DAL,5,6,43,16
nabokev01,2007,1,SJS,6,6,40,18
lundqhe01,2007,1,NYR,6,7,42,13
fleurma01,2005,1,PIT,0,2,5,4
huetcr01,2007,2,WAS,2,0,5,0
nabokev01,2009,1,SJS,6,6,50,13
denisma01,2006,1,TBL,4,1,20,2
millery01,2006,1,BUF,10,4,46,9
masonst01,2008,1,CBS,6,5,31,9
conklty01,2011,1,DET,1,0,3,0
budajpe01,2008,1,COL,7,4,35,13
pavelon01,2011,1,WPG,3,3,20,8
rinnepe01,2011,1,NAS,4,5,30,9
rasktu01,2010,1,BOS,1,1,5,2
sanfocu01,2007,1,VAN,0,1,4,2
tellqmi01,2007,1,PHO,0,2,16,4
bouchbr01,2010,1,PHI,2,3,20,8
theodjo01,2007,1,COL,6,1,28,6
bishobe01,2008,1,STL,0,1,4,2
niemian02,2010,1,SJS,3,5,28,8
hedbejo01,2010,1,NJD,2,1,11,3
labarja01,2010,1,PHO,1,1,5,2
prusema01,2005,1,CBS,1,0,8,1
raycran01,2010,1,DAL,2,0,6,1
