playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
millegr01,1980,1,PIT,NHL,63,3721,25,27,10,6,0,258,,5,325,2,3,,1,0,19,
paillma01,1962,1,NYR,NHL,3,180,0,1,2,,0,10,,,,,,,,,,
richate01,1978,1,STL,NHL,1,60,0,1,0,0,0,9,,,,,,,,,,
herrode01,1974,1,PIT,NHL,3,108,1,1,0,0,0,11,,,,,,,,,,
davidjo01,1977,1,NYR,NHL,34,1848,14,13,4,4,1,98,,2,122,1,1,,0,0,7,
legacma01,2007,1,STL,NHL,66,3666,27,25,8,6,5,147,1648,,,,,,,,,
fuhrgr01,1982,1,EDM,NHL,32,1803,13,12,5,4,0,129,974,1,11,0,0,,0,0,0,
nabokev01,2006,1,SJS,NHL,50,2778,25,16,4,4,7,106,1227,11,701,6,5,,1,1,26,323
healygl01,1988,1,LAK,NHL,48,2699,25,19,2,7,0,192,1509,3,97,0,1,,0,0,6,59
saloto01,1995,1,NYI,NHL,10,523,1,7,1,3,0,35,250,,,,,,,,,
millery01,2003,1,BUF,NHL,3,178,0,3,0,0,0,15,73,,,,,,,,,
hackeje01,2002,2,BOS,NHL,18,991,8,9,0,1,1,53,500,3,179,1,2,,2,0,5,76
melocgi01,1970,1,CHI,NHL,2,120,2,0,0,0,0,6,,,,,,,,,,
thompti01,1932,1,BOS,NHL,48,3000,25,15,8,,11,88,,5,438,2,3,0,,0,9,
wakeler01,1974,1,WIJ,WHA,6,355,3,3,0,0,1,16,213,,,,,,,,,
beaurst01,1989,1,WIN,NHL,19,1079,7,8,3,4,0,59,570,4,238,1,3,,0,0,12,105
roachjo01,1933,1,DET,NHL,19,1030,9,8,1,,1,45,,,,,,,,,,
rutheji01,1982,1,DET,NHL,1,60,0,1,0,0,0,7,39,,,,,,,,,
karakmi01,1945,1,CHI,NHL,48,2880,22,19,7,,1,166,,4,240,0,4,,,0,26,
fernama01,1998,1,DAL,NHL,1,60,0,1,0,0,0,2,29,,,,,,,,,
potvife01,1994,1,TOR,NHL,36,2144,15,13,7,6,0,104,1120,7,424,3,4,,2,1,20,253
johnsbr02,2003,2,PHO,NHL,8,486,1,6,1,0,0,21,243,,,,,,,,,
vokouto01,2000,1,NAS,NHL,37,2088,13,17,5,4,2,85,940,,,,,,,,,
sawchte01,1969,1,NYR,NHL,8,412,3,1,2,0,1,20,,3,80,0,1,,0,0,6,
esposto01,1971,1,CHI,NHL,48,2780,31,10,6,0,9,82,,5,300,2,3,,1,0,16,
smithmi02,2009,1,TBL,NHL,42,2273,13,18,7,3,2,117,1165,,,,,,,,,
wakalda01,1988,1,BUF,NHL,6,214,1,3,0,1,0,15,90,,,,,,,,,
