playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
scottga01,1923,2,HAM,NHL,R,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
devrigr01,2003,1,NYR,NHL,D,53.0,3.0,12.0,15.0,37.0,12,0,1,0,1,0,0,58,,,,,,,,,,,,
keonda01,1974,1,TOR,NHL,C,78.0,16.0,43.0,59.0,4.0,3,1,,1,,2,0,183,7,0,5,5,0,,0,,0,,0,
halwado01,1983,1,VAN,NHL,D,54.0,7.0,16.0,23.0,35.0,1,2,,0,,1,0,108,4,3,1,4,2,-4,2,,0,,0,10
wardja01,2006,1,NYR,NHL,R,46.0,4.0,6.0,10.0,26.0,-3,0,0,1,1,1,,68,,,,,,,,,,,,
schoeji01,1979,1,BUF,NHL,D,77.0,9.0,27.0,36.0,72.0,60,4,,0,,1,2,114,14,0,3,3,18,,0,,0,,0,
lowreed01,1920,1,HAM,NHL,F,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
watsoji01,1975,1,QUN,WHA,D,28.0,0.0,1.0,1.0,24.0,-21,0,,0,,0,,17,,,,,,,,,,,,
thomast01,1998,1,TOR,NHL,L,78.0,28.0,45.0,73.0,33.0,26,11,7,0,0,7,0,209,17,6,3,9,12,-1,2,0,0,0,1,41
hillmla01,1968,1,MNS,NHL,D,12.0,1.0,5.0,6.0,0.0,-8,1,,0,,0,0,20,,,,,,,,,,,,
svobope01,1991,2,BUF,NHL,D,13.0,1.0,6.0,7.0,52.0,-8,0,5,0,0,0,0,23,7,1,4,5,6,0,0,3,1,0,0,12
guerast01,1987,1,QUE,NHL,D,30.0,0.0,0.0,0.0,34.0,-7,0,0,0,0,0,0,12,,,,,,,,,,,,
jackmti01,2011,1,CAL,NHL,R,75.0,1.0,6.0,7.0,94.0,-21,0,0,0,0,0,,103,,,,,,,,,,,,
zyuzian01,2003,1,MIN,NHL,D,65.0,8.0,13.0,21.0,48.0,4,4,4,0,0,1,1,104,,,,,,,,,,,,
terrech01,1988,1,NJD,NHL,G,8.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
ellisro01,1979,1,TOR,NHL,R,59.0,12.0,11.0,23.0,6.0,-9,0,,1,,2,0,55,3,0,0,0,0,,0,,0,,0,
marchmu01,1933,1,CHI,NHL,R,48.0,4.0,13.0,17.0,26.0,,,,,,,,,8,2,2,4,6,,,,,,,
galbrpe01,1929,1,BOS,NHL,L,44.0,7.0,9.0,16.0,38.0,,,,,,,,,6,1,3,4,8,,,,,,,
goodfeb01,1938,1,DET,NHL,D,48.0,8.0,8.0,16.0,36.0,,,,,,,,,6,0,0,0,8,,,,,,,
bowneri01,1976,1,ATF,NHL,R,28.0,0.0,4.0,4.0,29.0,-9,0,,0,,0,0,21,,,,,,,,,,,,
vitaljo01,2011,1,PIT,NHL,C,68.0,4.0,10.0,14.0,56.0,-5,0,0,0,1,1,,70,4,0,0,0,12,-2,0,0,0,0,0,1
myrvoan01,2000,1,NYI,NHL,D,12.0,0.0,1.0,1.0,0.0,-2,0,1,0,0,0,0,8,,,,,,,,,,,,
salovba01,1975,1,DET,NHL,D,63.0,2.0,11.0,13.0,52.0,-7,1,,0,,1,0,57,,,,,,,,,,,,
simsal01,1974,1,BOS,NHL,D,75.0,4.0,8.0,12.0,73.0,29,0,,0,,0,0,102,,,,,,,,,,,,
dufoulu01,1984,1,QUE,NHL,L,30.0,2.0,3.0,5.0,27.0,-5,0,,0,,0,0,18,,,,,,,,,,,,
lynnvi01,1952,1,CHI,NHL,L,29.0,0.0,10.0,10.0,23.0,,,,,,,,,7,1,1,2,4,,,,,,,
steenth01,1993,1,WIN,NHL,C,76.0,19.0,32.0,51.0,32.0,-38,6,12,0,2,1,1,137,,,,,,,,,,,,
bailega01,1969,1,BOS,NHL,L,58.0,11.0,11.0,22.0,82.0,17,2,,0,,2,0,78,,,,,,,,,,,,
mathima01,1999,1,BOS,NHL,C,6.0,0.0,2.0,2.0,4.0,-2,0,0,0,0,0,0,3,,,,,,,,,,,,
healepa01,1996,1,PHI,NHL,R,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
evansst01,1933,2,MTM,NHL,D,27.0,4.0,2.0,6.0,35.0,,,,,,,,,4,0,0,0,4,,,,,,,
kellybo02,1975,1,PIT,NHL,L,77.0,25.0,30.0,55.0,149.0,4,5,,0,,4,0,193,3,0,0,0,2,,0,,0,,0,
yzermst01,1988,1,DET,NHL,C,80.0,65.0,90.0,155.0,61.0,17,17,29,3,5,7,2,388,6,5,5,10,2,-7,2,3,0,0,0,35
thomper01,1977,2,DET,NHL,L,14.0,5.0,1.0,6.0,2.0,-4,1,,0,,0,1,27,7,2,1,3,2,,1,,0,,1,
flatlpa01,1992,1,NYI,NHL,R,80.0,13.0,47.0,60.0,63.0,5,1,9,2,1,1,0,139,15,2,7,9,12,1,0,1,0,0,1,29
picarmi01,1991,1,HAR,NHL,L,25.0,3.0,5.0,8.0,6.0,-2,1,1,0,0,0,0,41,,,,,,,,,,,,
talboje01,1967,3,STL,NHL,D,23.0,0.0,4.0,4.0,2.0,3,0,,0,,0,0,29,17,0,2,2,8,,0,,0,,0,
murphro01,1956,1,NYR,NHL,L,33.0,7.0,12.0,19.0,14.0,,,,,,,,,5,0,0,0,0,,,,,,,
jarrypi01,1971,1,NYR,NHL,L,34.0,3.0,3.0,6.0,20.0,2,0,,0,,0,0,32,,,,,,,,,,,,
frasema01,2010,1,NJD,NHL,D,26.0,0.0,2.0,2.0,29.0,2,0,0,0,0,0,,16,,,,,,,,,,,,
muirbr01,1996,1,EDM,NHL,D,,,,,,,,,,,,,,5,0,0,0,4,-2,0,0,0,0,0,7
craigry01,2007,1,TBL,NHL,C,7.0,1.0,1.0,2.0,0.0,-1,1,0,0,0,0,,8,,,,,,,,,,,,
cotesy01,1987,1,HAR,NHL,D,67.0,7.0,21.0,28.0,30.0,-8,0,5,1,3,0,0,142,6,1,1,2,4,0,1,1,0,0,0,9
henryji01,1945,1,NYR,NHL,G,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
domiti01,2001,1,TOR,NHL,R,74.0,9.0,10.0,19.0,157.0,3,0,1,0,0,2,0,93,19,1,3,4,61,0,0,0,0,0,1,25
kudelbo01,1993,2,FLO,NHL,R,44.0,14.0,15.0,29.0,10.0,-8,5,6,0,0,2,1,124,,,,,,,,,,,,
lindgla01,1981,1,VAN,NHL,D,75.0,5.0,16.0,21.0,74.0,2,0,,0,,1,0,95,16,2,4,6,6,,0,,0,,0,
macswra01,1970,1,PHI,NHL,D,,,,,,,,,,,,,,4,0,0,0,2,,0,,0,,0,
gustabe01,1983,1,WAS,NHL,R,69.0,32.0,43.0,75.0,16.0,29,8,,0,,5,0,146,5,2,3,5,0,-4,2,,0,,0,15
kerrda01,1936,1,NYR,NHL,G,48.0,0.0,0.0,0.0,0.0,,,,,,,,,9,0,0,0,0,,,,,,,
sinisil01,1989,1,PHI,NHL,R,59.0,23.0,23.0,46.0,26.0,6,4,3,3,3,4,0,102,,,,,,,,,,,,
lupulga01,1980,1,VAN,NHL,C,7.0,0.0,2.0,2.0,2.0,-1,0,,0,,0,0,5,,,,,,,,,,,,
simpsre01,1998,1,CHI,NHL,L,53.0,5.0,4.0,9.0,145.0,2,1,0,0,0,0,0,23,,,,,,,,,,,,
primewa01,2003,1,SJS,NHL,L,72.0,9.0,20.0,29.0,90.0,4,0,2,1,3,1,0,142,17,1,2,3,4,-7,0,0,0,0,0,28
carsofr01,1930,1,NYA,NHL,R,44.0,6.0,7.0,13.0,36.0,,,,,,,,,,,,,,,,,,,,
bladoto01,1973,1,PHI,NHL,D,70.0,12.0,22.0,34.0,37.0,24,6,,0,,2,0,159,16,4,6,10,25,,3,,0,,1,
laraqge01,2005,1,EDM,NHL,R,72.0,2.0,10.0,12.0,73.0,-5,0,0,0,0,0,,50,15,1,1,2,44,2,0,0,0,0,0,6
archida01,1989,2,NYR,NHL,C,19.0,2.0,3.0,5.0,6.0,0,1,,0,0,0,0,30,,,,,,,,,,,,
bourqga01,2011,1,NAS,NHL,L,43.0,7.0,12.0,19.0,6.0,-2,0,0,0,0,1,,59,10,3,2,5,4,0,0,0,0,0,1,13
servige01,1987,1,MNS,NHL,L,5.0,0.0,0.0,0.0,0.0,-2,0,0,0,0,0,0,8,,,,,,,,,,,,
rozsimi01,2006,1,NYR,NHL,D,80.0,10.0,30.0,40.0,52.0,10,7,13,0,2,3,,104,10,3,4,7,10,6,2,4,0,0,1,18
sundspa01,1989,1,NJD,NHL,C,74.0,27.0,49.0,76.0,34.0,15,8,10,1,2,0,2,142,6,1,3,4,2,1,0,0,0,1,0,14
sobotvl01,2008,1,BOS,NHL,C,25.0,1.0,4.0,5.0,10.0,-10,0,0,0,0,0,,19,,,,,,,,,,,,
