river,country,province
Салуэн,МЬЯ,Мон
Токантины,КР,Пункт
Мурат,ТR,Элазиг
Прайт,MD,Молдова
Лукуга,ЗРЕ,Шаба/Катанга
Парана,РЭ,Энтр-Риос
Эннс,A,Нижняя Австрия
Река Аллегени,США,Пенсильвания
Тигр,ИРК,Аль-Анбар
Лена,Р,Республика Саха
Река Муррумбиджи,AUS,Новый Южный Уэльс
Ольт,RO,Ольт
Сенегал,РИМ,Мавритания
Убанги,ЗРЕ,Уравнение
Мёр,HR,Хорватия
Лимат,CH,АГ
Нил,ЕТ,Шаркия
Дон,Р,Ростовская область
Донау,RO,Тульцеа
Роун,F,Прованс Коте dAzur
Белый Нил,СУД,Аль-Хартум
Кимижоки,SF,Кими
Аллер,D,Нидераксен
Рио Мадейра,КР,Амазонки
Рио Сан-Хуан,НИК,Никарагуа
Бригач,D,Баден Вуртемберг
Шилка,Р,Читинская область
Чир,МПК,Тете
Куанго,ЗРЕ,Бандунду
Брег,D,Баден Вуртемберг
Темба,ГБ,Кент
Река Мерримак,США,Массачусетс
Оулуйоки,SF,Оулу
Тшуапа,ЗРЕ,Уравнение
Хванхо,ТДж,Шаньдун
Иллер,D,Баден Вуртемберг
Река Колумбия,США,Орегон
Гуадиана,E,Андалусия
Эльба,D,Нидераксен
Бусира,ЗРЕ,Уравнение
Куило,ЗРЕ,Бандунду
Гётаэльв,И,Готеборг ох Бохус
Прокрутка,Р,Ленинградская область
Шари,TCH,Чад
Иравадди,МЬЯ,Янгон
Река Колумбия,США,Вашингтон
Индус,ПК,Пакистан
Тибер,I,Лацио
Эннс,A,Верхняя Австрия
Река Святого Лоуренса,КН,Квебек
Западная Двина,ЛВ,Латвия
Чир,МПК,Замбезия
Теннесси,США,Кентукки
Река Ниагара,КН,Онтарио
Нил,ЕТ,Кафр-эш-Шейх
&lt; &lt; Шатт аль-Араб &gt; &gt;,ИРК,Аль-Анбар
Убанги,КБК,Конго
Рио Десагуадеро,БОЛ,Боливия
Остердалаэльв,И,Даларна
Река Грузовик,США,Невада
Белый кусок,AL,Австралия
Вёрм,D,Байерн
Маникуаган,КН,Квебек
Чатанга,Р,Красноярский крей
Вуокси,Р,Респондент Карелии
Вааг,SK,Словакия
Волга,Р,Астраханская область
Alz,D,Байерн
Лейн,D,Тюринген
Собачья,СУД,Aali a Nil
Река Маккензи,КН,Северо-западные территории
Бани,РММ,Мали
Etsch,I,Венето
Ква,ЗРЕ,Бандунду
Река Детройт,КН,Онтарио
Лех,D,Байерн
Рузизи,БИ,Бурунди
Сомнения,F,Бургонский
Иртыш,Р,Тюменская область
Янгце,ТДж,Шанхай (шум)
Нил,ЕТ,Думят
Бахр-эль-Джебель/Альберт-Нил,СУД,Aali a Nil
Виктория Нил,ЕАС,Уганда
Уэсер,D,Бремен
Уругвай,РЭ,Энтр-Риос
Вааль,RSA,Северный мыс
Сон,F,Рон-Алпес
