abbreviation,name,city,country,province,established
ЭСКАТО,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,ТА,Таиланд,1947-03-28
БДЭАК,Банк развития центральноафриканских государств,Браззавиль,КБК,Конго,1975-12-03
ZC,Комитет Цангера,,,,
ВОТ,Всемирная туристская организация,Мадрид,E,Мадрид,1975-01-02
ТСЮА,Таможенный союз южной части Африки,Претория,RSA,Гаутенг,1969-12-11
МЭА,Международное энергетическое агентство,Париж,F,Иль де Франция,1974-11-15
ОАТЭС,Организация арабских стран-экспортеров нефти,,,,1968-01-09
ОНВУП,Организация Объединенных Наций по наблюдению за выполнением условий перемирия,Иерусалим,Ил,Центральный,1948-05-01
ОЧЭС,Зона Черноморского экономического сотрудничества,,,,1992-06-25
Меркосур,Общий рынок стран Южного Конуса,Буэнос-Айрес,РЭ,Федеральный департамент,1991-03-26
ЕЭК,Европейская экономическая комиссия,Женева,CH,ГЭ,1947-03-28
СЕ,Совет Европы,Страсбург,F,Alsace,1949-05-05
ВМО,Всемирная метеорологическая организация,Женева,CH,ГЭ,1947-10-11
АКК,Арабский совет сотрудничества,,,,1989-02-16
АфБР,Африканский банк развития,Абиджан,CI,Кот-д &apos; Ивуар,1963-08-04
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,Аль-Хартум,1974-02-18
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
Группа 15,Группа 15,Женева,CH,ГЭ,
ОЭСР,Организация экономического сотрудничества и развития,Париж,F,Иль де Франция,1960-12-14
AMU,Союз арабского Магриба,Рабат,МЭТ,Марокко,1989-02-17
МООНГ,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
AL,Лига арабских государств,Каир,ЕТ,Эль-Кахира,1945-03-22
ИКАО,Международная организация гражданской авиации,Монреаль,КН,Квебек,1944-12-07
СБС,Совет государств Балтийского моря,,,,1992-03-05
БАПОР,Ближневосточное агентство Организации Объединенных Наций для помощи палестинским беженцам и организации работ,Вена,A,Вена,1949-12-08
МООНПР,Миссия Организации Объединенных Наций по оказанию помощи Руанде,Нью-Йорк,США,Нью-Йорк,1993-10-05
МАГАТЭ,Международное агентство по атомной энергии,Вена,A,Вена,1956-10-26
АГ,Андская группа,Лима,ПЭ,Лима,1969-05-26
АККТ,Агентство по культурному и техническому сотрудничеству,Париж,F,Иль де Франция,1970-03-21
Инмарсат,Международная организация подвижной спутниковой связи,Лондон,ГБ,Большой Лондон,1976-09-03
НИБ,Скандинавский инвестиционный банк,Хельсинки,SF,Уусимаа,1975-12-04
Г-10,Группа 10,Париж,F,Иль де Франция,1962-10-01
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ОВКГ,Организация восточнокарибских государств,Кастри,WL,Сент-Люсия,1981-06-18
АСЕАН,Ассоциация государств Юго-Восточной Азии,Джакарта,РИ,Индонезия,1967-08-09
НАТО,Организация Североатлантического договора,Брюссель,B,Брабант,1949-09-17
Группа 24,Группа 24,Брюссель,B,Брабант,1972-01-01
