name,country,province,population,longitude,latitude
Кастельон де ла Плана,E,Валенсия,139094.0,,
Маэбаши,J,Гумма,,,
Сопротивление,РЭ,Чако,292350.0,-59.0,-27.3
Троубридж,ГБ,Уилтшир,,,
Перт,AUS,Западная Австралия,1193000.0,115.85,-31.95
Брегенц,A,Ворарльберг,,9.45,47.3
Вокингем,ГБ,Беркшир,142900.0,,
Ньиргьяза,Н,Заболки Сатмар,115000.0,,
Порт Святого Петра,ГБГ,Гернси,,-2.6,49.6
Эль-Мансура,ЕТ,Эль-Дакалия,358000.0,,
Злин,CZ,Джигоморавский,198000.0,,
&lt; &lt; Юис де Фора &gt; &gt;,КР,Минас-Жерайс,423913.0,,
Желум,ПК,Пакистан,106462.0,,
Эссен,D,Нордрхейн Вестфален,617955.0,,
Ичун,ТДж,Цзянси,151585.0,,
Бейин,ТДж,Гансу,204970.0,,
Порт-Морсби,ПНГ,Папуа-Новая Гвинея,141500.0,147.15,-9.48333
Брно,CZ,Джигоморавский,393000.0,,
Мульмейн,МЬЯ,Мон,220000.0,,
Сьюдад Мадеро,МЕКС,Тамаулипас,160331.0,,
Тампере,SF,Хеме,170097.0,23.5,61.3
Возвращение,D,Баден Вуртемберг,107782.0,,
Арлон,B,Люксембург,23150.0,5.8,49.7
Диярбакир,ТR,Диярбакир,448300.0,,
Вихрь,США,Массачусетс,169759.0,-71.8667,42.2667
Брага,Р,Брага,63033.0,,
Гуакара,YV,Карабобо,100766.0,,
Лесоводство,ГБ,Эссекс,118200.0,,
Цзяозуо,ТДж,Хэнан,409100.0,,
Грациалы,HCA,Лемпира,,,
Брошюра &lt; &lt; Ллобрегат &gt; &gt;,E,Каталония,266242.0,,
Кефлавик,ИУ,Италия,6600.0,-22.5,64.0
Архангелск,Р,Архангельская область,374000.0,40.5333,64.55
Одинтово,Р,Московская область,129000.0,,
Либревиль,G,Габон,,9.3,0.3
Адияман,ТR,Адияман,128000.0,,
Арзам,Р,Нижегородская область,112000.0,,
Загорск,Р,Московская область,114000.0,,
Заанстрик,Нл,Норд Холланд,147917.0,,
Мараба,КР,Пункт,147030.0,,
Манзанильо,C,Бабушка,107650.0,,
Дармштадт,D,Гессен,139063.0,,
Напервиль,США,Иллинойс,85806.0,,
Экибастуз,KAZ,Павлодар,141100.0,,
Барри,ГБ,Долина Гламоргана,,,
Бейхай,ТДж,Гуанси Чжуангзу,112673.0,,
Язд,IR,Язд,306268.0,,
Эрланген,D,Байерн,101450.0,,
Монс,B,Hainaut,90720.0,4.5,50.4
Урава,J,Сайтама,,,
Тонги,БД,Бангладеш,181000.0,,
Кастело Бранко,Р,Кастело Бранко,,,
Тапачула,МЕКС,Чьяпас,138858.0,,
