name,islands,area,height,type,longitude,latitude
Сарденья,,24090.0,1834.0,,9.0,40.0
Маврикий,,1860.0,828.0,вулканическое,57.0,-20.0
Лолланд,,1241.0,,,11.5,54.4
Паней,Филиппины,12297.0,2117.0,,122.5,11.15
Корво,Азоры,17.5,718.0,вулканическое,-31.1,39.7
Борнео,Острова Сунда,743122.0,4101.0,,113.67,-0.2
Гранд-Тёрк,Острова Тёркс и Кайкос,14.0,20.0,,-71.08,21.28
Остров Уайт,Британские острова,381.0,,,-1.3,50.6
Ислай,Внутренние гебриды,619.6,491.0,,7.0,62.1
Корфу,Ионные острова,593.0,906.0,,19.8,39.6
Бишоп Рок,Шилли-Айлендс,,,,-6.3,50.0
Крета,,8331.0,2456.0,,25.0,37.0
Кракатау,Острова Сунда,,813.0,вулканическое,105.6,-6.1
Тенерифа,Канареи,2034.0,3718.0,вулканическое,-16.6,28.3
Церам,Молукканские острова,17100.0,3027.0,,128.0,-2.0
Ланай,Гавайские острова,364.0,1027.0,,-157.0,20.5
Остров Котельни,,11665.0,374.0,,141.0,75.4
Остров Рене Левассеур,,2020.0,952.0,,-68.7,51.4
Порту Санто,Мадейра,42.0,517.0,вулканическое,-16.35,33.0
Западный Фолкленд,Фолклендские острова,4532.0,700.0,,-60.1,-51.8
Манитулен,,2766.0,,,-82.2,45.75
Басс-Терре,Малые Антильские острова,848.0,1467.0,вулканическое,-61.8,16.15
Изабель,Галапагосские острова,5436.0,1707.0,вулканическое,-91.3,-1.0
Таити,Полинезийские острова,1045.0,2241.0,вулканическое,-149.34,-17.32
Окинава,Япония,2255.0,,вулканическое,128.0,26.0
Боркум,&quot; Ostfrisische Inseln &quot;,31.0,6.0,,6.7,53.6
Тобаго,Малые Антильские острова,301.0,576.0,,-60.7,11.25
Филикуди,Острова Липари,9.5,774.0,вулканическое,14.55,38.6
Гран-Терре,Малые Антильские острова,589.0,,вулканическое,-61.4,16.3
Кюсю,Япония,35640.0,1758.0,вулканическое,131.0,32.0
Каваратти,Лаккадии,6.0,2.0,,72.6,10.6
Мальта,Мальта,246.0,252.0,,14.5,35.9
Мадейра,Мадейра,794.0,1861.0,вулканическое,-16.0,31.0
