city,province,country,island
Хертфорд,Хертфордшир,ГБ,Великобритании
Мертир Тайдфил,Мертир Тайдфил,ГБ,Великобритании
Панкал Пинанг,Индонезия,РИ,Бангка
Ллангефни,Углы,ГБ,Углы
Семеноаки,Кент,ГБ,Великобритании
Брайтон,Восточный Сассекс,ГБ,Великобритании
Саутгемптон,Гэмпшир,ГБ,Великобритании
Окаяма,Окаяма,J,Хонсю
Рутин,Дэнбишир,ГБ,Великобритании
Сан-Хуан,Пуэрто-Рико,ПР,Пуэрто-Рико
Лландриндод Уэллс,Порошки,ГБ,Великобритании
Банда Ачех,Индонезия,РИ,Суматра
Пекалонган,Индонезия,РИ,Ява
Сува,Фиджи,ФСО,Вити Леву
Ливерпуль,Мерсисайд,ГБ,Великобритании
Басс-Терре,Гваделупа,ГРАД,Басс-Терре
Аяччо,Корс,F,Корс
Санта-Клара,Вилла Клара,C,Куба
Эббв Вэйл,Блейно Гвент,ГБ,Великобритании
Колония,Микронезия,ФШМ,Понапе
Маэбаши,Гумма,J,Хонсю
Ямагути,Ямагути,J,Хонсю
Гуантанамо,Гуантанамо,C,Куба
Торшавн,Фарерские острова,FARX,Стреймой
Семаранг,Индонезия,РИ,Ява
Джеймстаун,Остров Св. Елены,HELX,Остров Св. Елены
Магеланг,Индонезия,РИ,Ява
Кентербери,Кент,ГБ,Великобритании
Сьего де Авила,Сьего де Авила,C,Куба
Мацуяма,Эхим,J,Шикоку
Санья,Хайнан,ТДж,Хайнан
Фарем,Гэмпшир,ГБ,Великобритании
Кру,Чешир,ГБ,Великобритании
Понтянак,Индонезия,РИ,Борнео
Понта Дельгада,Азоры,Р,Сан Мигель
Нассау,Багамские Острова,BS,Новое Провидение
Эльмбридж,Суррей,ГБ,Великобритании
Кефлавик,Италия,ИУ,Италия
Маджуро,Маршалловы Острова,МГ,Маджуро
Нагано,Нагано,J,Хонсю
Беверли,Гумберсайд,ГБ,Великобритании
Слау,Беркшир,ГБ,Великобритании
Милтон Кейнс,Бекингемшир,ГБ,Великобритании
Глостер,Глостершир,ГБ,Великобритании
Урава,Сайтама,J,Хонсю
Матлок,Дербишир,ГБ,Великобритании
Окленд,Новая Зеландия,Новой Зеландии,Те Ика-а-Мауи (Северный остров)
Уджун Пандан,Индонезия,РИ,Сулавеси
Анциранана,Анциранана,РМ,Мадагаскар
Виктория-де-лас-тунас,Тунецы,C,Куба
Норвич,Норфолк,ГБ,Великобритании
Бинджай,Индонезия,РИ,Суматра
Санта-Крус де Тенерифе,Канарские острова,E,Тенерифа
Замбоанга,Филиппины,РП,Минданао
Фукусима,Фукусима,J,Хонсю
Баликпапан,Индонезия,РИ,Борнео
Сурабая,Индонезия,РИ,Ява
Байамо,Бабушка,C,Куба
Панчиао,Тайвань,КР,Тайвань
Понтипуль,Торфаен,ГБ,Великобритании
Короли Линн,Норфолк,ГБ,Великобритании
Ротерхем,Южный Йоркшир,ГБ,Великобритании
Фор-де-Франция,Мартиника,МАРТ,Мартиника
Дублин,Италия,IRL,Италия
Митилини,Верион &lt; &lt; Айяон &gt; &gt;,ГР,Лесбос
Дуглас,Мужчина,GBM,Остров Мэн
Виктория,Мальта,М,Гозо
Данди,Тэйсайд,ГБ,Великобритании
Саппоро,Хоккайдо,J,Хоккайдо
Дорчестер,Дорсет,ГБ,Великобритании
Кочи,Кочи,J,Шикоку
Горничный камень,Кент,ГБ,Великобритании
Утсономия,Точиги,J,Хонсю
Кингстон,Остров Норфолк,НОРФ,Остров Норфолк
Фукуока,Фукуока,J,Кюсю
Tunbridge Wells,Кент,ГБ,Великобритании
Фунафути,Тувалу,ТВЧ,Фонгафейл
Ньюкасл на Тайне,Тайн и Валяй.,ГБ,Великобритании
Кагаян де Оро,Филиппины,РП,Минданао
Кристчерч,Новая Зеландия,Новой Зеландии,Те Вака-а-Мауи (Южный остров)
Норталлертон,Северный Йоркшир,ГБ,Великобритании
Южно Сахалинск,Сахалинская область,Р,Сашалин
Гейтсхед,Тайн и Валяй.,ГБ,Великобритании
Святой Верхний,Джерси,GBJ,Джерси
Пазиг,Филиппины,РП,Лузон
Порт-Вила,Вануату,БУ,Эфат
Карлайл,Камбриа,ГБ,Великобритании
