country,population_growth,infant_mortality
МЕКС,1.87,25.0
СУД,3.48,76.0
ВРЕМЯ,1.93,7.5
СУА,2.48,50.7
AXA,2.27,3.52
Парень,-0.9,51.4
Нл,0.56,4.9
БИ,1.54,102.2
ОАЭ,4.33,20.4
RSA,1.76,48.8
НОРФ,,
F,0.34,5.3
V,,
МАКХ,1.15,5.3
TAD,1.54,113.1
МСП,1.6,29.3
КАМ,2.89,78.7
РТ,3.56,84.3
RG,1.85,134.1
СМАРТ,,
РИ,1.53,63.1
ЭАК,2.27,55.3
РИМ,3.17,81.7
РВА,16.49,118.8
ЛБ,2.13,108.1
КН,1.06,6.1
J,0.21,4.4
МПК,2.65,125.6
С.А.,3.45,46.4
АЗС,2.46,145.82
ПДТ,2.58,61.1
VN,1.57,38.4
SN,3.37,64.0
ZW,1.41,72.8
BS,1.05,23.3
К,0.82,40.26
ФЛ,1.08,5.3
ГУАМ,1.37,6.05
C,0.44,9.0
ГР,0.42,7.4
ПР,0.34,8.42
AL,1.34,49.2
Газа,4.55,30.6
ЛВ,-1.39,21.2
PL,0.14,12.4
RL,2.16,36.7
ДЖА,0.8,15.6
ФПОЛ,1.39,7.55
РОУ,3.53,27.3
М,1.01,6.9
ВАН,3.05,72.4
LAO,2.81,96.8
COCO,,
AFG,4.78,149.7
E,0.16,6.3
ОПП,-0.47,6.75
BF,2.53,117.8
ТУКА,2.56,13.89
