country,target
НКА,Кристиан
Парень,Кристиан
ВИРГ,Кристиан
J,нехристианские
AL,нехристианские
B,Кристиан
РИМ,нехристианские
RG,нехристианские
RL,нехристианские
ТТ,Кристиан
ДК,Кристиан
ЧР,Кристиан
МНП,Кристиан
ЭАК,Кристиан
БГ,Кристиан
ВАН,нехристианские
КБК,Кристиан
ТДж,нехристианские
ГЭ,Кристиан
JOR,нехристианские
LAO,нехристианские
SK,Кристиан
TN,нехристианские
ТМ,нехристианские
БРИН,нехристианские
РН,нехристианские
CI,нехристианские
ПЭ,Кристиан
ЛАР,нехристианские
ГНБ,нехристианские
PY,Кристиан
ГРАД,Кристиан
РМ,Кристиан
ARM,Кристиан
ЕС,Кристиан
КАМ,Кристиан
D,Кристиан
MS,нехристианские
К,Кристиан
KAZ,нехристианские
ГБЦ,Кристиан
БУ,Кристиан
РЧ,Кристиан
SF,Кристиан
КР,нехристианские
ВАЛ,нехристианские
AZ,нехристианские
М,Кристиан
СИН,нехристианские
ДЖА,Кристиан
ЛС,Кристиан
И ДОЛЖНОСТНЫЕ ЛИЦА,Кристиан
G,Кристиан
Клянусь!,Кристиан
БОЛ,Кристиан
ОАЭ,нехристианские
MK,Кристиан
РЭ,Кристиан
Юзеф,нехристианские
YV,Кристиан
БЕРМ,Кристиан
TAD,нехристианские
CV,Кристиан
ВАГ,нехристианские
СИР,нехристианские
CY,Кристиан
БиГ,нехристианские
АЗС,нехристианские
AXA,Кристиан
ФСО,Кристиан
ЛБ,нехристианские
МЭТ,нехристианские
ЕТ,нехристианские
SLO,Кристиан
МПК,Кристиан
KWT,нехристианские
БРУ,нехристианские
ФПОЛ,Кристиан
КР,Кристиан
МВт,Кристиан
E,Кристиан
NEP,нехристианские
