country,continent,percentage
AFG,Азия,100.0
ARM,Азия,100.0
AZ,Азия,100.0
БД,Азия,100.0
БВ,Азия,100.0
БРИН,Азия,100.0
БРУ,Азия,100.0
Кл,Азия,100.0
ЕТ,Азия,10.0
Газа,Азия,100.0
ГЭ,Азия,100.0
ХОНКС,Азия,100.0
Ил,Азия,100.0
СИН,Азия,100.0
IR,Азия,100.0
ИРК,Азия,100.0
J,Азия,100.0
JOR,Азия,100.0
К,Азия,100.0
KAZ,Азия,100.0
KGZ,Азия,100.0
KWT,Азия,100.0
LAO,Азия,100.0
МАКХ,Азия,100.0
ТЗА,Азия,100.0
МПГ,Азия,100.0
МВ,Азия,100.0
МЬЯ,Азия,100.0
NEP,Азия,100.0
Норк,Азия,100.0
РОУ,Азия,100.0
ПК,Азия,100.0
Q,Азия,100.0
Р,Азия,80.0
КР,Азия,100.0
РИ,Азия,80.0
RL,Азия,100.0
ОК,Азия,100.0
РП,Азия,100.0
С.А.,Азия,100.0
SGP,Азия,100.0
СИР,Азия,100.0
TAD,Азия,100.0
ТА,Азия,100.0
ТДж,Азия,100.0
ТЛ,Азия,100.0
ТМ,Азия,100.0
ТR,Азия,95.0
ОАЭ,Азия,100.0
Юзеф,Азия,100.0
VN,Азия,100.0
