island,country,province
Панорама,I,Калабрия
Питкэрн,ОМТС,Острова Питкэрн
Увеа,ВАФА,Уоллис и Футуна
Олкхон,Р,Республика Бурьятия
Лэнди,ГБ,Девон
Тутуила,АМСА,Американское Самоа
Лейт,РП,Филиппины
Испаньола,РЧ,Гаити
Эфат,БУ,Вануату
Кракатау,РИ,Индонезия
Пулау Панжанг,COCO,Острова Кокос
Князь острова Уэльс,КН,Северо-западные территории
Тобаго,ТТ,Тринидад и Тобаго
Великобритании,ГБ,Шропшир
Сокотра,ДА,Йемен
Сантьяго,CV,Кабо-Верде
Лефкас,ГР,Иониои Нисои
Вулкан,I,Калабрия
Биоко,GQ,Экваториальная Гвинея
"Оркни, материковая область",ГБ,Оркни
Куба,C,Ольгин
Чили,ДЖА,Чили
Лампедуза,I,Сицилия
Кайман Брак,Кейм,Каймановы острова
Хонсю,J,Фукусима
Остров принца Эдуарда,КН,Остров принца Эдуарда
Готландия,И,Готландия
Тайвань,КР,Тайвань
Лонг-Айленд,США,Нью-Йорк
Великобритании,ГБ,Северный Йоркшир
Майотта,Мэйо,Майотта
Остров Баффин,КН,Северо-западные территории
Батам,РИ,Индонезия
Гренада,РГ,Гренада
Остров Ванкувер,КН,Британская Колумбия
Великобритании,ГБ,Камбриа
Таити,ФПОЛ,Французская Полинезия
Тимор,РИ,Индонезия
Великобритании,ГБ,Бригенд
Великобритании,ГБ,Чешир
Гуам,ГУАМ,Гуам
Южный Андаман,СИН,Андаман и Никобар тоже.
Остров Норфолк,НОРФ,Остров Норфолк
Хонсю,J,Нара
Тенерифа,E,Канарские острова
Остров Кангару,AUS,Южная Австралия
Хоккайдо,J,Хоккайдо
Форментера,E,Балеарские острова
Хонсю,J,Яманаши
Бохол,РП,Филиппины
Шикоку,J,Кагава
Гран-Коморо,COM,Коморские Острова
Хонсю,J,Ибараки
Хонсю,J,Точиги
Тимор,ТЛ,Тимор-Лешти
Великобритании,ГБ,Верфь
Остров Уайт,ГБ,Остров Уайт
Рум,ГБ,Нагорья
Великобритании,ГБ,Центральный
Боркум,D,Нидераксен
Великобритании,ГБ,Нортгемптоншир
Южный Рональдси,ГБ,Оркни
Великобритании,ГБ,Норфолк
Остров Сан-Клементе,США,Калифорния
Мадагаскар,РМ,Толияра
Великобритании,ГБ,Нагорья
Тортола,БВИР,Британские Виргинские острова
Остров Эллесмир,КН,Северо-западные территории
Корфу,ГР,Иониои Нисои
Хонсю,J,Ямагути
Гвадалканал,SLB,Соломоновы Острова
Санта-Мария,Р,Азоры
Шикоку,J,Эхим
