sea1,sea2
Северное море,Норвежское море
Атлантический океан,Индийский океан
Южно-Китайское море,Море Сулавеси
Северный Ледовитый океан,Сибирианское море
Северный Ледовитый океан,Море Баренцев
Восточно-Китайское море,Желтое море
Атлантический океан,Северное море
Каттегат,Скагеррак
Атлантический океан,Ирландское море
Арабское море,Аденский залив
Андаманское море,Малаккский пролив
Андаманское море,Бенгальский залив
Аденский залив,Индийский океан
Тихоокеанский океан,Море Сулавеси
Северное море,Скагеррак
Восточно-Китайское море,Японское море
Тихоокеанский океан,Японское море
Индийский океан,Тихоокеанский океан
Беременное море,Тихоокеанский океан
Арабское море,Оманский залив
Малаккский пролив,Южно-Китайское море
Атлантический океан,Мексиканский залив
Тихоокеанский океан,Охотское море
Бенгальский залив,Сундское море
Балтийское море,Северное море
Восточно-Китайское море,Тихоокеанский океан
