lake,country,province
Озеро Виннипег,КН,Манитоба
Озеро Тоба,РИ,Индонезия
Озеро Кариба,Z,Южный
Озеро Тана,ЭТО,Эфиопия
Озеро Маракайбо,YV,Трухильо
Каспийское море,IR,Гилан
Валенерн,И,Вармленд
Лоп Нор,ТДж,Синьцзян Уйгур
Чадское озеро,ВАН,Нигерия
Лаго-ди-Больсена,I,Лацио
Туннели,CH,БУДЬ
Лак Леман,CH,VD
Озеро Оахе,США,Северная Дакота
Озеро Гурон,КН,Онтарио
Каспийское море,KAZ,Атырау
Озеро Нгами,РБ,Ботсвана
Верхнее озеро,КН,Онтарио
Лаго-ди-Бракьяно,I,Лацио
Ozero Baykal,Р,Иркутская область
Лак Леман,CH,ГЭ
Озеро Кебан,ТR,Тунсели
Озеро Танганджика,БИ,Бурунди
Озеро Мичиган,США,Иллинойс
Ozero Balchash,KAZ,Жезкацган
Озеро Босумтви,GH,Гана
Vierwaldstattersee,CH,УР
Озеро Иразу,ЧР,Картаго
Озеро Охрид,MK,Чешская Республика
Озеро Женезарет,Ил,Север
Атлинское озеро,КН,Территория Юкон
Саймаа,SF,Кими
Хамун и Джаз Мурьян,IR,Керман
Цюрихсэ,CH,SZ
&lt; &lt; Полиция &gt; &gt;,I,Венето
Озеро Окечоби,США,Флорида
Озеро Сесе Секо/Альбертзе,ЕАС,Уганда
Озеро Гурон,США,Мичиган
Ozero Onega,Р,Вологодская область
Vierwaldstattersee,CH,НО
Озеро Оахе,США,Южная Дакота
Мертвое море,ЗАХОД,Западный берег
Ozero Chanka,Р,Приморский крей
Арресо,ДК,Дания
Озеро Натрон,ЕАТ,Аруша
Жуй Бахир,ЭАК,Восточная
Какашки,БОЛ,Боливия
Пейджаенн,SF,Суоми
Озеро Эри,США,Огайо
Лак Леман,CH,VS
&lt; &lt; Полиция &gt; &gt;,I,Ломбардия
Озеро Шампанское,КН,Квебек
Пирамидское озеро,США,Невада
Озеро Виктория,ЕАС,Уганда
Чадское озеро,РН,Нигер
Озеро Кариба,ZW,Зимбабве
Хамун и Джаз Мурьян,IR,Систан и Белучестан
Озеро Танганджика,ЕАТ,Табора
Озеро Аббе,ДСО,Джибути
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Кордоба
Озеро Малави,ЕАТ,Иринга
Чадское озеро,TCH,Чад
Озеро Туркана,ЭАК,Восточная
Кратерское озеро,США,Орегон
Мьоза-Смотри.,Н,Хедмарк
Озеро Эри,США,Мичиган
