name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Габариты,,,Бенгальский залив,2511.0,79.5,30.5,,,90.0,22.0
Оранье,,,Атлантический океан,2160.0,28.5,-28.5,Дракенсберг,1800.0,16.4,-28.55
Рио Десагуадеро,,Какашки,,383.0,-69.0,-16.55,Анды,3812.0,-67.1,-18.55
Сомнения,Сон,,,453.0,6.2,46.7,Юра,937.0,5.0,46.9
Фульда,Уэсер,,,221.0,9.9,50.5,Рон,850.0,9.65,51.4
Река Мерримак,,,Атлантический океан,177.0,-71.6,43.4,,,-70.8119,42.8194
Река Детройт,,Озеро Эри,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Одер,,,Балтийское море,866.0,17.52,49.61,Судьбы,634.0,14.59,53.6
Санга,Заир,,,530.0,15.0,6.0,,,17.0,-2.0
Лех,Донау,,,264.0,10.0,47.17,Альпы,1840.0,10.93,48.73
Вёрм,Аммер,Старнбергер См.,,35.0,11.35,48.0,,596.0,11.5,48.3
Верра,Уэсер,,,292.0,10.96,50.5,Вирингер Уолд,797.0,9.65,51.4
Рааб,Донау,,,250.0,15.52,47.35,Альпы,1150.0,17.63,47.69
Нельсон Ривер,,,Северный Ледовитый океан,664.0,-97.97,52.77,,218.0,-92.33,57.15
Рио Сан-Хуан,,Озеро Манагуа,Карибское море,199.0,-85.35,11.6,,31.0,-83.7,10.9
Хванхо,,,Желтое море,4845.0,96.2,35.3,,4500.0,119.14,37.74
Рио-Лерма,,Лаго-де-Чапала,Тихоокеанский океан,965.0,-99.0,19.0,,,-105.6,21.5
Чатанга,,,Сибирианское море,1636.0,95.0,68.0,,,115.0,73.0
Днестр,,,Черное море,1352.0,23.0,49.0,Карпатен,1000.0,30.23,46.35
Шилка,Амур,,,560.0,111.0,49.8,,,121.48,53.33
Гётаэльв,,,Каттегат,93.0,12.34,58.4,,44.0,11.9,57.7
Эльба,,,Северное море,1091.0,15.54,50.78,Судьбы,1.386,8.71,53.89
Эбро,,,Средиземное море,925.0,-4.37,43.0375,Кордильера Кантабрика,1.6,0.5,40.8
Пибор,Собачья,,,,,,,,,
Белый кусок,Длинная кость,,,175.0,20.2,42.7,,,20.4,42.1
Волга,,Каспийское море,,3531.0,33.0,57.0,Уолдай-Хиллз,,47.85,46.7333
Мурат,,Озеро Кебан,,720.0,44.1,39.55,Курдистан,1950.0,38.75,38.8
Унасджоки,Кемийоки,,,300.0,23.8,68.6,,450.0,24.4,66.3
Черный кусок,Длинная кость,,,133.0,20.7,41.0,,695.0,20.4,42.1
Вейксель,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Доуро,,,Атлантический океан,897.0,-3.0,42.0,Кордильера Иберика,2160.0,-8.66,41.15
Лувуа,Луалаба,,,350.0,28.7,-9.0,Восточноафриканский хребет,931.0,27.0,-7.0
Бому,Убанги,,,280.0,27.0,5.0,,,22.5,4.0
март,Донау,,,358.0,16.85,50.21,Судьбы,1380.0,16.98,48.17
Иллер,Донау,,,147.0,10.27,47.43,Альпы,783.0,9.97,48.38
Река Святого Лоуренса,,,Атлантический океан,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Шабель,Джубба,,,1820.0,,,,,42.76,0.5
Семлики,,Озеро Сесе Секо/Альбертзе,,230.0,29.6,-0.35,Восточноафриканский хребет,920.0,30.9,1.7
Санага,,Барьер &lt; &lt; Мбакау &gt; &gt;,Атлантический океан,918.0,,,,,9.65,3.55
Минсио,Po,,,75.0,10.7,45.4,Альпы,65.0,10.95,45.1
Далаэльв,,,Балтийское море,520.0,15.1,60.7,,,17.2,60.7
Прокрутка,,Ozero Ladoga,,224.0,35.49,60.99,,33.0,32.79,60.51
Лимат,Aare,,,36.3,8.64,47.23,,406.0,8.23631,47.5018
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Эннс,Донау,,,254.0,13.35,47.33,Альпы,1375.0,14.52,48.24
Джубба,,,Индийский океан,1658.0,,,,,42.7,-0.5
Руки,Заир,,,130.0,19.0,-0.3,,,18.0,0.0
Вааг,Донау,,,403.0,19.81,49.02,Бескиды,664.0,18.15,47.75
Брахмапутра,,,Габариты,2896.0,81.33,31.06,,6000.0,89.8,23.8
Гамбия,,,Атлантический океан,1120.0,-12.3,11.3,,438.0,-16.6,13.5
Мюррей Ривер,,Озеро Хьюм,Индийский океан,2589.0,148.0,-38.0,Снежные горы,,138.88,-35.55
Карун,&lt; &lt; Шатт аль-Араб &gt; &gt;,,,950.0,50.1,32.35,Загрос,,48.17,30.43
&lt; &lt; Рио Гранде &gt; &gt;,,,Мексиканский залив,3034.0,-107.5,38.0,,3900.0,-97.18,25.96
Главное,Рейн,,,524.0,11.4,50.1,Фихтельгебридж,887.0,8.29,49.99
Западная Двина,,,Балтийское море,1020.0,34.0,56.0,Уолдай-Хиллз,228.0,24.1,57.0
Ольт,Донау,,,615.0,25.8,46.65,Карпатен,1280.0,24.8,43.7
Вестердалаэльв,Далаэльв,,,320.0,12.6,61.8,,,15.1,60.7
Атбара,Нил,,,1120.0,37.3,12.8,Эфиопские горы,,33.97,17.68
Акагера,,Озеро Виктория,,275.0,29.3,-2.5,Восточноафриканский хребет,2700.0,33.0,-1.0
Петшора,,,Море Баренцев,1809.0,59.0,62.0,Урал,,54.0,68.5
Интенсивность,Донау,,,517.0,9.67,46.41,Альпы,2484.0,13.47,48.57
Бусира,Руки,,,830.0,20.8,-0.2,,,19.0,-0.3
Луалаба,Заир,,,,27.0,-12.0,,,25.2,0.5
Ориноко,,,Атлантический океан,2140.0,-63.5,2.0,Сьерра-Парима,,-62.0,9.0
Аргун,Амур,,,1620.0,122.46,49.94,,1200.0,121.48,53.33
Изир,Роун,,,290.0,7.0,45.4,Альпы,2770.0,4.9,45.0
Мозель,Рейн,,,544.0,6.89,47.89,Вогесен,715.0,7.61,50.37
Донау,,,Черное море,2845.0,8.52,47.95,Черный лес,686.0,29.65,45.16
Саскачеванская река,,Озеро Виннипег,,1392.0,-123.0,52.5,,1920.0,-97.97,52.77
Миссури,Миссисипи,Озеро Форт-Пек,,4130.0,-111.5,45.9,,1232.0,-90.12,38.81
Рейн,,Бодензе,Северное море,1324.0,8.7,46.6,Альпы,2345.0,4.0,51.9
Таджо,,,Атлантический океан,1007.0,-1.7,40.32,Кордильера Иберика,1.58,-9.3,38.7
Тичино,Po,Лаго Маггиоре,,248.0,8.42,46.475,Альпы,2400.0,9.235,45.14
Амазонки,,,Атлантический океан,6448.0,-71.7,-15.5,Анды,5170.0,-50.0,0.0
