name,area,depth,altitude,type,river,longitude,latitude
Арресо,40.2,5.6,,,,12.1,56.0
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Озеро Иразу,1.0,,3200.0,кислота,,-83.9,10.0
Озеро Охрид,367.0,289.0,695.0,,Черный кусок,20.7,41.0
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
"Дэриаш, ты, Намак",1800.0,1.0,790.0,соль,,51.88,34.5
Великое Невольничье озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Пейджаенн,1118.0,95.0,78.0,,Кимижоки,25.4,61.5
Лоп Нор,5000.0,0.0,780.0,соль,,90.6,40.2
Чимси,80.0,73.0,518.0,,Alz,12.4,47.9
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Виктория,68870.0,85.0,1134.0,,Виктория Нил,33.0,-1.0
Нойсидлерсе,320.0,1.8,115.5,,,16.7,47.8
Озеро Тахо,497.0,501.0,1900.0,,Река Грузовик,-120.0,39.0
Озеро Сесе Секо/Альбертзе,5347.0,48.0,619.0,,Бахр-эль-Джебель/Альберт-Нил,30.9,1.7
Озеро Айаси,1050.0,,1030.0,соль,,35.0,-3.6
Озеро Хьюм,202.0,,,,Мюррей Ривер,147.0,-36.1
Бодензе,538.5,254.0,395.0,,Рейн,9.4,47.6
Озеро Кабора-Басса,2800.0,,326.0,искусственные,Замбези,32.7,-15.6
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Лаго Трасимено,128.0,7.0,259.0,Кальдера,,12.1,43.1
Озеро Руква,5760.0,5.0,800.0,соль,,32.35,-8.0
Озеро Оахе,1453.0,,,искусственные,Миссури,-100.4,44.45
Озеро Танганджика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Атлинское озеро,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Ozero Aral,17160.0,35.0,31.0,соль,,59.62,44.81
Мьоза-Смотри.,368.0,449.0,123.0,,Лаген,11.0,60.65
Веттерн,1900.0,119.0,88.0,,,14.5,58.3
Жуй Бахир,800.0,7.5,520.0,соль,,36.85,4.7
Цинхайское озеро,4583.0,,3195.0,соль,,100.2,36.9
Пирамидское озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Ozero Ladoga,18400.0,225.0,4.0,,Ньюа,31.53,60.82
Хамун и Джаз Мурьян,1600.0,,500.0,соль,,61.2,30.8
&lt; &lt; Полиция &gt; &gt;,370.0,346.0,65.0,,Минсио,10.65,45.6
Озеро Маникуаган,1942.0,,350.0,последствия,,-68.7,51.4
Кратерское озеро,53.2,594.0,1883.0,Кальдера,,-122.1,42.9
Озеро Манагуа,1035.0,20.0,39.0,,Рио Сан-Хуан,-86.4,12.35
