country,independence,dependent,government
V,1929-02-11,,монархическое крепостное состояние
DZ,1962-07-05,,Республика
AL,1912-11-28,,Формирующаяся демократия
ТУКА,,ГБ,Британские заморские территории
ГНБ,1974-09-10,,Республика
ТДж,,,Коммунистическое государство
Юзеф,1991-08-31,,Республика
SGP,1965-08-09,,Республика в рамках Содружества
ЕАС,1962-10-09,,Республика
КИР,1979-07-12,,Республика
WV,1979-10-27,,конституционная монархия
ПДТ,1975-07-12,,Республика
ГБЦ,,ГБ,зависимых территорий Соединенного Королевства
RSA,1910-05-31,,Республика
ОК,,,Республика
ФШМ,1986-11-03,,конституционное правительство в свободной ассоциации с США
Новой Зеландии,1907-09-26,,парламентская демократия
ПАЛ,1994-10-01,,конституционное правительство в свободной ассоциации с США
YV,1811-07-05,,Республика
ОПП,2006-06-05,,парламентская демократия
MD,1991-08-27,,Республика
ЕС,1822-05-24,,Республика
ДЖА,1962-08-06,,парламентская демократия
SF,1917-12-06,,Республика
БиГ,1992-04-01,,Формирующаяся демократия
КАМ,1960-01-01,,унитарная республика
К,1970-06-04,,Наследственная конституционная монархия
TN,1956-03-20,,Республика
CH,,,Федеративная республика
