desert,country,province
Сирийская пустыня,С.А.,Саудовская Аравия
Колорадо Плато,США,Колорадо
Mojave,США,Юта
Ригестан,ПК,Пакистан
Рин,Р,Астраханская область
Калахари,Z,Западный
Хамада дю Драа,МЭТ,Марокко
Гоби,МПГ,Монголия
Красный центр,AUS,Северная территория
Трарца,РИМ,Мавритания
Дашт-е-Кавир,IR,Язд
Пустыня Симпсон,AUS,Квинсленд
Танами,AUS,Северная территория
Калахари,АНГ,Моксико
Чиуауа,США,Аризона
Руб аль-Чали,РОУ,Оман
Джураб,TCH,Чад
Большой бассейн,США,Юта
Пустыня Гибсон,AUS,Западная Австралия
Гоби,ТДж,Нинксиа Хуидзу
Намиб,ДН,Намибия
Сагиа эль-Хамра,АЗС,Западная Сахара
Пустыня,AUS,Новый Южный Уэльс
Эрг Ребиана,ЛАР,Ливия
Кысилкум,Юзеф,Джиззах
Такла-Макан,ТДж,Синьцзян Уйгур
Муджункум,KAZ,Жамбил
Руб аль-Чали,ОАЭ,Дюбай
Сирийская пустыня,JOR,Иордания
Сонора,США,Калифорния
Площадь Нулларбора,AUS,Западная Австралия
Чиуауа,США,Новая Мексика
Ust Urt,KAZ,Мангистау
Азауад,DZ,Алжир
Thar,СИН,Харьяна
Калахари,РБ,Ботсвана
Оуихи,США,Орегон
Калахари,ДН,Намибия
Ферло,SN,Луга
Каракум,ТМ,Ахал
Эрг Игиди,DZ,Алжир
Ферло,SN,Тамбакунда
Колорадо Плато,США,Юта
Thar,ПК,Пакистан
Калахари,АНГ,Куандо Кубинго
Каракум,ТМ,Балканские острова
Дашт-е-Кавир,IR,Тегеран
Руб аль-Чали,ОАЭ,Рас-эль-Хайма
Большой бассейн,США,Невада
Великая пустыня Виктория,AUS,Западная Австралия
Эрг Игиди,РММ,Мали
Сирийская пустыня,СИР,Сирия
Тенере,РН,Нигер
Каракум,ТМ,Лебан
Дашт-е-Лут,IR,Систан и Белучестан
Кысилкум,Юзеф,Самарканд
