name,mountains,height,type,longitude,latitude
Пико,Азоры,2351.0,вулкан,-28.4,38.5
Джабал Марра,Дарфур,3088.0,вулканическое,24.6,13.0
Джабель Любнан,Ливан,3088.0,,36.1,34.3
Халекала,Гавайи,3055.0,вулкан,-156.25,20.7
Джебель Шуайб,,3760.0,,44.0,15.5
Меру,Восточноафриканский хребет,4567.0,вулкан,36.8,-3.2
Монте Синто,Корс,2706.0,,8.9,42.4
Виктория,,1323.0,вулканическое,178.0,-17.8
Мт Реддюйм,Алеутский диапазон,3108.0,вулкан,-152.75,60.5
Фого,Кабо-Верде,2829.0,вулкан,-24.4,14.95
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Суфриер Хиллз,,1050.0,вулкан,-62.2,16.7
Мт Уитни,Сьерра-Невада Калифорния,4418.0,,-118.2,36.6
Кинабалу,,4101.0,Гранит,116.5,6.1
Г-н Богонг,Снежные горы,1986.0,,147.5,-37.0
Элгон,Восточноафриканский хребет,4321.0,вулканическое,34.55,1.1
Джезерс,Балканские острова,2694.0,,19.4,42.3
Борах Пик,Скалистые горы,3859.0,,-113.8,44.1
Гранитный пик,Скалистые горы,3901.0,,-109.5,45.0
Pico de los Nieves,Канарские острова,1949.0,вулкан,-15.6,25.95
Ампато,Анды,6288.0,вулкан,-71.9,-15.8
Нанга Парбат,Каракорум,8125.0,,74.6,35.2
Концепция,,1700.0,вулкан,-85.6,11.5
Охос-дель-Саладо,Анды,6893.0,вулкан,-68.5,-27.1
Арарат,Курдистан,5165.0,вулканическое,44.3,39.7
Улуру,,869.0,монолит,131.0,-25.3
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Пико Кристобал Колон,Сьерра-Невада-де-Санта-Марта,5775.0,,-73.7,10.85
Рувензори,Восточноафриканский хребет,5109.0,,29.9,0.4
Tarrekaise,,1850.0,,17.3,67.0
Ю Шан,,3950.0,,121.0,23.5
Шоколадный костюм,Альпы,2862.0,,13.75,47.3
Гальдхеппиг,,2469.0,,8.0,61.4
Тубкхаль,Атлас,4165.0,,-8.0,31.0
Уиллер Пик,Скалистые горы,4011.0,,-105.4,36.55
