mountain,country,province
Мт Ваддингтон,КН,Британская Колумбия
Tatamailau,ТЛ,Тимор-Лешти
Пик Чан-Тенгри,KGZ,Кыргызстан
Hotaka-Dake,J,Гифу
Мармолата,I,Трентино Альто Адиге
Эльбрус,Р,Кабардино Балкар Реп.
K2,ПК,Пакистан
Снэфелл,ИУ,Италия
Молдовеану,RO,Брашов
Гора Эверест,ТДж,Тибет
&lt; &lt; Роке де лос Мучачос &gt; &gt;,E,Канарские острова
Pico de Agulhas Negras,КР,Рио-де-Жанейро
Чанбай Шан,Норк,Северная Корея
Широкий пик,ПК,Пакистан
Серро Черрипо,ЧР,Лимон
Шникоппе,PL,Уолбржицкий
Фельдберг,D,Баден Вуртемберг
Сильвисили,WS,Самоа
Демирказик,ТR,Нигде
Gasherbrum II,ПК,Пакистан
Псилорит,ГР,Крити
Царатанана,РМ,Анциранана
Охос-дель-Саладо,РЭ,Тукуман
Маттерхорн,I,Валье dAosta
Мусала,БГ,Австралия
Дхаулагири,NEP,Непал
Мт Митчелл,США,Северная Каролина
Кракатау,РИ,Индонезия
Монкайо,E,Кастиль и Леон
Сабалан,IR,Азарбайян и Шарки
Каямбе,ЕС,Эквадор
Иллимани,БОЛ,Боливия
Карисимби,РВА,Руанда
Попоманасей,SLB,Соломоновы Острова
Кинабалу,ТЗА,Саба
Диаблотины морна,WD,Доминика
Серро-де-Пунта,ПР,Пуэрто-Рико
Невадо де Колима,МЕКС,Халиско
