island,sea,lake,river
Увеа,Тихоокеанский океан,,
Остров Саутгемптон,Северный Ледовитый океан,,
Тринидад,Карибское море,,
Аландская,Балтийское море,,
Фальстер,Балтийское море,,
Сокотра,Индийский океан,,
Испаньола,Карибское море,,
Остров Кангару,Индийский океан,,
Norderney,Северное море,,
Паней,Море Сулавеси,,
Тутуила,Тихоокеанский океан,,
Антигуа,Атлантический океан,,
Остров принца Эдуарда,Атлантический океан,,
Сайпан,Тихоокеанский океан,,
Антигуа,Карибское море,,
Фонгафейл,Тихоокеанский океан,,
Сан Мигель,Атлантический океан,,
Куба,Карибское море,,
Хонсю,Тихоокеанский океан,,
Стреймой,Норвежское море,,
Куба,Мексиканский залив,,
Сантьяго,Атлантический океан,,
Сент-Томас,Атлантический океан,,
Свальбард,Северный Ледовитый океан,,
Гернси,Канал,,
Чили,Карибское море,,
Куба,Атлантический океан,,
Сокотра,Аденский залив,,
Маленький Кайман,Карибское море,,
Кайман Брак,Карибское море,,
Ниуэ,Тихоокеанский океан,,
Хайнан,Южно-Китайское море,,
Ява,Сундское море,,
Гелголенд,Северное море,,
Бугенвиль,Тихоокеанский океан,,
Сент-Китс,Карибское море,,
Остров Мелвиль,Индийский океан,,
Саваи,Тихоокеанский океан,,
Остров Рене Левассеур,,Озеро Маникуаган,
Монтсеррат,Атлантический океан,,
Северный Кайкос,Атлантический океан,,
Италия,Норвежское море,,
Санта-Мария,Атлантический океан,,
Форментера,Средиземное море,,
Амрум,Северное море,,
Суматра,Сундское море,,
Гавайи,Тихоокеанский океан,,
Гранд-Тёрк,Атлантический океан,,
