city,province,country,river,lake,sea
Эрзурум,Эрзурум,ТR,Карасу,,
Хуалиен,Тайвань,КР,,,Тихоокеанский океан
Lappenrenta,Кими,SF,,Саймаа,
Актау,Мангистау,KAZ,,Каспийское море,
Пиаценза,Эмилия Романья,I,Po,,
Сопротивление,Чако,РЭ,Парана,,
Каназава,Ишикава,J,,,Японское море
Залив Колвин,Аберконви и Колвин,ГБ,,,Ирландское море
Пусан,Южная Корея,ОК,,,Японское море
Дуглас,Мужчина,GBM,,,Ирландское море
Эль-Гиза,Эль-Гиза,ЕТ,Нил,,
Манила,Филиппины,РП,,,Южно-Китайское море
Рабат,Марокко,МЭТ,,,Атлантический океан
Квебек,Квебек,КН,Река Святого Лоуренса,,
Багдад,Багдад,ИРК,Тигр,,
Гвадаладжара,Халиско,МЕКС,Рио-Лерма,,
Малакал,Aali a Nil,СУД,Белый Нил,,
Шарлоттаун,Остров принца Эдуарда,КН,,,Атлантический океан
Фестиваль молотка,Финнмарк,Н,,,Море Баренцев
Дедедо,Гуам,ГУАМ,,,Тихоокеанский океан
Буффало,Нью-Йорк,США,,Озеро Эри,
Отлично.,Прованс Коте dAzur,F,,,Средиземное море
Братислава,Словакия,SK,Донау,,
Ульм,Баден Вуртемберг,D,Донау,,
Кастельон де ла Плана,Валенсия,E,,,Средиземное море
Таунсвилль,Квинсленд,AUS,,,Тихоокеанский океан
Адамстаун,Острова Питкэрн,ОМТС,,,Тихоокеанский океан
Порт Святого Петра,Гернси,ГБГ,,,Канал
Ванкувер,Британская Колумбия,КН,,,Тихоокеанский океан
Кобленц,Rheinland Pfalz,D,Мозель,,
Хартум,Аль-Хартум,СУД,Нил,,
Tegal,Индонезия,РИ,,,Сундское море
Джибути,Джибути,ДСО,,,Аденский залив
Кампех,Кампех,МЕКС,,,Мексиканский залив
Валенсия,Валенсия,E,,,Средиземное море
Лжец,Лжец,B,Маас,,
Белград,Сербия,ОПП,Сохранить,,
Абу-Даби,Абу-Даби,ОАЭ,,,Персидский залив
Панама,Панама,ПА,,,Тихоокеанский океан
Матади,Бас Заир,ЗРЕ,Заир,,
Осло,Осло,Н,,,Скагеррак
Дар-эс-Салам,Дарессалам,ЕАТ,,,Индийский океан
&lt; &lt; Ласпезия &gt; &gt;,Лигурия,I,,,Средиземное море
Рига,Латвия,ЛВ,Западная Двина,,Балтийское море
Хабаровский,Хабаровский крей,Р,Амур,,
Маристад,Skaraborg,И,,Валенерн,
Сан-Паулу,Сан-Паулу,КР,,,Атлантический океан
Ставангер,Рогаланд,Н,,,Северное море
Кунсан,Южная Корея,ОК,,,Желтое море
Шалоны в шампанском,Шампанское Арден,F,Марн,,
Галифакс,Новая Шотландия,КН,,,Атлантический океан
Магдебург,Саксен Анхальт,D,Эльба,,
Дуррес,Австралия,AL,,,Средиземное море
Якутск,Республика Саха,Р,Лена,,
Паго-Паго,Американское Самоа,АМСА,,,Тихоокеанский океан
Нагоя,Айти,J,,,Тихоокеанский океан
Токусима,Токусима,J,,,Тихоокеанский океан
Новости о Ньюпорте,Вирджиния,США,,,Атлантический океан
Сан-Томе,Сан-Томе и Принсипи,ПДТ,,,Атлантический океан
Рим,Лацио,I,Тибер,,
Йичанг,Хабэй,ТДж,Янгце,,
Гуаякиль,Эквадор,ЕС,,,Тихоокеанский океан
Пекалонган,Индонезия,РИ,,,Сундское море
Марсель,Прованс Коте dAzur,F,,,Средиземное море
Кенитра,Марокко,МЭТ,,,Атлантический океан
Турку,Турку-Пори,SF,,,Балтийское море
Бескон,Фрэнше Комте,F,Сомнения,,
Кочи,Кочи,J,,,Тихоокеанский океан
Бамако,Мали,РММ,Нигер,,
Аль-Хиллах,Бабиль,ИРК,Евфрат,,
Эль-Минья,Эль-Минья,ЕТ,Нил,,
Шолнок,Шолнок,Н,Тейсс,,
Кассель,Гессен,D,Фульда,,
Кагосима,Кагосима,J,,,Восточно-Китайское море
Уху,Анхуи,ТДж,Янгце,,
Дуйсбург,Нордрхейн Вестфален,D,Рейн,,
Булонне Билланкур,Иль де Франция,F,Сена,,
Громовая бухта,Онтарио,КН,,Верхнее озеро,
Щецин,Шчинский,PL,Одер,,
Манама,Бахрейн,БРИН,,,Персидский залив
Буэнос-Айрес,Федеральный департамент,РЭ,Парана,,
Чонгцинь,Сычуань,ТДж,Янгце,,
Смоленск,Смоленская область,Р,Днепр,,
Белем,Пункт,КР,Токантины,,Атлантический океан
Норфолк,Вирджиния,США,,,Атлантический океан
Бостон,Массачусетс,США,,,Атлантический океан
Аль-Амарах,Майсан,ИРК,Тигр,,
Брайтон,Восточный Сассекс,ГБ,,,Канал
Пунтарены,Пунтарены,ЧР,,,Тихоокеанский океан
Сент-Луис,Миссури,США,Миссисипи,,
