sea,country,province
Балтийское море,ЛТ,Литва
Балтийское море,И,Вастерботтен
Тихоокеанский океан,AUS,Виктория
Скагеррак,Н,Осло
Скагеррак,И,Готеборг ох Бохус
Атлантический океан,ГБ,Великобритании и Северной Ирландии
Северное море,F,&lt; &lt; Норд Пас де Кале &gt; &gt;
Японское море,J,Сага
Атлантический океан,ТТ,Тринидад и Тобаго
Желтое море,ОК,Южная Корея
Индийский океан,ДА,Йемен
Тихоокеанский океан,J,Чиба
Норвежское море,ИУ,Италия
Тихоокеанский океан,HCA,Чолутека
Атлантический океан,СМАРТ,Сент-Мартин
Атлантический океан,КР,Сан-Паулу
Черное море,ТR,Сакарья
Японское море,J,Тоттори
Желтое море,ТДж,Шаньдун
Южно-Китайское море,SGP,Сингапур
