country,name,percentage
ТВЧ,Полинезийский,96.0
SK,Рутенский,0.3
КР,Африка,44.0
ОПП,Венгерский,3.9
СИН,Индо-Ариан,72.0
NAU,Европейская,8.0
MK,Сербский,2.0
BZ,Креольский,30.0
КР,Китайцы,14.0
РИМ,Черный мавр,40.0
ИРК,Курдский,15.0
KGZ,узбекский,12.9
ТЗА,Индейцы,9.0
A,Немецкий,99.4
МЬЯ,Индейцы,2.0
HR,словенский,0.5
TAD,узбекский,25.0
ЛВ,Польский,2.3
ГБ,Ирландский,2.4
МПГ,Китайцы,2.0
МПГ,Монголь,90.0
КАМ,Восточная Нигритская,7.0
ГРАД,Китайцы,5.0
Р,Башкир,0.9
MK,Турецкий,4.0
МСП,Креольский,31.0
РБ,Кгалагади,4.0
KWT,Иран,4.0
БГ,Болгарский,85.3
ОПП,Хорватский,1.1
IR,Азербайджан,24.0
ГБ,Шотландский,9.6
HR,Хорватский,78.0
D,Польский,0.4
PL,Украинский,0.6
ВАФА,Полинезийский,100.0
ТМ,узбекский,9.0
БВ,Непал,35.0
,Чёрный смешанный,85.0
KAZ,Украинский,5.2
ЭАК,Лу,13.0
HELX,Африканское происхождение,50.0
СИР,Арабский,90.3
ЛТ,Русский,8.6
РН,Джерма,22.0
АНГ,Овимбунду,37.0
IR,Лур,2.0
LAO,Лао Сун Хмонг Яо,9.0
ВАГ,Африка,99.0
ZW,Азиатский,1.0
КН,Инуиты,1.5
B,Флеминг,55.0
МСП,Javanese,15.3
УР,Европейская,3.0
ВАЛ,Африка,99.0
КАМ,Северо-западный Банту,8.0
AZ,Азербайджан,90.0
ДСО,Афар,35.0
АНГ,Европейская,1.0
SK,Венгерский,10.7
МСП,Европейцы,1.0
MS,Креольский,27.0
ТУКА,Африка,90.0
Юзеф,Каракалпак,2.1
РИ,Мадурез,7.5
МЭТ,Араб-бербер,99.1
IR,Курд,7.0
BF,Мосси,24.0
НКА,Вьетнам,1.4
Парень,Индейцы,4.0
БиГ,Сербский,40.0
ЭТО,Афар,4.0
МАКХ,Китайцы,95.0
Н,Рома,4.0
ТМ,Казак,2.0
ПДТ,Европейцы,100.0
СИН,Монголь,3.0
XMAS,Китайцы,70.0
HR,Венгерский,0.5
БОЛ,Аймара,25.0
ЛС,Сото,99.7
ЕАС,Карамойонг,12.0
RO,Рома,1.6
DZ,Араб-бербер,99.0
TN,Араб-бербер,98.0
