river,country,province
Темба,ГБ,Суррей
Миссури,США,Канзас
Нигер,РММ,Мали
Одер,D,Мекленбург Ворпоммерн
Днестр,UA,Тернопилска
Люкни,ЗРЕ,Восточная Касаи
Брахмапутра,СИН,Ассам
Тьорса,ИУ,Италия
Западная Двина,Р,Смоленская область
Сена,F,Иль де Франция
Рейн,CH,SG
&lt; &lt; Рио Гранде &gt; &gt;,США,Колорадо
&lt; &lt; Шатт аль-Араб &gt; &gt;,IR,Хузестан
Ольт,RO,Харгита
Янгце,ТДж,Цзянси
Донау,UA,Odeska
Тибер,I,Лацио
Вааль,RSA,Северо-западный
Парагвай,РЭ,Чако
Драу,A,Каринтия
Иордания,СИР,Сирия
Бахр-эль-Гасаль,СУД,Бахр-эль-Газаль
Исар,A,Тирол
Заир,ЗРЕ,Уравнение
Рио Сан-Хуан,НИК,Никарагуа
Донау,D,Байерн
Тигр,ИРК,Ад Тамим
Уэсер,D,Нидераксен
Гудзон Ривер,США,Нью-Йорк
Adda,I,Ломбардия
Парана,РЭ,Чако
Арно,I,Тоскана
Амур,Р,Хабаровский крей
Верра,D,Тюринген
&lt; &lt; Рио Гранде &gt; &gt;,США,Техас
Рейн,CH,Шшш
Нил,ЕТ,Эль-Бухайра
Урал,Р,Челябинская область
Интенсивность,D,Байерн
Баро,ЭТО,Эфиопия
Санага,КАМ,Кот/литератор
Донау,SK,Словакия
Нил,ЕТ,Думят
Бахр-эль-Джебель/Альберт-Нил,СУД,Бахр-эль-Газаль
Нил,ЕТ,Эль-Дакалия
Донау,A,Верхняя Австрия
Урал,KAZ,Атырау
Доуро,Р,Гвардияa
Роун,CH,ГЭ
Парагвай,PY,Парагвай
Эльба,D,Гамбург
Рио Магдалена,CO,Бойяка
Днепр,UA,Кировоградска
