country,organization,type
Юзеф,Интерпол,Член
CH,СПРООН,Член
СУА,МКСП,Член
Кл,МАГАТЭ,Член
Р,Интелсат,Член
КН,НАТО,Член
МЭТ,МАГАТЭ,Член
ЕС,ЛАИА,Член
ВАГ,ОИК,Член
Р,ОБСЕ,Член
КР,Группа 11,Член
GH,ВКЛ,Член
И,ЗЕС,наблюдатель
TAD,МФК,Член
КАМ,ЮНЕСКО,Член
YV,МАГАТЭ,Член
ТЗА,ВОЗ,Член
IR,МУС,Член
AL,МФК,Член
ES,ЭКЛАК,Член
ДК,Интерпол,Член
Новой Зеландии,ВОИС,Член
TN,ВОЗ,Член
ЭАК,МВФ,Член
JOR,ИКАО,Член
RCH,МАБР,Член
РМ,МФОКК,Член
Парень,МСЭ,Член
Ил,ВОИС,Член
ТR,ИСО,Член
TN,АБЕДА,Член
МПГ,ЮНИДО,Член
CZ,МОК,Национальный олимпийский комитет
КР,МФК,Член
ЛБ,МСЭ,Член
ГБ,МЭА,Член
ДН,ВКЛ,Член
РМ,МСЭ,Член
