name,id,award,year,lgid,note
Джеймс Д. Норрис,norrija03h,Патрик,1971,NHL,погибший после смерти
Майк Ричар,richtmi01,Патрик,2008,NHL,
Джон Холлиган,,Патрик,2006,NHL,
Лен Цегельский,,Патрик,1989,NHL,
Уилли О'Ри,oreewi01,Патрик,2002,NHL,
Филип Хаусли,houslph01,Патрик,2007,NHL,
Стив Йёрмер,yzermst01,Патрик,2005,NHL,
Джон Букик,bucykjo01,Патрик,1976,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,погибший после смерти
Камми Гранато,,Патрик,2006,NHL,
Эд Снайдр,snideed01h,Патрик,1979,NHL,
Томас Локхарт,lockhth01h,Патрик,1967,NHL,
Джордж Ганд,,Патрик,1995,NHL,
Ал Арбор,arboual01,Патрик,1991,NHL,
Бобби Халл,hullbo01,Патрик,1968,NHL,
Мильт Шмидт,schmimi01,Патрик,1995,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Марио Лемьё,lemiema01,Патрик,1999,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Джон МакИннес,,Патрик,1985,NHL,
Боби Кларк,clarkbo01,Патрик,1979,NHL,
Брайан Лич,leetcbr01,Патрик,2006,NHL,
Западон Адамс,adamswe01h,Патрик,1973,NHL,погибший после смерти
Фред Шеро,sherofr01,Патрик,1979,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Джим Хендри,hendyji01h,Патрик,1969,NHL,погибший после смерти
Буд Поле,poilebu01,Патрик,1988,NHL,
Кит Аллен,allenke01,Патрик,1987,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Роберт Ридер,,Патрик,1993,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Мэри Армстронг,armstmu01,Патрик,1976,NHL,
Уильям Дженнингс,jenniwi01h,Патрик,1970,NHL,
Артур Уирц,wirtzar01h,Патрик,1984,NHL,
Кен Морроу,morroke01,Патрик,1995,NHL,
Лу Нэнн,nannelo01,Патрик,1988,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Франк Маттерс,mathefr01,Патрик,1986,NHL,
Эдди Шор,shoreed01,Патрик,1969,NHL,
Лу Вайро,,Патрик,1999,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Джон Зиглер,ziegljo01h,Патрик,1983,NHL,
Пэт Лафонтьен,lafonpa01,Патрик,1996,NHL,
Билл Клири,,Патрик,1996,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Джон Дэвисон,davidjo01,Патрик,2003,NHL,
Питер Карманос,,Патрик,1997,NHL,
"Джон А. ""Снукс"" Келли",,Патрик,1971,NHL,
Джон Майясич,,Патрик,1997,NHL,
Стан Микита,mikitst01,Патрик,1975,NHL,
Алекс Делевеко,delveal01,Патрик,1973,NHL,
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Билл Чадвик,chadwbi01h,Патрик,1974,NHL,
Джон Б. Солленбергер,,Патрик,1970,NHL,погибший после смерти
Сборная США по хоккею на Олимпийских играх 1960 года,,Патрик,2001,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,погибший после смерти
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Реймонд Бурк,bourqra01,Патрик,2002,NHL,
Джефф Сёр,,Патрик,2010,NHL,
Джон Киппатек,kilpajo01h,Патрик,1967,NHL,погибший после смерти
Том Фицджеральд,,Патрик,1977,NHL,
Стэн Фишлер,,Патрик,2006,NHL,
Тед Линдси,lindste01,Патрик,2007,NHL,
Боб Пульфорд,pulfobo01,Патрик,2010,NHL,
