year,month,date,tmid,oppid,r/p,idgoalie1,idgoalie2
2010,5,10,PHI,BOS,П,bouchbr01,leighmi01
1997,10,18,DET,CAR,р,osgooch01,hodsoke01
2009,12,1,TOR,MTL,р,gustajo01,macdojo01
1981,11,11,MTL,COR,р,herrode01,sevigri01
1973,2,7,QUN,PHB,р,aubryse01,broderi01
2006,11,23,NAS,VAN,р,vokouto01,masonch02
1987,1,9,WIN,HAR,р,reddipo01,berthda01
1996,11,9,NJD,NYI,р,brodema01,dunhami01
2005,12,2,SJS,BUF,р,nabokev01,schaeno01
2012,4,14,STL,SJS,П,halakja01,elliobr01
1975,2,23,CHI,ATF,р,esposto01,dumasmi01
1970,11,5,STL,BOS,р,hallgl01,wakeler01
1971,3,24,TOR,CLF,р,plantja01,parenbe01
2005,11,12,ATL,CAR,р,dunhami01,berkhad01
1999,1,9,PHI,CAR,р,hextaro01,vanbijo01
1997,12,31,TBL,NYR,р,schwaco01,wilkide01
1997,11,4,TOR,SJS,р,healygl01,cousima01
1977,11,1,NYI,ATF,р,smithbi01,hogosgo01
1972,12,29,TOR,PIT,р,plantja01,lowro01
1996,12,3,TOR,STL,р,cousima01,potvife01
1941,3,15,MTL,NYA,р,bibeapa01,gardibe01
2005,10,22,CAR,WAS,р,gerbema01,wardca01
2001,12,8,ANA,CAL,р,shielst01,gigueje01
2001,11,15,PHI,WAS,р,bouchbr01,cechmro01
1983,4,3,WAS,NYR,р,jenseal01,riggipa01
1968,2,14,OAK,PHI,р,smithga01,hodgech01
1973,10,16,TOT,LAS,р,binklle01,grattgi01
1998,4,4,NYI,NYR,р,saloto01,flahewa01
2003,11,21,SJS,PHO,р,nabokev01,toskave01
2007,12,12,OTT,CAR,р,gerbema01,emeryra01
1987,1,23,PIT,VAN,р,melocgi01,romanro01
1973,10,16,TOT,LAS,р,binklle01,grattgi01
1929,3,14,TOR,NYA,р,chabolo01,grantbe01
2001,3,12,SJS,MTL,р,nabokev01,kiprumi01
1971,3,24,TOR,CLF,р,plantja01,parenbe01
1991,10,25,DET,TOR,р,riendvi01,cheveti01
1998,4,7,SJS,CAL,р,vernomi01,hrudeke01
2011,2,2,PIT,NYI,р,johnsbr02,fleurma01
1977,11,1,NYI,ATF,р,smithbi01,hogosgo01
1971,1,2,TOR,DET,р,plantja01,gamblbr01
2001,11,15,PHI,WAS,р,bouchbr01,cechmro01
2009,12,1,TOR,MTL,р,gustajo01,macdojo01
2008,10,25,STL,FLO,р,bishobe01,schwama01
2001,11,17,CAL,STL,р,vernomi01,turekro01
1981,2,5,MTL,MNS,р,herrode01,sevigri01
2003,11,21,SJS,PHO,р,nabokev01,toskave01
1972,12,29,TOR,PIT,р,plantja01,lowro01
2007,2,8,STL,DET,р,legacma01,sanfocu01
2005,10,22,CAR,WAS,р,gerbema01,wardca01
1941,3,15,MTL,NYA,р,bibeapa01,gardibe01
2010,5,10,PHI,BOS,П,bouchbr01,leighmi01
1993,2,8,PIT,BOS,р,wreggke01,barrato01
1996,12,3,TOR,STL,р,cousima01,potvife01
1981,11,11,MTL,COR,р,herrode01,sevigri01
1968,2,14,OAK,PHI,р,smithga01,hodgech01
1996,11,9,NJD,NYI,р,brodema01,dunhami01
1955,3,22,MTL,BOS,П,plantja01,hodgech01
2000,3,21,BOS,TBL,р,grahajo01,tallaro01
1997,12,31,TBL,NYR,р,schwaco01,wilkide01
1983,12,4,NJD,DET,р,lowro01,reschgl01
2005,12,2,SJS,BUF,р,nabokev01,schaeno01
2006,11,23,NAS,VAN,р,vokouto01,masonch02
1999,4,8,TBL,BOS,р,schwaco01,hodsoke01
2003,11,21,SJS,PHO,р,nabokev01,toskave01
1941,3,15,MTL,NYA,р,bibeapa01,gardibe01
2007,12,12,OTT,CAR,р,gerbema01,emeryra01
1998,4,4,NYI,NYR,р,saloto01,flahewa01
1998,4,7,SJS,CAL,р,vernomi01,hrudeke01
2001,12,8,ANA,CAL,р,shielst01,gigueje01
2001,11,15,PHI,WAS,р,bouchbr01,cechmro01
1985,1,8,EDM,QUE,р,moogan01,fuhrgr01
1997,10,18,DET,CAR,р,osgooch01,hodsoke01
1981,11,11,MTL,COR,р,herrode01,sevigri01
1977,3,18,WAS,COR,р,croziro01,lowro01
1929,3,14,TOR,NYA,р,chabolo01,grantbe01
1999,1,9,PHI,CAR,р,hextaro01,vanbijo01
1973,2,7,QUN,PHB,р,aubryse01,broderi01
2005,11,12,ATL,CAR,р,dunhami01,berkhad01
1987,1,9,WIN,HAR,р,reddipo01,berthda01
1980,2,20,LAK,BOS,р,lessama01,keansdo01
2009,12,1,TOR,MTL,р,gustajo01,macdojo01
1970,11,5,STL,BOS,р,hallgl01,wakeler01
1998,10,28,LAK,NJD,р,fisetst01,legacma01
1971,1,2,TOR,DET,р,plantja01,gamblbr01
1981,2,5,MTL,MNS,р,herrode01,sevigri01
1997,11,4,TOR,SJS,р,healygl01,cousima01
1997,12,31,TBL,NYR,р,schwaco01,wilkide01
2005,10,22,CAR,WAS,р,gerbema01,wardca01
1999,4,8,TBL,BOS,р,schwaco01,hodsoke01
1996,11,9,NJD,NYI,р,brodema01,dunhami01
2003,11,21,SJS,PHO,р,nabokev01,toskave01
1997,12,31,TBL,NYR,р,schwaco01,wilkide01
1999,1,9,PHI,CAR,р,hextaro01,vanbijo01
2005,10,22,CAR,WAS,р,gerbema01,wardca01
1971,1,2,TOR,DET,р,plantja01,gamblbr01
1991,10,25,DET,TOR,р,riendvi01,cheveti01
1980,2,20,LAK,BOS,р,lessama01,keansdo01
1981,2,5,MTL,MNS,р,herrode01,sevigri01
1987,1,9,WIN,HAR,р,reddipo01,berthda01
1973,2,7,QUN,PHB,р,aubryse01,broderi01
1977,11,1,NYI,ATF,р,smithbi01,hogosgo01
2012,4,14,STL,SJS,П,halakja01,elliobr01
1998,4,4,NYI,NYR,р,saloto01,flahewa01
2010,5,10,PHI,BOS,П,bouchbr01,leighmi01
1973,10,16,TOT,LAS,р,binklle01,grattgi01
1941,3,15,MTL,NYA,р,bibeapa01,gardibe01
2001,10,27,DET,NAS,р,hasekdo01,legacma01
1981,11,11,MTL,COR,р,herrode01,sevigri01
1971,3,24,TOR,CLF,р,plantja01,parenbe01
1985,1,8,EDM,QUE,р,moogan01,fuhrgr01
2005,11,12,ATL,CAR,р,dunhami01,berkhad01
1983,4,3,WAS,NYR,р,jenseal01,riggipa01
2007,2,8,STL,DET,р,legacma01,sanfocu01
2011,2,2,PIT,NYI,р,johnsbr02,fleurma01
1993,2,8,PIT,BOS,р,wreggke01,barrato01
2011,12,6,VAN,COL,р,luongro01,schneco01
1998,10,28,LAK,NJD,р,fisetst01,legacma01
1972,11,25,TOR,CLF,р,plantja01,lowro01
1972,12,29,TOR,PIT,р,plantja01,lowro01
1968,2,14,OAK,PHI,р,smithga01,hodgech01
2009,12,1,TOR,MTL,р,gustajo01,macdojo01
1929,3,14,TOR,NYA,р,chabolo01,grantbe01
2001,11,15,PHI,WAS,р,bouchbr01,cechmro01
1997,10,18,DET,CAR,р,osgooch01,hodsoke01
2005,12,2,SJS,BUF,р,nabokev01,schaeno01
2007,12,12,OTT,CAR,р,gerbema01,emeryra01
1977,3,18,WAS,COR,р,croziro01,lowro01
1975,2,23,CHI,ATF,р,esposto01,dumasmi01
1972,11,25,TOR,CLF,р,plantja01,lowro01
2002,1,10,BOS,LAK,р,grahajo01,dafoeby01
1985,1,8,EDM,QUE,р,moogan01,fuhrgr01
1998,4,4,NYI,NYR,р,saloto01,flahewa01
1996,12,3,TOR,STL,р,cousima01,potvife01
1941,3,15,MTL,NYA,р,bibeapa01,gardibe01
1975,2,23,CHI,ATF,р,esposto01,dumasmi01
2005,11,12,ATL,CAR,р,dunhami01,berkhad01
1971,1,2,TOR,DET,р,plantja01,gamblbr01
2001,10,27,DET,NAS,р,hasekdo01,legacma01
1998,10,28,LAK,NJD,р,fisetst01,legacma01
2003,11,21,SJS,PHO,р,nabokev01,toskave01
1999,1,9,PHI,CAR,р,hextaro01,vanbijo01
1980,2,20,LAK,BOS,р,lessama01,keansdo01
1998,4,7,SJS,CAL,р,vernomi01,hrudeke01
2007,12,12,OTT,CAR,р,gerbema01,emeryra01
2001,12,8,ANA,CAL,р,shielst01,gigueje01
2007,2,8,STL,DET,р,legacma01,sanfocu01
2011,12,6,VAN,COL,р,luongro01,schneco01
1929,3,14,TOR,NYA,р,chabolo01,grantbe01
1997,10,18,DET,CAR,р,osgooch01,hodsoke01
1996,11,9,NJD,NYI,р,brodema01,dunhami01
2001,11,15,PHI,WAS,р,bouchbr01,cechmro01
1987,1,23,PIT,VAN,р,melocgi01,romanro01
2010,5,10,PHI,BOS,П,bouchbr01,leighmi01
2012,4,14,STL,SJS,П,halakja01,elliobr01
1983,4,3,WAS,NYR,р,jenseal01,riggipa01
1968,2,14,OAK,PHI,р,smithga01,hodgech01
1999,4,8,TBL,BOS,р,schwaco01,hodsoke01
1987,1,9,WIN,HAR,р,reddipo01,berthda01
2001,11,17,CAL,STL,р,vernomi01,turekro01
2001,3,12,SJS,MTL,р,nabokev01,kiprumi01
1973,2,7,QUN,PHB,р,aubryse01,broderi01
2008,10,25,STL,FLO,р,bishobe01,schwama01
1991,10,25,DET,TOR,р,riendvi01,cheveti01
1955,3,22,MTL,BOS,П,plantja01,hodgech01
1993,2,8,PIT,BOS,р,wreggke01,barrato01
1997,11,4,TOR,SJS,р,healygl01,cousima01
1971,3,24,TOR,CLF,р,plantja01,parenbe01
2011,2,2,PIT,NYI,р,johnsbr02,fleurma01
1970,11,5,STL,BOS,р,hallgl01,wakeler01
1977,11,1,NYI,ATF,р,smithbi01,hogosgo01
2006,11,23,NAS,VAN,р,vokouto01,masonch02
2000,3,21,BOS,TBL,р,grahajo01,tallaro01
2009,12,1,TOR,MTL,р,gustajo01,macdojo01
1977,3,18,WAS,COR,р,croziro01,lowro01
2005,12,2,SJS,BUF,р,nabokev01,schaeno01
1981,11,11,MTL,COR,р,herrode01,sevigri01
1983,12,4,NJD,DET,р,lowro01,reschgl01
1981,2,5,MTL,MNS,р,herrode01,sevigri01
1972,12,29,TOR,PIT,р,plantja01,lowro01
1973,10,16,TOT,LAS,р,binklle01,grattgi01
2005,10,22,CAR,WAS,р,gerbema01,wardca01
1997,12,31,TBL,NYR,р,schwaco01,wilkide01
2001,12,8,ANA,CAL,р,shielst01,gigueje01
2005,10,22,CAR,WAS,р,gerbema01,wardca01
1970,11,5,STL,BOS,р,hallgl01,wakeler01
1999,4,8,TBL,BOS,р,schwaco01,hodsoke01
2001,11,17,CAL,STL,р,vernomi01,turekro01
1972,12,29,TOR,PIT,р,plantja01,lowro01
1996,12,3,TOR,STL,р,cousima01,potvife01
1991,10,25,DET,TOR,р,riendvi01,cheveti01
1997,10,18,DET,CAR,р,osgooch01,hodsoke01
1998,10,28,LAK,NJD,р,fisetst01,legacma01
2009,12,1,TOR,MTL,р,gustajo01,macdojo01
2007,12,12,OTT,CAR,р,gerbema01,emeryra01
1977,11,1,NYI,ATF,р,smithbi01,hogosgo01
1972,11,25,TOR,CLF,р,plantja01,lowro01
1973,10,16,TOT,LAS,р,binklle01,grattgi01
1975,2,23,CHI,ATF,р,esposto01,dumasmi01
1971,1,2,TOR,DET,р,plantja01,gamblbr01
1968,2,14,OAK,PHI,р,smithga01,hodgech01
1981,11,11,MTL,COR,р,herrode01,sevigri01
2006,11,23,NAS,VAN,р,vokouto01,masonch02
1987,1,23,PIT,VAN,р,melocgi01,romanro01
1983,12,4,NJD,DET,р,lowro01,reschgl01
1971,3,24,TOR,CLF,р,plantja01,parenbe01
2011,2,2,PIT,NYI,р,johnsbr02,fleurma01
2007,2,8,STL,DET,р,legacma01,sanfocu01
1929,3,14,TOR,NYA,р,chabolo01,grantbe01
1983,4,3,WAS,NYR,р,jenseal01,riggipa01
2001,11,15,PHI,WAS,р,bouchbr01,cechmro01
1980,2,20,LAK,BOS,р,lessama01,keansdo01
1997,12,31,TBL,NYR,р,schwaco01,wilkide01
1998,4,7,SJS,CAL,р,vernomi01,hrudeke01
