year,hofid,name,category
2003,fuhrgr01h,Грант Фьюр,Игрок
1963,seibeea01h,Эрл Зейберт,Игрок
1988,oconnbu01h,Буди О'Коннор,Игрок
1962,pitredi01h,Дидье Питр,Игрок
1958,mcnamge02h,Джордж Макнамара,Игрок
2004,murphla01h,Ларри Мёрфи,Игрок
1969,wortero01h,Рой Вотерс,Игрок
1964,siebeba01h,Бэб Сиберт,Игрок
1959,adamsja01h,Джек Адамс,Игрок
1969,norribr01h,Брюс Норрис,Построитель
1960,adamsch01h,Чарльз Адамс,Построитель
1979,orrbo01h,Боби Орр,Игрок
1984,parenbe01h,Бэрни Парент,Игрок
1972,adamswe01h,Западон Адамс,Построитель
1961,hainsge01h,Джордж Хайнсворт,Игрок
1997,trottbr01h,Брайан Троттьер,Игрок
1958,clancki01h,Король Кленси,Игрок
1980,butteja01h,Джек Баттерфилд,Построитель
1959,thompti01h,Тинни Томпсон,Игрок
1958,dudlege01h,Джордж Дудли,Построитель
2008,larioig01h,Игорь Ларьонов,Игрок
1958,pickaal01h,Алан Пикфорд,Построитель
1977,ahearbu01h,Буни Ахерн,Построитель
1996,arboual01h,Ал Арбор,Построитель
1970,gadsbbi01h,Билл Гэдсби,Игрок
1958,gardihe01h,Эрб Гардиер,Игрок
1963,mclaufr01h,Фредерик Макларен,Построитель
2007,macinal01h,Ал МакИннис,Игрок
1973,molsoha01h,Хартленд Молсон,Построитель
2001,kurrija01h,Яри Куурри,Игрок
1984,milfoja01h,Джейк Милфорд,Построитель
1974,coultar01h,Арт Коултер,Игрок
1993,lapoigu01h,Гай Лапойнт,Игрок
1967,colvine01h,Нил Колвилл,Игрок
1990,flamafe01h,Ферн Фляман,Игрок
1992,allenke01h,Кит Аллен,Построитель
1997,sathegl01h,Глен Сэтер,Построитель
1965,howesy01h,Сид Хоу,Игрок
1952,johnsmo01h,Моос Джонсон,Игрок
2011,belfoed01h,Эд Бельфор,Игрок
1950,richage01h,Джордж Ричардсон,Игрок
1988,laflegu01h,Гийом Лафлёр,Игрок
1962,gardnji01h,Джим Гарднер,Игрок
1945,stanlfr01h,Фредерик Стэнли,Построитель
2002,neilsro01h,Рогер Нилсон,Построитель
1945,bakerho01h,Хобей Бейкер,Игрок
1983,mikitst01h,Стан Микита,Игрок
2001,fetisvi01h,Вячеслав Fetисов,Игрок
1962,obrieja01h,амбросе обриен,Построитель
1965,farrear01h,Арт Фаррелл,Игрок
2001,hawerda01h,Дейл Хаверчук,Игрок
1972,belivje01h,Жан Беливье,Игрок
2004,fletccl01h,Клифф Флетчер,Построитель
1989,bauerda01h,Дэвид Бауэр,Построитель
1958,norrija02h,Джеймс Норрис-старший,Построитель
2007,messima01h,Марк Месьер,Игрок
1974,dundeto01h,Томи Дундердейл,Игрок
1961,brownge03h,Джордж Браун,Построитель
1966,lachel01h,Элмер Лач,Игрок
1970,dyeba01h,Бебе Дай,Игрок
1985,mariujo01h,Джон Мариуччи,Построитель
1978,bathgan01h,Энди Батгейт,Игрок
1962,gilmobi01h,Билли Гилмора,Игрок
1999,morriia01h,Скотти Моррисон,Построитель
1962,darraja01h,Джек Даррагх,Игрок
1988,parkbr01h,Брад Парк,Игрок
1964,campban01h,Ангус Кэмпбелл,Построитель
1994,oneilbr01h,Брайан О'Нилл,Построитель
2008,chynoed01h,Эд Чиновет,Построитель
1969,hextabr01h,Брайан Хексталл,Игрок
1976,rossph01h,Филип Росс,Построитель
1977,hortoti01h,Тим Хортон,Игрок
1978,bickejo01h,Джон Бикел,Построитель
1980,patrily01h,Линн Патрик,Игрок
1985,pilouru01h,Руди Пилоус,Построитель
1962,brownwa02h,Уолтер Браун,Построитель
1992,mathefr01h,Франк Маттерс,Построитель
1971,sawchte01h,Терри Сэчкку,Игрок
2010,jamesan01h,Анджела Джеймс,Игрок
1958,conneal01h,Алеч Коннелл,Игрок
1945,morenho01h,Ховей Моренз,Игрок
1962,smithfr01h,Франк Смит,Построитель
1950,patrifr01h,Франк Патрик,Построитель
1965,hornere01h,Красный Хорнер,Игрок
1961,smeatco01h,Купер Смеатон,Судья/Судейский помощник
1945,allanmo01h,Монтуг Аллан,Построитель
1966,lindste01h,Тед Линдси,Игрок
1972,geoffbe01h,Бerni Geoffrion,Игрок
1958,moranpa01h,Пэдди Моран,Игрок
1960,selkefr01h,Франк Селке,Построитель
1994,conacli01h,Лионель Коначер,Игрок
1970,lebelro01h,Боб ЛеБел,Построитель
1966,brimsfr01h,Франк Бримсек,Игрок
1995,robinla01h,Лари Роббинс,Игрок
1973,harvedo01h,Дуглас Харви,Игрок
1962,westwha01h,Гарри Уэсвик,Игрок
1962,wilsoph01h,Фат Уилсон,Игрок
1978,tuttwi01h,Уильям Тутт,Построитель
1996,salmibo01h,Борже Салминг,Игрок
1965,scanlfr01h,Фред Сканлон,Игрок
