playerid,award,year,lgid,note,pos
kellyre01,Вторая команда всех звёзд,1955,NHL,,Д
stastpe01,Кальдер,1980,NHL,,
samsose01,Кальдер,1997,NHL,,
richama01,Первая команда всех звёзд,1948,NHL,,РВ
mcsorma01,Плюс-минус,1990,NHL,ки́в,
mikitst01,Арrt Росс,1967,NHL,,
durnabi01,Везина,1943,NHL,,
malkiev01,Арrt Росс,2008,NHL,,
lemiema01,Плюс-минус,1992,NHL,,
barrato01,Кальдер,1983,NHL,,
jagrja01,Первая команда всех звёзд,1999,NHL,,РВ
parkbr01,Первая команда всех звёзд,1971,NHL,,Д
prongch01,Вторая команда всех звёзд,1997,NHL,,Д
dyeba01,Арrt Росс,1922,NHL,,
schrisw01,Кальдер,1934,NHL,,
laperja01,Первая команда всех звёзд,1964,NHL,,Д
luongro01,Вторая команда всех звёзд,2006,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
tardima01,Как,1977,WHA,Минимально жизнеспособный продукт,
gretzwa01,Вторая команда всех звёзд,1997,NHL,,С
bouchfr01,Леди Байнг,1929,NHL,,
messima01,Харт,1989,NHL,,
howema01,Первая команда всех звёзд,1978,WHA,,ВВ
dionnma01,Первая команда всех звёзд,1979,NHL,,С
francro01,Леди Байнг,2001,NHL,,
gainebo01,Сельке,1979,NHL,,
kanepa01,Кальдер,2007,NHL,,
hampste01,Дену,1972,WHA,Самый галантный,
hamilal01,Вторая команда всех звёзд,1973,WHA,,Д
ftorero01,Как,1976,WHA,Минимально жизнеспособный продукт,
lecavvi01,Ричард,2006,NHL,,
hallgl01,Первая команда всех звёзд,1968,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
bernise01,MVP плей-офф,1976,WHA,,
bibeapa01,Вторая команда всех звёзд,1943,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
leyri01,Мурффи,1978,WHA,Лучший защитник,
breweca01,Вторая команда всех звёзд,1961,NHL,,Д
worslgu01,Вторая команда всех звёзд,1965,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
ovechal01,Пёрсон,2008,NHL,,
jagrja01,Вторая команда всех звёзд,1996,NHL,,РВ
poilebu01,Вторая команда всех звёзд,1947,NHL,,РВ
blaketo01,Харт,1938,NHL,,
hamilal01,Первая команда всех звёзд,1977,WHA,,Д
morenho01,Первая команда всех звёзд,1930,NHL,,С
shoreed01,Первая команда всех звёзд,1930,NHL,,Д
martiri01,Вторая команда всех звёзд,1975,NHL,,ВВ
harvedo01,Первая команда всех звёзд,1954,NHL,,Д
howego01,Первая команда всех звёзд,1965,NHL,,РВ
forsbpe01,Первая команда всех звёзд,2002,NHL,,С
osgooch01,Джингс,1995,NHL,общий,
esposph01,Первая команда всех звёзд,1971,NHL,,С
dionnma01,Пёрсон,1978,NHL,,
amontto01,Все-новобранец,1991,NHL,,РВ
jagrja01,Пёрсон,1999,NHL,,
laperja01,Первая команда всех звёзд,1965,NHL,,Д
hampste01,Мастертон,1968,NHL,,
ratelje01,Пёрсон,1971,NHL,,
ullmano01,Вторая команда всех звёзд,1966,NHL,,С
shoreed01,Харт,1937,NHL,,
burepa01,Ричард,1999,NHL,,
rasktu01,Крозье,2009,NHL,,
richama01,Первая команда всех звёзд,1945,NHL,,РВ
dumarwo01,Вторая команда всех звёзд,1940,NHL,,ВВ
gretzwa01,Арrt Росс,1993,NHL,,
croziro01,Первая команда всех звёзд,1964,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
dionnma01,Первая команда всех звёзд,1976,NHL,,С
sauvebo01,Везина,1979,NHL,общий,
iginlja01,Вторая команда всех звёзд,2003,NHL,,РВ
murratr01,Сельке,1985,NHL,,
middlri01,Леди Байнг,1981,NHL,,
bossymi01,Леди Байнг,1983,NHL,,
phanedi01,Все-новобранец,2005,NHL,,Д
hasekdo01,Везина,1993,NHL,,
bouchbu01,Первая команда всех звёзд,1946,NHL,,Д
shanabr01,Король Кленси,2002,NHL,,
fedorse01,Пёрсон,1993,NHL,,
breweca01,Вторая команда всех звёзд,1969,NHL,,Д
esposph01,Первая команда всех звёзд,1969,NHL,,С
esposto01,Кальдер,1969,NHL,,
esposto01,Первая команда всех звёзд,1969,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
esposto01,Везина,1969,NHL,,
giacoed01,Вторая команда всех звёзд,1969,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
goyetph01,Леди Байнг,1969,NHL,,
howego01,Первая команда всех звёзд,1969,NHL,,РВ
hullbo01,Первая команда всех звёзд,1969,NHL,,ВВ
laperja01,Вторая команда всех звёзд,1969,NHL,,Д
mahovfr01,Вторая команда всех звёзд,1969,NHL,,ВВ
martipi01,Мастертон,1969,NHL,,
mckenjo01,Вторая команда всех звёзд,1969,NHL,,РВ
mikitst01,Вторая команда всех звёзд,1969,NHL,,С
orrbo01,Арrt Росс,1969,NHL,,
orrbo01,Конн Смайти,1969,NHL,,
orrbo01,Первая команда всех звёзд,1969,NHL,,Д
orrbo01,Харт,1969,NHL,,
orrbo01,Норрис,1969,NHL,,
parkbr01,Первая команда всех звёзд,1969,NHL,,Д
bossymi01,Вторая команда всех звёзд,1984,NHL,,РВ
mogilal01,Леди Байнг,2002,NHL,,
conacch01,Арrt Росс,1934,NHL,,
rydermi01,Все-новобранец,2003,NHL,,"Здравствуйте! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести."
thomati01,Везина,2008,NHL,,
loobha01,Все-новобранец,1983,NHL,,РВ
nilssul01,MVP плей-офф,1975,WHA,,
antonmi01,Вторая команда всех звёзд,1976,WHA,,ВВ
cournyv01,Вторая команда всех звёзд,1972,NHL,,РВ
mahovfr01,Первая команда всех звёзд,1960,NHL,,ВВ
savarse01,Вторая команда всех звёзд,1978,NHL,,Д
lidstni01,Вторая команда всех звёзд,2008,NHL,,Д
selbybr01,Кальдер,1965,NHL,,
sawchte01,Первая команда всех звёзд,1950,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
skinnje01,Кальдер,2010,NHL,,
kellyre01,Первая команда всех звёзд,1952,NHL,,Д
whitnra01,Вторая команда всех звёзд,2011,NHL,,ВВ
roypa01,Везина,1991,NHL,,
howema01,Вторая команда всех звёзд,1973,WHA,,ВВ
lindetr01,Все-новобранец,1988,NHL,,С
mosdeke01,Первая команда всех звёзд,1953,NHL,,С
sundima01,Мессиер,2007,NHL,,
provocl01,Мастертон,1967,NHL,,
clancki01,Первая команда всех звёзд,1933,NHL,,Д
richama01,Первая команда всех звёзд,1949,NHL,,РВ
burchbi01,Леди Байнг,1926,NHL,,
durnabi01,Первая команда всех звёзд,1948,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
gretzwa01,Арrt Росс,1986,NHL,,
laflegu01,Харт,1976,NHL,,
charazd01,Норрис,2008,NHL,,
hodgeke02,Все-новобранец,1990,NHL,,РВ
lemiema01,Первая команда всех звёзд,1996,NHL,,С
sandede01,Кальдер,1967,NHL,,
prongch01,Все-новобранец,1993,NHL,,Д
kolziol01,Везина,1999,NHL,,
francro01,Король Кленси,2001,NHL,,
lindste01,Первая команда всех звёзд,1949,NHL,,ВВ
bentlma01,Вторая команда всех звёзд,1946,NHL,,С
malkiev01,Харт,2011,NHL,,
chelich01,Первая команда всех звёзд,1992,NHL,,Д
smithbi01,Везина,1981,NHL,,
niedesc01,Все-новобранец,1992,NHL,,Д
lemiema01,Вторая команда всех звёзд,1985,NHL,,С
jagrja01,Пёрсон,2005,NHL,,
bossymi01,Леди Байнг,1985,NHL,,
gretzwa01,Харт,1986,NHL,,
brindro01,Сельке,2005,NHL,,
reganla01,Кальдер,1956,NHL,,
jagrja01,Арrt Росс,1998,NHL,,
bentldo01,Первая команда всех звёзд,1942,NHL,,ВВ
carlsjo01,Все-новобранец,2010,NHL,,Д
orrbo01,Пёрсон,1974,NHL,,
bournbo01,Мастертон,1987,NHL,,
ftorero01,Первая команда всех звёзд,1978,WHA,,С
esposph01,Пёрсон,1972,NHL,,
barryma01,Первая команда всех звёзд,1936,NHL,,С
trottbr01,Король Кленси,1988,NHL,,
bourqra01,Вторая команда всех звёзд,1985,NHL,,Д
lemiema01,Конн Смайти,1990,NHL,,
crosbsi01,Мессиер,2009,NHL,,
parkbr01,Первая команда всех звёзд,1977,NHL,,Д
demitpa01,Леди Байнг,1999,NHL,,
lehtije01,Сельке,1997,NHL,,
hullbo01,Первая команда всех звёзд,1966,NHL,,ВВ
jagrja01,Арrt Росс,1997,NHL,,
pilotpi01,Вторая команда всех звёзд,1960,NHL,,Д
lachel01,Харт,1944,NHL,,
bouwmja01,Все-новобранец,2002,NHL,,Д
drillgo01,Первая команда всех звёзд,1937,NHL,ки́в,РВ
shoreed01,Первая команда всех звёзд,1931,NHL,,Д
seibeea01,Первая команда всех звёзд,1943,NHL,,Д
hortoti01,Первая команда всех звёзд,1968,NHL,,Д
mullejo01,Леди Байнг,1988,NHL,,
dumarwo01,Вторая команда всех звёзд,1946,NHL,,ВВ
pronoma01,Вторая команда всех звёзд,1958,NHL,,Д
raynech01,Вторая команда всех звёзд,1950,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
robinla01,Конн Смайти,1977,NHL,,
robitlu01,Вторая команда всех звёзд,1986,NHL,,ВВ
pecami01,Сельке,2001,NHL,,
wilsodo01,Вторая команда всех звёзд,1984,NHL,,Д
chelich01,Первая команда всех звёзд,1994,NHL,,Д
cookbi01,Вторая команда всех звёзд,1933,NHL,,РВ
chelich01,Мессиер,2006,NHL,,
yashial01,Вторая команда всех звёзд,1998,NHL,,С
chevrre01,Вторая команда всех звёзд,1956,NHL,,ВВ
tardima01,Первая команда всех звёзд,1977,WHA,,ВВ
orrbo01,Харт,1970,NHL,,
cashmwa01,Вторая команда всех звёзд,1973,NHL,,ВВ
plantja01,Первая команда всех звёзд,1961,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
kerrda01,Вторая команда всех звёзд,1937,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
goodfeb01,Вторая команда всех звёзд,1935,NHL,,Д
gardich01,Первая команда всех звёзд,1931,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
savarse01,Конн Смайти,1968,NHL,,
howarji01,Все-новобранец,2009,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
leachre01,Вторая команда всех звёзд,1975,NHL,,РВ
dennecy01,Арrt Росс,1923,NHL,,
ftorero01,Первая команда всех звёзд,1976,WHA,,С
boyleda01,Вторая команда всех звёзд,2006,NHL,,Д
sittlda01,Вторая команда всех звёзд,1977,NHL,,С
shuttst01,Вторая команда всех звёзд,1979,NHL,,ВВ
bentldo01,Арrt Росс,1942,NHL,,
hedbean01,Каплан,1974,WHA,Руки-ножки,
bentlma01,Арrt Росс,1945,NHL,,
stevesc01,Плюс-минус,1993,NHL,,
jovaned01,Все-новобранец,1995,NHL,,Д
trottbr01,Харт,1978,NHL,,
tardima01,Хunter,1975,WHA,Счет,
quackbi01,Вторая команда всех звёзд,1952,NHL,,Д
robitlu01,Вторая команда всех звёзд,1991,NHL,,ВВ
steveke01,Первая команда всех звёзд,1991,NHL,,ВВ
nasluma02,Первая команда всех звёзд,2001,NHL,,ВВ
ftorero01,Вторая команда всех звёзд,1977,WHA,,С
alfreda01,Вторая команда всех звёзд,2005,NHL,,РВ
hadfivi01,Вторая команда всех звёзд,1971,NHL,,ВВ
malkiev01,Все-новобранец,2006,NHL,,"Здравствуйте! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести."
quackbi01,Первая команда всех звёзд,1947,NHL,,Д
patrily01,Вторая команда всех звёзд,1942,NHL,,ВВ
goodfeb01,Первая команда всех звёзд,1936,NHL,,Д
doansh01,Король Кленси,2009,NHL,,
nilsske01,Дену,1978,WHA,Самый галантный,
hullbo01,Первая команда всех звёзд,1965,NHL,,ВВ
belfoed01,Все-новобранец,1990,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
belfoed01,Кальдер,1990,NHL,,
belfoed01,Первая команда всех звёзд,1990,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
belfoed01,Джингс,1990,NHL,,
belfoed01,Везина,1990,NHL,,
blakero01,Все-новобранец,1990,NHL,,Д
bourqra01,Первая команда всех звёзд,1990,NHL,,Д
bourqra01,Норрис,1990,NHL,,
chelich01,Вторая команда всех звёзд,1990,NHL,,Д
fedorse01,Все-новобранец,1990,NHL,,С
fleurth01,Плюс-минус,1990,NHL,ки́в,
grahadi01,Сельке,1990,NHL,,
gretzwa01,Арrt Росс,1990,NHL,,
gretzwa01,Первая команда всех звёзд,1990,NHL,,С
gretzwa01,Леди Байнг,1990,NHL,,
hullbr01,Первая команда всех звёзд,1990,NHL,,РВ
hullbr01,Харт,1990,NHL,,
hullbr01,Пёрсон,1990,NHL,,
jagrja01,Все-новобранец,1990,NHL,,ВВ
leetcbr01,Вторая команда всех звёзд,1990,NHL,,Д
macinal01,Первая команда всех звёзд,1990,NHL,,Д
neelyca01,Вторая команда всех звёзд,1990,NHL,,РВ
oatesad01,Вторая команда всех звёзд,1990,NHL,,С
robitlu01,Первая команда всех звёзд,1990,NHL,,ВВ
roypa01,Вторая команда всех звёзд,1990,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
steveke01,Вторая команда всех звёзд,1990,NHL,,ВВ
tayloda01,Король Кленси,1990,NHL,,
tayloda01,Мастертон,1990,NHL,,
weinrer01,Все-новобранец,1990,NHL,,Д
gretzwa01,Вторая команда всех звёзд,1996,NHL,,С
macinal01,Вторая команда всех звёзд,1988,NHL,,Д
sakicjo01,Первая команда всех звёзд,2003,NHL,,С
reddewa01,Плюс-минус,2005,NHL,ки́в,
stevesc01,Вторая команда всех звёзд,2000,NHL,,Д
drydeke01,Везина,1972,NHL,,
mackefl01,Первая команда всех звёзд,1952,NHL,,С
leetcbr01,Кальдер,1988,NHL,,
bourqra01,Первая команда всех звёзд,1986,NHL,,Д
pilotpi01,Первая команда всех звёзд,1962,NHL,,Д
brimsfr01,Везина,1941,NHL,,
gretzwa01,Вторая команда всех звёзд,1978,WHA,,С
lapoigu01,Вторая команда всех звёзд,1976,NHL,,Д
siebeba01,Первая команда всех звёзд,1935,NHL,,Д
turekro01,Джингс,1998,NHL,общий,
bossymi01,Кальдер,1977,NHL,,
crosbsi01,Пёрсон,2006,NHL,,
hebenan01,Леди Байнг,1956,NHL,,
clancki01,Вторая команда всех звёзд,1932,NHL,,Д
primejo01,Леди Байнг,1931,NHL,,
appssy01,Вторая команда всех звёзд,1937,NHL,,С
blaketo01,Вторая команда всех звёзд,1937,NHL,,ВВ
coultar01,Вторая команда всех звёзд,1937,NHL,,Д
cowlebi01,Первая команда всех звёзд,1937,NHL,,С
dahlscu01,Кальдер,1937,NHL,,
dilloce01,Первая команда всех звёзд,1937,NHL,ки́в,РВ
drillgo01,Арrt Росс,1937,NHL,,
drillgo01,Леди Байнг,1937,NHL,,
seibeea01,Вторая команда всех звёзд,1937,NHL,,Д
shoreed01,Первая команда всех звёзд,1937,NHL,,Д
siebeba01,Первая команда всех звёзд,1937,NHL,,Д
thomppa01,Первая команда всех звёзд,1937,NHL,,ВВ
thompti01,Первая команда всех звёзд,1937,NHL,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
thompti01,Везина,1937,NHL,,
macdoki01,Кальдер,1939,NHL,,
