playerid,year,ppa,sha
ruotsre01,1989,9,
proppbr01,1989,9,
wilsoca01,1990,4,
rousebo01,1988,,1
fentopa01,1990,2,
broteaa01,1989,3,
pederba01,1989,7,1
kaspest01,1988,6,2
loisecl01,1990,1,1
allismi01,1987,5,
kennede01,1988,,2
mckegto01,1990,7,
skrikpe01,1990,5,
ledyagr01,1988,6,
actonke01,1988,,1
samueul01,1990,,2
lemiejo01,1989,1,1
ledyagr01,1987,5,
bradlbr01,1990,10,
gartnmi01,1988,9,
hardyma01,1988,5,
pavesji01,1987,1,
adamsgr01,1988,1,
gartnmi01,1989,14,1
macivno01,1988,19,
duguaro01,1987,2,
ysebapa01,1990,4,1
mckegto01,1989,3,
linseke01,1989,8,
maclebr01,1988,8,
maroima01,1988,3,
petitmi01,1990,16,
klimape01,1989,11,
mcbeawa01,1988,1,
wilsoca01,1987,9,3
lawlepa01,1987,3,
huntema01,1990,4,
brownje02,1989,24,
dineego01,1987,2,
hullbr01,1987,10,
libaig01,1988,6,
manthmo01,1988,9,
picarro02,1989,1,1
hardyma01,1987,10,1
donnemi01,1987,2,
wilsoca01,1988,19,
crossdo01,1990,21,
franclo01,1990,1,1
ciccadi01,1988,10,1
frasecu01,1987,2,
kurveto01,1990,15,
gingrga01,1987,9,
creigad01,1988,7,
nylunga01,1988,1,
joycebo01,1989,3,
zezelpe01,1990,5,1
cunnera01,1989,4,
thibagi01,1989,2,
ramagro01,1987,19,2
murphla01,1988,22,
brookbo01,1989,1,2
cullejo01,1990,29,
charbjo01,1988,1,
nichobe01,1989,37,1
adamsgr01,1989,1,
tantito01,1990,5,
carsoli01,1987,1,1
mcdonhu01,1989,1,
huberwi01,1987,14,
deblolu01,1990,,1
malondo01,1988,2,
vaiveri01,1988,15,
lawtobr01,1989,1,
poulida02,1989,1,1
bassebo01,1988,,1
butchga01,1990,3,2
tuckejo01,1990,1,
quinnda01,1989,15,1
murphla01,1990,19,
adamsgr01,1988,1,
sandsto01,1989,20,
donnemi01,1987,2,
allismi01,1987,5,
pederba01,1989,7,1
creigad01,1988,7,
broteaa01,1989,3,
bennibr01,1989,5,
bodgedo01,1988,25,1
ciccadi01,1988,10,1
larsore01,1988,14,
bradlbr01,1990,10,
lemiejo01,1989,1,1
coxecr01,1987,1,
malondo01,1988,2,
courtru01,1988,2,
dahlqch01,1990,,1
sanipev01,1989,2,
cunnera01,1989,4,
tuckejo01,1990,1,
thibagi01,1989,2,
vaiveri01,1988,15,
krushmi01,1990,3,
mckegto01,1989,3,
huntema01,1990,4,
kaspest01,1988,6,2
fentopa01,1990,2,
halwado01,1988,1,
dineego01,1988,2,
brookbo01,1989,1,2
nylunga01,1988,1,
poulida02,1989,1,1
murphla01,1988,22,
archida01,1989,4,
macivno01,1988,19,
ledyagr01,1987,5,
samueul01,1990,,2
lawtobr01,1989,1,
gingrga01,1987,9,
macdepa01,1989,2,
pederma01,1990,7,
klimape01,1989,11,
manthmo01,1987,15,1
zezelpe01,1990,5,1
franclo01,1990,1,1
joycebo01,1989,3,
cullejo01,1990,29,
robergo01,1987,3,
bassebo01,1988,,1
duguaro01,1987,2,
dineego01,1987,2,
hardyma01,1988,5,
ruffli01,1988,1,
mcdonhu01,1989,1,
frasecu01,1987,2,
archida01,1989,4,
josepch01,1987,6,
chrisda01,1989,7,
bullami01,1988,13,
petitmi01,1987,9,1
cunnera01,1989,4,
quinnda01,1990,18,
dineego01,1988,2,
nichobe01,1989,37,1
manthmo01,1988,9,
deblolu01,1990,,1
ledyagr01,1987,5,
actonke01,1988,,1
cullejo01,1990,29,
creigad01,1988,7,
goulemi01,1989,15,1
gartnmi01,1989,14,1
wellsja01,1989,3,2
hullbr01,1987,10,
huntema01,1990,4,
lawtobr01,1988,4,
lemiejo01,1989,1,1
macdepa01,1989,2,
halwado01,1988,1,
kurveto01,1990,15,
tantito01,1989,9,
thibagi01,1989,2,
pederma01,1990,7,
stastpe01,1989,23,
maclebr01,1988,8,
sanipev01,1989,2,
mckegto01,1989,3,
hardyma01,1987,10,1
brownro01,1990,10,
joycebo01,1989,3,
sandsto01,1989,20,
tuckejo01,1990,1,
jonssto01,1988,24,
bassebo01,1988,,1
zezelpe01,1990,5,1
libaig01,1988,6,
hunteda01,1988,,1
wilsoca01,1988,19,
pederba01,1989,7,1
erickbr01,1987,6,
carsoji01,1989,5,
archida01,1989,4,
malondo01,1988,2,
makelmi01,1989,1,
tuckejo01,1989,6,
adamsgr01,1988,1,
ledyagr01,1988,6,
carpebo01,1988,4,
manthmo01,1987,15,1
maroima01,1988,3,
wilsoca01,1990,4,
butchga01,1990,3,2
brownro01,1990,10,
broteaa01,1990,1,
konrost01,1988,1,1
hunteda01,1987,1,4
fentopa01,1990,2,
ruffli01,1988,1,
ramagro01,1987,19,2
gingrga01,1987,9,
simpscr01,1987,10,1
cyrpa01,1987,1,
frycemi01,1988,3,
pavesji01,1987,1,
lawtobr01,1988,4,
creigad01,1988,7,
picarro02,1989,1,1
allismi01,1987,5,
ciccadi01,1988,10,1
courtru01,1988,2,
playfla01,1988,,1
kaspest01,1988,6,2
brookbo01,1989,1,2
mckegto01,1990,7,
kurveto01,1990,15,
manthmo01,1988,9,
murphla01,1988,22,
skrikpe01,1990,5,
larsore01,1988,14,
wellsja01,1989,3,2
donnemi01,1987,2,
paslagr01,1990,3,1
zezelpe01,1988,17,
quinnda01,1990,18,
hrdinji01,1990,4,
frasecu01,1987,2,
halwado01,1988,1,
hardyma01,1987,10,1
murphla01,1990,19,
linseke01,1989,8,
sandsto01,1989,20,
deblolu01,1990,,1
hunteda01,1988,,1
bradlbr01,1990,10,
tantito01,1989,9,
lawlepa01,1987,3,
chrisda01,1989,7,
franclo01,1990,1,1
mcintjo01,1990,,2
ruotsre01,1989,9,
petitmi01,1987,9,1
bullami01,1988,13,
norwole01,1990,3,
pederma01,1990,7,
poulida02,1989,1,1
ysebapa01,1990,4,1
klimape01,1989,11,
huberwi01,1987,14,
macdepa01,1989,2,
thibagi01,1989,2,
tantito01,1990,5,
bassebo01,1988,,1
huntema01,1990,4,
tuckejo01,1990,1,
dineego01,1987,2,
ferrara01,1990,5,
mcbeawa01,1988,1,
krushmi01,1990,3,
laughcr01,1987,3,
foligmi01,1990,1,
hardyma01,1988,5,
charbjo01,1988,1,
crossdo01,1990,21,
cunnera01,1989,4,
hrdinji01,1990,4,
pederma01,1990,7,
joycebo01,1989,3,
picarro02,1989,1,1
loisecl01,1990,1,1
crossdo01,1990,21,
mcintjo01,1990,,2
actonke01,1988,,1
frasecu01,1987,2,
murphla01,1988,22,
bodgedo01,1988,25,1
paslagr01,1990,3,1
adamsgr01,1988,1,
cunnera01,1989,4,
brownro01,1990,10,
dineego01,1987,2,
thibagi01,1989,2,
wilsoca01,1988,19,
donnemi01,1987,2,
stastpe01,1989,23,
tantito01,1990,5,
libaig01,1988,6,
mcdonhu01,1989,1,
tuckejo01,1989,6,
zezelpe01,1990,5,1
ledyagr01,1987,5,
poulida02,1989,1,1
hardyma01,1988,5,
cullejo01,1990,29,
bullami01,1988,13,
playfla01,1988,,1
bassebo01,1988,,1
norwole01,1990,3,
manthmo01,1987,15,1
petitmi01,1990,16,
foligmi01,1990,1,
coxecr01,1987,1,
kurveto01,1990,15,
ruotsre01,1989,9,
iafraal01,1990,11,1
huberwi01,1987,14,
johanca01,1988,7,
kennede01,1988,,2
samueul01,1990,,2
vaiveri01,1988,15,
carsoji01,1989,5,
dineego01,1988,2,
dahlqch01,1990,,1
smaildo01,1990,1,1
larsore01,1988,14,
wilsoca01,1987,9,3
carpebo01,1988,4,
krushmi01,1990,3,
fentopa01,1990,2,
sheehne01,1987,1,
nylunga01,1988,1,
ruffli01,1988,1,
adamsgr01,1989,1,
huntema01,1990,4,
maroima01,1988,3,
josepch01,1987,6,
quinnda01,1989,15,1
lawlepa01,1987,3,
proppbr01,1989,9,
lawtobr01,1988,4,
goulemi01,1989,15,1
ledyagr01,1988,6,
manthmo01,1988,9,
pavesji01,1987,1,
broteaa01,1990,1,
ysebapa01,1990,4,1
gartnmi01,1988,9,
petitmi01,1987,9,1
ferrara01,1990,5,
halwado01,1988,1,
brownje02,1989,24,
skrikpe01,1990,5,
lemiejo01,1989,1,1
lawlepa01,1987,3,
johanca01,1988,7,
hrdinji01,1990,4,
ruffli01,1988,1,
hardyma01,1988,5,
huberwi01,1987,14,
maroima01,1988,3,
zezelpe01,1988,17,
hullbr01,1987,10,
stastpe01,1989,23,
duguaro01,1987,2,
laughcr01,1987,3,
hunteda01,1987,1,4
paslagr01,1990,3,1
larsore01,1988,14,
pederma01,1990,7,
murphla01,1988,22,
brownro01,1990,10,
wellsja01,1989,3,2
sanipev01,1989,2,
donnemi01,1987,2,
momesse01,1990,1,
murphla01,1990,19,
wilsoca01,1990,4,
macdepa01,1989,2,
creigad01,1988,7,
actonke01,1988,,1
kontoch01,1987,6,
sheehne01,1987,1,
frycemi01,1988,3,
makelmi01,1989,1,
bullami01,1988,13,
gingrga01,1987,9,
proppbr01,1989,9,
courtru01,1988,2,
jonssto01,1988,24,
tuckejo01,1989,6,
foligmi01,1990,1,
bassebo01,1988,,1
klimape01,1989,11,
vaiveri01,1988,15,
courtge01,1987,7,
pavesji01,1987,1,
linseke01,1989,8,
ferrara01,1990,5,
manthmo01,1987,15,1
robergo01,1987,3,
tantito01,1990,5,
kennede01,1988,,2
mcintjo01,1990,,2
allismi01,1987,5,
cullejo01,1990,29,
petitmi01,1987,9,1
coxecr01,1987,1,
nylunga01,1988,1,
macivno01,1988,19,
hunteda01,1988,,1
grahadi01,1987,7,1
manthmo01,1988,9,
rousebo01,1988,,1
konrost01,1988,1,1
pederba01,1989,7,1
goulemi01,1989,15,1
skrikpe01,1990,5,
bradlbr01,1990,10,
carpebo01,1988,4,
