File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
players.csv,50,birthcity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,296,birthcity,7,27,285.7,Manteca,&lt; &lt; Мантека &gt; &gt;
players.csv,296,deathcity,7,27,285.7,Manteca,&lt; &lt; Мантека &gt; &gt;
players.csv,509,namelast,7,26,271.4,DeShong,&lt; &lt; ДеШонг &gt; &gt;
players.csv,597,namelast,7,27,285.7,Estrada,&lt; &lt; Эстрада &gt; &gt;
players.csv,655,deathcity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,824,namenick,4,40,900.0,Jeep,Автомобиль типа &lt; &lt; джип &gt; &gt;
players.csv,826,namefirst,5,19,280.0,Truck,Грузовой автомобиль
players.csv,1258,birthcity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,1380,birthcity,8,29,262.5,Altadena,&lt; &lt; Альтадена &gt; &gt;
players.csv,1478,college,8,28,250.0,Marin CC,&lt; &lt; Марин CC &gt; &gt;
players.csv,1684,namenick,6,20,233.3,Gunner,Огнестрельное оружие
players.csv,2091,namelast,5,16,220.0,Urban,Городские районы
players.csv,2120,birthcity,9,41,355.6,Englewood,Englewood ( &lt; &lt; Энглвуд &gt; &gt; )
players.csv,2216,deathcity,7,27,285.7,Edmonds,&lt; &lt; Эдмондс &gt; &gt;
players.csv,2283,birthcity,9,31,244.4,Camp Hill,Лагерь &lt; &lt; Хилл &gt; &gt;
schools.csv,179,schoolnick,6,25,316.7,Pilots,Экспериментальные проекты
schools.csv,321,schoolnick,6,25,316.7,Pilots,Экспериментальные проекты
schools.csv,509,schoolnick,6,27,350.0,Miners,Горнодобывающие предприятия
