File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
actor.csv,34,first_name,6,35,483.3,CARMEN,АВТОМОБИЛЬНЫЕ ТРАНСПОРТНЫЕ СРЕДСТВА
actor.csv,47,first_name,4,16,300.0,SEAN,ЗЕМЛЕПОЛЬЗОВАНИЕ
actor.csv,67,last_name,5,20,300.0,CROWE,РУКОВОДЯЩИЙ СТРУКТУР
actor.csv,95,first_name,5,24,380.0,OPRAH,ОПЕРАТИВНАЯ ДЕЯТЕЛЬНОСТЬ
customer.csv,72,first_name,6,21,250.0,ERNEST,ЭНЕРГЕТИЧЕСКАЯ ПОМОЩЬ
customer.csv,96,last_name,6,25,316.7,SLEDGE,ЗАПЛАНИРОВАННЫЕ ЗАСЕДАНИЯ
customer.csv,102,last_name,4,13,225.0,SEAL,Морской котик
film_text.csv,90,title,12,56,366.7,ICE CROSSING,МЕЖПРАВИТЕЛЬСТВЕННАЯ МЕХАНИЧЕСКАЯ МЕЖПРАВИТЕЛЬСТВЕ...
film_text.csv,176,title,12,51,325.0,UNITED PILOT,ПОЛОЖЕНИЕ В ОБЛАСТИ ПРАВ ЧЕЛОВЕКА И ОСНОВНЫХ СВОБО...
film.csv,36,title,14,44,214.3,EXCITEMENT EVE,ЭВМ &lt; &lt; ЭКСПЛУАТАЦИОННЫЙ ЭВМ &gt; &gt;
