playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
abdulka01,Карим,Карим,,Абдул-Джаббар,,Фердинанд Льюис Алкиндор-младший.,,"Львиная голова, Кепка",С,0,0,85.0,225,Калифорниский университет в Лос-Анджелесе,,1947-04-16,Нью-Йорк,НЮ,США,Памятник силы,Нью-Йорк,НЮ,США,0000-00-00,B
abdursh01,Шариф,Юлий,Shareef,Абдуррахим,,,,"Шариф, Риф","Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0,0,81.0,225,Калифорния,,1976-12-11,Маретта,ГА,США,Вэллер,Маретта,ГА,США,0000-00-00,B
adamsal01,Алван,Алван,Leigh,Адамс,,,,"Двойной А, Оклахома-кид",C-F,0,0,81.0,210,Оклахома,,1954-07-19,Лоуренс,КС,США,Пуэмтун-Сити,Пуэмтун-Сити,"Доброе утро! Как дела? Я готов помочь с переводом. Напишите текст для перевода, и я сделаю это как можно скорее.",США,0000-00-00,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
adamsmi01,Майкл,Майкл,,Адамс,,,,,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,70.0,162,Бостонский колледж,,1963-01-19,Хартфорд,КТ,США,Хартуфордский общественный,Хартфорд,КТ,США,0000-00-00,B
aguirma01,Марк,Марк,Anthony,Агуэро,,,,,F-Г,0,0,78.0,232,Депоол,,1959-12-10,Чикаго,ЕЛ,США,Остин / Вестсайдский вокальный,Чикаго,ЕЛ,США,0000-00-00,B
aingeda01,Дэнни,Даниэль,Ray,Айндж,,,,Дэнни,G-Ф,0,0,76.0,175,Бригам Янг,,1959-03-17,Евгений,О'Р,США,Северный Юджин,Северный Юджин,О'Р,США,0000-00-00,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
allenra02,Рей,Уолтер,Ray,Аллен,,,,Рей,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,77.0,205,Коннектикут,,1975-07-20,Мерседа,Калифорния,США,Хиллкрест,Далзелл,SC,США,0000-00-00,B
anderke01,Кени,Кеннет,,Андерсон,,,,Кени,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,72.0,168,Технологический институт Джорджии,,1970-10-09,Кора,НЮ,США,Архиепископ Малло,Бриарвуд,НЮ,США,0000-00-00,B
anthoca01,Камерино,Камерино,Kyam,Антонио,,,,Мело,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0,0,80.0,220,Сиракузы,,1984-05-29,Бруклин,НЮ,США,Товсон-Католик / Оак-Хилл-Академи,Товсон / Мouth of Уилсон,МД / ВА,США,0000-00-00,B
archina01,Нат,Натаниэль,,Архибальд,,,,"Нейт, Тини","Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,73.0,150,УТЕП,Аризонский западно-пресвитерианский колледж,1948-09-02,Нью-Йорк,НЮ,США,Дьюи Клинтон,Бруклин,НЮ,США,0000-00-00,B
arenagi01,Гилберт,Гилберт,Jay,Арены,,,,Агент Зеро,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,75.0,191,Аризона,,1982-01-06,Тампа,ФЛ,США,Грант,Ван Нуйс,Калифорния,США,0000-00-00,B
arizipa01,Па́у́л,Па́у́л,Joseph,Аризин,,,,Пичинг Пол,F-Г,0,0,74.0,190,Виланова,,1928-04-09,Филадельфия,ПА,США,Лассаль (ДНП),Филадельфия,ПА,США,2006-12-12,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
armstbj01,Б.Дж.,Бенджамин,Roy,Армстронг,,,Jr.,"Б.Дж., Мальчик","Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,74.0,175,Айова,,1967-09-09,Детройт,МИ,США,Брат Рис,Бирмингем,МИ,США,0000-00-00,B
artesro01,Меттa,Меттa,,Мир на Земле,,Рональд Уильям Артест,,Рон,G-Ф,0,0,78.0,244,Сент-Джонс (Нью-Йорк),,1979-11-13,Квинсбридж,НЮ,США,Ласейлская академия,Нью-Йорк,НЮ,США,0000-00-00,B
bakervi01,Вин,Винсент,Lamont,Пекар,,,,Вин,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0,0,82.5,232,Хартфорд,,1971-11-23,Озеро Уэлс,ФЛ,США,Олд-Сэйбробу,Олд-Сэйбробу,КТ,США,0000-00-00,B
barklch01,Чарльз,Чарльз,Wade,Барклей,,,,"Сэр Чарльз, Чак, Чукстер","Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0,0,77.0,250,Орех,,1963-02-20,Лейдс,АЛ,США,Лейдс,Лейдс,АЛ,США,0000-00-00,B
barksdo01,Да,Дональд,Argee,Баркслей,,,,,Ф-Ц,0,0,78.0,200,Калифорниский университет в Лос-Анджелесе,Марин ЖК,1923-03-31,Окленд,Калифорния,США,Беркли,Беркли,Калифорния,США,1993-03-08,B
barnedi01,Дик,Ричард,,Барнетт,,,,"Дик, Скул, Фол бэк бэби",G-Ф,0,0,76.0,190,Теннесси Стейт,,1936-10-02,Гарри,В,США,Рузвельт,Гарри,В,США,0000-00-00,B
barnema01,Марвин,Марвин,Jerome,Барнс,,,,"Хорошие новости, величественные",Ф-Ц,0,0,80.0,210,Провиденс,,1952-07-27,Провиденс,Р,США,Центральный,Провиденс,Р,США,0000-00-00,B
barnhle01,Лео,Лео,A.,Барнхорст,,,,Барни,F-Г,0,0,76.0,190,Нотр-Дам,,1924-05-17,Бич-Гров,В,США,Собор,Индианаполис,В,США,2000-08-25,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
barroda01,Дана,Дана,Bruce,Барросы,,,,,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,71.0,163,Бостонский колледж,,1967-04-13,Бостон,М,США,Хавьериан,Западноевуд,М,США,0000-00-00,B
barryri01,Рик,Ричард,Francis  Dennis,Барри,,,Третье,Рик,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0,0,79.0,205,Майами (Флорида),,1944-03-28,Елизавета,НДж,США,Росселль Парк,Росселль Парк,НДж,США,0000-00-00,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода."
bayloel01,Элгин,Элгин,Gay,Бейлор,,,,Зайчик,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",0,0,77.0,225,Сиэтл,Колледж Айдахо,1934-09-16,Вашингтон,ДК,США,Спингарн / Пфелс профессиональное,Вашингтон,ДК,США,0000-00-00,B
beardbu01,Бутч,Альфред,,Борода,,,Jr.,Бутч,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",0,0,75.0,185,Луизвилл,,1947-05-04,Хардинсбург,К,США,Бреконриджский округ,Хардинсбург,К,США,0000-00-00,B
