id,playerid,year,stint,tmid,lgid,gp,gs,minutes,points,orebounds,drebounds,rebounds,assists,steals,blocks,turnovers,pf,fgattempted,fgmade,ftattempted,ftmade,threeattempted,threemade,postgp,postgs,postminutes,postpoints,postorebounds,postdrebounds,postrebounds,postassists,poststeals,postblocks,postturnovers,postpf,postfgattempted,postfgmade,postftattempted,postftmade,postthreeattempted,postthreemade,note
8,abdulka01,1969,1,MIL,NBA,82,0,3534,2361,0,0,1190,337,0,0,0,283,1810,938,743,485,0,0,10,0,435,352,0,0,168,41,0,0,0,25,245,139,101,74,0,0,
9,abdulka01,1970,1,MIL,NBA,82,0,3288,2596,0,0,1311,272,0,0,0,264,1843,1063,681,470,0,0,14,0,577,372,0,0,238,35,0,0,0,35,295,152,101,68,0,0,
10,abdulka01,1971,1,MIL,NBA,81,0,3583,2822,0,0,1346,370,0,0,0,235,2019,1159,732,504,0,0,11,0,510,316,0,0,200,56,0,0,0,35,318,139,54,38,0,0,
11,abdulka01,1972,1,MIL,NBA,76,0,3254,2292,0,0,1224,379,0,0,0,208,1772,982,460,328,0,0,6,0,276,137,0,0,97,17,0,0,0,26,138,59,35,19,0,0,
12,abdulka01,1973,1,MIL,NBA,81,0,3548,2191,287,891,1178,386,112,283,0,238,1759,948,420,295,0,0,16,0,758,515,67,186,253,78,20,39,0,41,402,224,91,67,0,0,
13,abdulka01,1974,1,MIL,NBA,65,0,2747,1949,194,718,912,264,65,212,0,205,1584,812,426,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,abdulka01,1975,1,LAL,NBA,82,0,3379,2275,272,1111,1383,413,119,338,0,292,1728,914,636,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,abdulka01,1976,1,LAL,NBA,82,0,3016,2152,266,824,1090,319,101,261,0,262,1533,888,536,376,0,0,11,0,467,381,51,144,195,45,19,38,0,42,242,147,120,87,0,0,
17,abdulka01,1978,1,LAL,NBA,80,0,3157,1903,207,818,1025,431,76,316,282,230,1347,777,474,349,0,0,8,0,367,228,18,83,101,38,8,33,29,26,152,88,62,52,0,0,
18,abdulka01,1979,1,LAL,NBA,82,0,3143,2034,190,696,886,371,81,280,297,216,1383,835,476,364,1,0,15,0,618,479,51,130,181,46,17,58,55,51,346,198,105,83,0,0,
19,abdulka01,1980,1,LAL,NBA,80,0,2976,2095,197,624,821,272,59,228,249,244,1457,836,552,423,1,0,3,0,134,80,13,37,50,12,3,8,11,14,65,30,28,20,0,0,
20,abdulka01,1981,1,LAL,NBA,76,0,2677,1818,172,487,659,225,63,207,230,224,1301,753,442,312,3,0,14,0,493,285,33,86,119,51,14,45,41,45,221,115,87,55,0,0,
21,abdulka01,1982,1,LAL,NBA,79,0,2554,1722,167,425,592,200,61,170,200,220,1228,722,371,278,2,0,15,0,588,406,25,90,115,42,17,55,50,61,287,163,106,80,1,0,
22,abdulka01,1983,1,LAL,NBA,80,0,2622,1717,169,418,587,211,55,143,221,211,1238,716,394,285,1,0,21,0,767,502,56,117,173,79,23,45,45,71,371,206,120,90,0,0,
23,abdulka01,1984,1,LAL,NBA,79,0,2630,1735,162,460,622,249,63,162,197,238,1207,723,395,289,1,0,19,0,610,416,50,104,154,76,23,36,52,67,300,168,103,80,0,0,
24,abdulka01,1985,1,LAL,NBA,79,0,2629,1846,133,345,478,280,67,130,203,248,1338,755,439,336,2,0,14,0,489,362,26,57,83,49,15,24,42,54,282,157,61,48,0,0,
25,abdulka01,1986,1,LAL,NBA,78,0,2441,1366,152,371,523,203,49,97,186,245,993,560,343,245,3,1,18,0,559,345,39,84,123,36,8,35,40,56,234,124,122,97,1,0,
26,abdulka01,1987,1,LAL,NBA,80,0,2308,1165,118,360,478,135,48,92,159,216,903,480,269,205,1,0,24,0,718,338,49,82,131,36,15,37,46,81,304,141,71,56,2,0,
27,abdulka01,1988,1,LAL,NBA,74,0,1695,748,103,231,334,74,38,85,95,196,659,313,165,122,3,0,15,0,351,167,13,46,59,19,5,11,22,43,147,68,43,31,0,0,
73,abdursh01,2001,1,ATL,NBA,77,0,2980,1636,198,498,696,239,98,81,250,214,1297,598,523,419,70,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,adamsal01,1975,1,PHO,NBA,80,0,2656,1519,215,512,727,450,121,116,0,274,1341,629,355,261,0,0,19,0,668,341,54,137,191,98,24,20,0,60,303,137,82,67,0,0,
141,adamsmi01,1991,1,WSB,NBA,78,0,2795,1408,58,252,310,594,145,9,212,162,1233,485,360,313,386,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,aguirma01,1983,1,DAL,NBA,79,0,2900,2330,161,308,469,358,80,22,285,246,1765,925,621,465,56,15,10,0,350,220,21,55,76,32,5,5,27,34,184,88,57,44,5,0,
186,aguirma01,1986,1,DAL,NBA,80,0,2663,2056,181,246,427,254,84,30,217,243,1590,787,557,429,150,53,4,0,130,85,11,13,24,8,8,0,9,15,62,31,30,23,4,0,
187,aguirma01,1987,1,DAL,NBA,77,0,2610,1932,182,252,434,278,70,57,203,223,1571,746,504,388,172,52,17,0,558,367,34,66,100,59,14,9,41,49,294,147,86,60,34,13,
205,aingeda01,1987,1,BOS,NBA,81,0,3018,1270,59,190,249,503,115,17,153,203,982,482,180,158,357,148,17,0,670,198,15,38,53,109,9,1,41,64,184,71,42,37,57,19,
305,allenra02,1999,1,MIL,NBA,82,0,3070,1809,83,276,359,308,110,19,183,187,1411,642,398,353,407,172,5,0,186,110,10,23,33,13,8,0,9,10,90,40,22,20,26,10,
306,allenra02,2000,1,MIL,NBA,82,0,3129,1806,101,327,428,374,124,20,204,192,1309,628,392,348,467,202,18,0,768,452,19,55,74,108,24,10,43,44,331,158,86,79,119,57,
307,allenra02,2001,1,MIL,NBA,69,0,2525,1503,81,231,312,271,88,18,159,157,1148,530,245,214,528,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
