statusid,status
4,Авария
5,Машина
8,Клапан
10,Электрический
11,+1 Лэп
12,+2 кругов
13,+3 кругов
17,+7 кругов
24,Дифференциальная
29,Переключение
32,Давление топлива
34,Водяной давление
35,Поновная заправка
40,Электроника
41,Умелое крыло
42,Защита от нагрева огнем
43,Выключатель
44,Просачивание масла
45,+11 кругов
47,Прокол трубы
48,Питательный насос
49,Тракционный руль
50,+17 кругов
54,Отказался
55,+12 кругов
61,Гайковертикальный болт
63,Пневматика
64,Обработка
65,Задняя крыло
66,Огонь
67,Подшипник колеса
68,Физический
70,Нефтяной шланг
71,Бензоколонка
72,Запусковая система
73,Рана
75,Перебой питания
76,Вибрации
78,Безопасность
79,Двигательно-трансмиссионный агрегат
80,Запуск
81,Не прошли отбор
82,Ушиб
83,Шасси
86,Полный руль
87,Круизная ось
88,Десять кругов
93,Пояс безопасности
95,Пожар
97,Не прошёл предварительную квалификацию
103,Водонагреватель
106,Проводка топлива
107,Рана глаза
108,Нефтяная труба
111,+14 кругов
112,+15 кругов
113,Пятьдесят два оборота
114,+18 Лапы
115,+22 круги
116,Шестнадцать кругов
117,24 круга
118,29 кругов
120,+21 кругов
121,Магнито
123,+30 кругов
128,42 оборота
130,Аварийный ущерб
132,ERS
133,+49 Лапов
135,Дутый тормоз
136,Сиденье
