year,url
1950,"Сезон 1950 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», проведённым под эгидой ФИА. Сезон состоял из шести гонок и начался 13 мая и закончился 2 сентября."
1951,"Сезон 1951 года в Формуле-1 — первый сезон чемпионата мира по автогонкам в классе «Формула-1», проводимый под эгидой Федерального международного автоспорта (FISA). В сезоне приняли участие 23 гонщика, в 7 Гран-при. Чемпионом среди пилотов стал Альберто Аскари, а среди конструкторов — Alfa Romeo."
1952,Сезон 1952 года в Формуле-1
1953,"Сезон 1953 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе Формулы-1, проводимом под эгидой Федеральной автоспортивной ассоциации (FISA). Сезон состоял из восьми гонок и начался 28 марта и закончился 4 октября."
1954,Сезон 1954 года в Формуле-1
1955,Сезон 1955 года в Формуле-1
1956,Сезон 1956 года в Формуле-1
1957,Сезон 1957 года в Формуле-1
1958,Сезон 1958 года в Формуле-1
1959,Сезон 1959 года в Формуле-1
1960,"Сезон 1960 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного Федеральным автономным спортом (FISA). Он состоял из восьми гонок и начался 13 марта Гран-при Южной Африки, а закончился 25 сентября Гран-при США."
1961,Сезон 1961 года в Формуле-1
1962,Сезон 1962 года в Формуле-1
1963,"Сезон 1963 года в Формуле-1 был первым сезоном в истории чемпионата мира по автоспорту, проводимого под эгидой FIA. Он включал в себя четыре гонки, которые прошли в США (Гран-при США), Великобритании (Гран-при Великобритании), Германии (Гран-при Германии) и Италии (Гран-при Италии)."
1964,Сезон 1964 года в Формуле-1
1965,Сезон 1965 года в Формуле-1
1966,Сезон 1966 года в Формуле-1
1967,"Сезон 1967 года в Формуле-1 — это сезон, включающий в себя семь Гран-при, начавшийся 2 апреля и закончившийся 2 сентября. Джек Брэбем выиграл чемпионат пилотов, а БМВ выиграл чемпионат конструкторов. Это был первый сезон для команды БМВ, которая сделала значительное улучшение к концу сезона, когда они выиграли четыре гонки."
1968,Сезон 1968 года в Формуле-1
1969,"Сезон 1969 года в Формуле-1 был 23-м сезоном чемпионата мира в Формуле-1, установленным Федеральной автомобильной ассоциацией (FIA). В сезоне 1969 года приняли участие 10 команд и 24 гонщика. Сезон состоял из 11 Гран-при, в которых впервые были представлены два заезда на каждом этапе, при этом только результаты лучшего заезда учитывались для зачета очков."
