resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
122,23,2,2,3,12,14.0,14,14,0.0,72,,,72.0,14.0,1:20.251,149.829,14
143,24,6,3,8,12,,r,15,0.0,46,,,30.0,14.0,1:18.784,199.273,3
180,26,10,7,12,12,12.0,12,12,0.0,59,,,19.0,15.0,1:34.610,195.619,11
326,33,16,10,20,19,,r,18,0.0,8,,,6.0,18.0,1:21.189,202.327,27
553,44,22,11,8,14,9.0,9,9,0.0,58,,,28.0,13.0,1:23.387,221.948,11
1419,85,15,7,16,5,5.0,5,5,4.0,53,+7 (86),4502445.0,19.0,5.0,1:22.831,251.775,1
1477,88,4,4,5,16,3.0,3,3,6.0,53,+17 456,5359668.0,21.0,2.0,1:31.599,228.225,1
1763,102,14,1,5,12,9.0,9,9,0.0,69,,,67.0,11.0,1:21.134,194.389,11
1955,112,30,6,1,1,1.0,1,1,10.0,65,1:33:46.933,5626933.0,,,,,1
2298,128,11,17,10,18,,r,16,0.0,10,,,,,,,20
3113,166,18,3,10,10,8.0,8,8,0.0,71,,,,,,,11
3905,202,65,15,15,15,10.0,10,10,0.0,76,,,,,,,11
3950,204,73,25,20,18,12.0,12,12,0.0,51,,,,,,,12
4529,230,21,18,21,19,,r,17,0.0,1,,,,,,,4
5186,258,79,25,3,14,,r,20,0.0,42,,,,,,,5
5303,263,30,22,5,3,1.0,1,1,10.0,72,1:38:36.2,5916200.0,,,,,1
5614,274,70,32,11,15,6.0,6,6,1.0,70,,,,,,,11
5627,274,79,25,3,22,,r,19,0.0,26,,,,,,,20
5863,283,104,18,23,14,,r,21,0.0,22,,,,,,,22
5970,287,110,25,4,18,,r,24,0.0,0,,,,,,,4
7547,336,81,18,24,20,,r,24,0.0,20,,,,,,,6
7900,356,114,33,29,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",27,0.0,0,,,,,,,81
8295,366,146,49,34,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",35,0.0,0,,,,,,,97
8851,383,110,48,22,18,,r,18,0.0,27,,,,,,,83
9110,392,118,21,17,10,,r,20,0.0,12,,,,,,,3
9393,403,117,1,1,2,,r,13,0.0,53,,,,,,,23
9936,424,176,34,8,20,15.0,15,15,0.0,67,,,,,,,13
10297,438,158,51,23,11,,r,18,0.0,28,,,,,,,5
10440,443,179,52,21,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",27,0.0,0,,,,,,,81
10844,458,181,54,9,22,,r,20,0.0,26,,,,,,,4
10892,460,105,25,3,16,13.0,13,13,0.0,65,,,,,,,12
11085,467,187,1,7,9,6.0,6,6,1.0,77,+50.993 = +51,5579394.0,,,,,1
11351,476,176,21,29,22,,r,13,0.0,59,,,,,,,5
11810,491,192,56,21,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",25,0.0,0,,,,,,,81
11967,497,95,32,12,9,4.0,4,4,3.0,75,+7473,6296550.0,,,,,1
11985,497,175,27,25,7,,r,22,0.0,2,,,,,,,3
12048,499,140,58,17,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",27,0.0,0,,,,,,,81
13325,546,172,27,26,5,9.0,9,9,0.0,78,,,,,,,10
13327,546,246,63,18,19,11.0,11,11,0.0,77,,,,,,,13
13443,550,178,58,17,11,17.0,17,17,0.0,67,,,,,,,15
13777,562,221,25,4,2,3.0,3,3,4.0,80,+7 (916) 097-25-43,6848443.0,,,,,1
13911,566,187,67,28,17,,r,26,0.0,0,,,,,,,3
13941,567,253,56,31,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",29,0.0,0,,,,,,,81
13952,568,231,1,11,2,,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Задавайте вопросы или предоставляйте текст для перевода, и я сделаю все возможное, чтобы помочь вам.",10,0.0,76,,,,,,,2
14215,578,288,67,28,18,8.0,8,8,0.0,77,,,,,,,11
14723,597,238,32,1,10,8.0,8,8,0.0,73,,,,,,,12
15690,634,289,34,7,9,,r,18,0.0,1,,,,,,,3
15771,638,341,63,7,15,7.0,7,7,0.0,12,08:30 утра,5555300.0,,,,,1
15984,647,327,37,6,15,,r,13,0.0,31,,,,,,,5
16017,648,339,32,9,0,,"Добро пожаловать в chat bot Coral! Я здесь, чтобы помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",22,0.0,0,,,,,,,81
16510,674,289,180,3,4,2.0,2,2,6.0,14,+ 4:03.2,8586400.0,,,,,1
16515,674,304,187,1,11,7.0,7,7,0.0,14,07:31,8734200.0,,,,,1
16755,686,392,176,6,17,11.0,11,11,0.0,81,,,,,,,19
17536,724,385,66,15,3,,r,22,0.0,0,,,,,,,3
17615,727,345,172,10,20,,r,15,0.0,26,,,,,,,22
17721,733,341,26,24,2,2.0,2,2,6.0,75,+74,8830000.0,,,,,1
18482,764,575,125,18,13,,r,18,0.0,0,,,,,,,3
19092,793,579,131,2,1,,r,15,1.0,49,,,,,,,7
19160,796,660,6,30,16,11.0,11,11,0.0,88,,,,,,,55
19319,803,456,105,5,7,,r,19,0.0,53,,,,,,,7
19417,808,633,6,14,3,2.0,2,2,6.0,96,,,,,,,11
19507,812,647,6,10,1,4.0,4,4,3.0,60,"4,6",9863200.0,,,,,1
19611,816,642,6,6,3,2.0,2,2,6.0,80,+1.4,10187300.0,,,,,1
20537,345,5,205,19,20,,r,23,0.0,8,,,8.0,24.0,1:46.130,183.816,4
20619,349,808,4,12,23,9.0,9,9,2.0,44,23.851,5368119.0,32.0,7.0,1:51.175,226.799,1
20660,351,20,9,5,2,2.0,2,2,18.0,61,0.293,7073872.0,59.0,2.0,1:48.141,168.879,1
21104,854,808,4,10,18,17.0,17,17,0.0,59,,,56.0,14.0,1:54.204,159.913,12
21248,860,13,6,6,16,,r,17,0.0,46,,,46.0,15.0,1:31.940,207.644,4
22101,898,814,10,14,11,16.0,16,16,0.0,56,+1:37.094,6054001.0,54.0,9.0,1:41.148,196.215,1
