yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1984,ОК,DET,AL,SDN,NL,4,1,0
1993,НЛС,PHI,NL,ATL,NL,4,2,0
2012,АЛКС,DET,AL,NYA,AL,4,0,0
1952,ОК,NYA,AL,BRO,NL,4,3,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
2000,АЛКС,NYA,AL,SEA,AL,4,2,0
1972,ОК,OAK,AL,CIN,NL,4,3,0
1971,НЛС,PIT,NL,SFN,NL,3,1,0
1986,АЛКС,BOS,AL,CAL,AL,4,3,0
1981,НВДВ,LAN,NL,HOU,NL,3,2,0
2006,НЛДС2,SLN,NL,SDN,NL,3,1,0
1912,ОК,BOS,AL,NY1,NL,4,3,0
2008,АЛКС,TBA,AL,BOS,AL,4,3,0
1973,ОК,OAK,AL,NYN,NL,4,3,0
2000,ОLSАД2,SEA,AL,CHA,AL,3,0,0
1957,ОК,ML1,NL,NYA,AL,4,3,0
1973,АЛКС,OAK,AL,BAL,AL,3,2,0
1991,НЛС,ATL,NL,PIT,NL,4,3,0
2011,НЛДС1,SLN,NL,PHI,NL,3,2,0
1977,АЛКС,NYA,AL,KCA,AL,3,2,0
1976,АЛКС,NYA,AL,KCA,AL,3,2,0
1999,НЛС,ATL,NL,NYN,NL,4,2,0
1993,ОК,TOR,AL,PHI,NL,4,2,0
2003,НЛС,FLO,NL,CHN,NL,4,3,0
1990,НЛС,CIN,NL,PIT,NL,4,2,0
2002,АЛКС,ANA,AL,MIN,AL,4,1,0
1999,АЛКС,NYA,AL,BOS,AL,4,1,0
1989,ОК,OAK,AL,SFN,NL,4,0,0
1978,ОК,NYA,AL,LAN,NL,4,2,0
1996,НЛДС2,SLN,NL,SDN,NL,3,0,0
2012,НЛДС1,SLN,NL,WAS,NL,3,2,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
1949,ОК,NYA,AL,BRO,NL,4,1,0
1982,АЛКС,ML4,AL,CAL,AL,3,2,0
2010,НЛДС1,PHI,NL,CIN,NL,3,0,0
1996,НЛС,ATL,NL,SLN,NL,4,3,0
2004,ОLSАД2,NYA,AL,MIN,AL,3,1,0
1937,ОК,NYA,AL,NY1,NL,4,1,0
1941,ОК,NYA,AL,BRO,NL,4,1,0
1998,НЛДС1,ATL,NL,CHN,NL,3,0,0
1954,ОК,NY1,NL,CLE,AL,4,0,0
2001,НЛДС2,ARI,NL,SLN,NL,3,2,0
2011,АЛДС1,DET,AL,NYA,AL,3,2,0
2010,АЛДС1,TEX,AL,TBA,AL,3,2,0
1955,ОК,BRO,NL,NYA,AL,4,3,0
2010,ОLSАД2,NYA,AL,MIN,AL,3,0,0
1999,ОК,NYA,AL,ATL,NL,4,0,0
2004,НЛС,SLN,NL,HOU,NL,4,3,0
1977,ОК,NYA,AL,LAN,NL,4,2,0
1934,ОК,SLN,NL,DET,AL,4,3,0
1979,АЛКС,BAL,AL,CAL,AL,3,1,0
1966,ОК,BAL,AL,LAN,NL,4,0,0
1963,ОК,LAN,NL,NYA,AL,4,0,0
1936,ОК,NYA,AL,NY1,NL,4,2,0
2009,НЛС,PHI,NL,LAN,NL,4,1,0
1991,ОК,MIN,AL,ATL,NL,4,3,0
1992,АЛКС,TOR,AL,OAK,AL,4,2,0
1969,ОК,NYN,NL,BAL,AL,4,1,0
1984,АЛКС,DET,AL,KCA,AL,3,0,0
2002,НЛДС1,SFN,NL,ATL,NL,3,2,0
1997,ОК,FLO,NL,CLE,AL,4,3,0
1939,ОК,NYA,AL,CIN,NL,4,0,0
2009,НЛДС2,PHI,NL,COL,NL,3,1,0
2005,НЛДС2,HOU,NL,ATL,NL,3,1,0
1998,АЛКС,NYA,AL,CLE,AL,4,2,0
1987,ОК,MIN,AL,SLN,NL,4,3,0
1985,НЛС,SLN,NL,LAN,NL,4,2,0
1974,ОК,OAK,AL,LAN,NL,4,1,0
1926,ОК,SLN,NL,NYA,AL,4,3,0
2012,ОК,SFN,NL,DET,AL,4,0,0
1990,АЛКС,OAK,AL,BOS,AL,4,0,0
1992,НЛС,ATL,NL,PIT,NL,4,3,0
1914,ОК,BSN,NL,PHA,AL,4,0,0
1913,ОК,PHA,AL,NY1,NL,4,1,0
1953,ОК,NYA,AL,BRO,NL,4,2,0
1970,ОК,BAL,AL,CIN,NL,4,1,0
1984,НЛС,SDN,NL,CHN,NL,3,2,0
2012,АЛВК,BAL,AL,TEX,AL,1,0,0
2002,НЛС,SFN,NL,SLN,NL,4,1,0
1948,ОК,CLE,AL,BSN,NL,4,2,0
1935,ОК,DET,AL,CHN,NL,4,2,0
1950,ОК,NYA,AL,PHI,NL,4,0,0
1998,НЛС,SDN,NL,ATL,NL,4,2,0
1973,НЛС,NYN,NL,CIN,NL,3,2,0
1996,АЛКС,NYA,AL,BAL,AL,4,1,0
2005,АЛДС1,CHA,AL,BOS,AL,3,0,0
2000,НЛДС2,NYN,NL,SFN,NL,3,1,0
2003,НЛДС1,FLO,NL,SFN,NL,3,1,0
1969,НЛС,NYN,NL,ATL,NL,3,0,0
2012,АЛДС1,NYA,AL,BAL,AL,3,2,0
1992,ОК,TOR,AL,ATL,NL,4,2,0
2003,АЛДС1,NYA,AL,MIN,AL,3,1,0
2004,НЛДС1,SLN,NL,LAN,NL,3,1,0
1998,НЛДС2,SDN,NL,HOU,NL,3,1,0
1959,ОК,LAN,NL,CHA,AL,4,2,0
1907,ОК,CHN,NL,DET,AL,4,0,0
1997,НЛС,FLO,NL,ATL,NL,4,2,0
1988,АЛКС,OAK,AL,BOS,AL,4,0,0
1915,ОК,BOS,AL,PHI,NL,4,1,0
1924,ОК,WS1,AL,NY1,NL,4,3,0
1929,ОК,PHA,AL,CHN,NL,4,1,0
1987,НЛС,SLN,NL,SFN,NL,4,3,0
2011,НЛС,SLN,NL,MIL,NL,4,2,0
1979,ОК,PIT,NL,BAL,AL,4,3,0
2011,НЛДС2,MIL,NL,ARI,NL,3,2,0
2005,АЛКС,CHA,AL,LAA,AL,4,1,0
2010,НЛДС2,SFN,NL,ATL,NL,3,1,0
2001,АЛКС,NYA,AL,SEA,AL,4,1,0
1905,ОК,NY1,NL,PHA,AL,4,1,0
1997,НЛДС2,ATL,NL,HOU,NL,3,0,0
1965,ОК,LAN,NL,MIN,AL,4,3,0
1960,ОК,PIT,NL,NYA,AL,4,3,0
2002,АЛДС1,ANA,AL,NYA,AL,3,1,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
2011,ОLSАД2,TEX,AL,TBA,AL,3,1,0
2007,НЛДС1,ARI,NL,CHN,NL,3,0,0
1999,НЛДС2,NYN,NL,ARI,NL,3,1,0
2005,НЛС,HOU,NL,SLN,NL,4,2,0
2001,НЛС,ARI,NL,ATL,NL,4,1,0
1920,ОК,CLE,AL,BRO,NL,5,2,0
1989,АЛКС,OAK,AL,TOR,AL,4,1,0
2009,АЛКС,NYA,AL,LAA,AL,4,2,0
2001,ОК,ARI,NL,NYA,AL,4,3,0
2007,АЛКС,BOS,AL,CLE,AL,4,3,0
1981,АДИВ,NYA,AL,ML4,AL,3,2,0
1981,НЛС,LAN,NL,MON,NL,3,2,0
2002,ОК,ANA,AL,SFN,NL,4,3,0
2008,НЛС,PHI,NL,LAN,NL,4,1,0
2006,НЛДС1,NYN,NL,LAN,NL,3,0,0
1923,ОК,NYA,AL,NY1,NL,4,2,0
2009,ОК,NYA,AL,PHI,NL,4,2,0
2005,НЛДС1,SLN,NL,SDN,NL,3,0,0
1942,ОК,SLN,NL,NYA,AL,4,1,0
1946,ОК,SLN,NL,BOS,AL,4,3,0
1911,ОК,PHA,AL,NY1,NL,4,2,0
1917,ОК,CHA,AL,NY1,NL,4,2,0
1999,АЛДС1,BOS,AL,CLE,AL,3,2,0
2010,ОК,SFN,NL,TEX,AL,4,1,0
1982,ОК,SLN,NL,ML4,AL,4,3,0
