lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
246,anderbr01,,anderbr01h,1964,1,18,США,МД,Сильвер-Спрингс,,,,,,,Бреди,Андерсон,,Бради Кевин,,170,73,"Добро пожаловать в сервис перевода Coral! Я готов помочь вам перевести любой текст с английского на русский язык. Просто введите ваш текст здесь, и я предоставлю вам точный перевод.","Добро пожаловать в сервис перевода Coral! Я готов помочь вам перевести любой текст с английского на русский язык. Просто введите ваш текст здесь, и я предоставлю вам точный перевод.",4/4/1988,5/20/2002,Кальвин Ирвайн,anderbr01,anderbr01,andeb001,anderbr01,anderbr01
366,arroybr01,,,1977,2,24,США,ФЛ,Кей-Вест,,,,,,,Брусон,Арройо,,,Сатурн-Нутсы,195,76,Р,Р,6/12/2000,,,arroybr01,arroybr01,arrob001,arroybr01,arroybr01
426,averyst01,,,1970,4,14,США,МИ,Трентон,,,,,,,Стив,Авери,,Стивен Томас,,180,76,"Добро пожаловать в сервис перевода Coral! Я готов помочь вам перевести любой текст с английского на русский язык. Просто введите ваш текст здесь, и я предоставлю вам точный перевод.","Добро пожаловать в сервис перевода Coral! Я готов помочь вам перевести любой текст с английского на русский язык. Просто введите ваш текст здесь, и я предоставлю вам точный перевод.",6/13/1990,7/20/2003,,averyst01,averyst01,avers001,averyst01,averyst01
568,bankhsc01,,,1963,7,31,США,НК,Рали,,,,,,,Скотт,Банкхед,,Майкл Скотт,,175,70,Р,Р,5/25/1986,7/18/1995,Северная Каролина,bankhsc01,bankhsc01,banks001,bankhsc01,bankhsc01
573,bankswi01,,,1969,2,27,США,Нью-Джерси,Джерси-Сити,,,,,,,Уилли,Банки,,Уилли Энтони,,190,73,Р,Р,7/31/1991,9/26/2002,,bankswi01,bankswi01,bankw001,bankswi01,bankswi01
667,barrema02,,,1958,6,23,США,Калифорния,Аркерия,,,,,,,Марты,Барретт,,Мартин Гленн,,175,70,Р,Р,9/6/1982,5/7/1991,Аризонský stát,barrema02,barrema02,barrm001,barrema02,barrema02
771,baylodo01,baylodo01m,baylodo01h,1949,6,28,США,ТХX,Остин,,,,,,,Дон,Бейлор,,Эдвард Дон,,190,73,Р,Р,9/18/1970,10/1/1988,Блинн Дж. К.,baylodo01,baylodo01,bayld001,baylodo01,baylodo01
816,beckro01,,beckro01h,1968,8,3,США,Калифорния,Бёрбанк,2007.0,6.0,23.0,США,АЗ,Финикс,Род,Бек,,Родни Рой,Стрелок,215,73,Р,Р,5/6/1991,8/14/2004,,beckro01,beckro01,beckr001,beckro01,beckro01
827,beckejo02,,,1980,5,15,США,ТХX,Весна,,,,,,,Джош,Беккет,,,,225,77,Р,Р,9/4/2001,,,beckejo02,beckejo02,beckj002,beckejo02,beckejo02
866,belinst01,,,1966,8,6,США,ПА,Хантингдон,,,,,,,Стан,Блинда,,Стэнли Питер,,185,75,Р,Р,9/8/1989,9/3/2000,Алегени-Крик,belinst01,belinst01,belis001,belinst01,belinst01
