playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
leecl02,2010,TEX,AL,ОК,П,2,2,35.0,1,1,0,0,0,,0.0,0.0
riverma01,2001,NYA,AL,АЛКС,П,4,0,14.0,3,1,0,0,0,,0.0,0.0
alouma01,1962,SFN,NL,ОК,RF,2,1,33.0,0,0,0,0,0,,,
smilejo01,1990,PIT,NL,НЛС,П,1,0,6.0,0,0,0,0,0,,0.0,0.0
brinked01,1972,DET,AL,АЛКС,КВ,1,1,31.0,1,1,0,0,0,,,
retteme01,1971,BAL,AL,ОК,RF,1,0,9.0,1,0,0,0,0,,,
fieldpr01,2011,MIL,NL,НЛДС2,1б,5,5,,37,2,0,3,0,,,
bellja01,1991,PIT,NL,НЛС,КВ,7,7,189.0,12,19,1,2,0,,,
verasqu01,1998,SDN,NL,НЛС,Две-Б,6,6,165.0,6,14,0,3,0,,,
pearsmo01,1939,NYA,AL,ОК,П,1,1,27.0,0,5,0,0,0,,0.0,1.0
vizcajo01,2005,HOU,NL,ОК,1б,1,0,3.0,2,0,0,0,0,,,
heepda01,1986,NYN,NL,НЛС,LF,1,0,6.0,0,0,0,0,0,,,
crispco01,2012,OAK,AL,ОLSАД2,КФ,5,5,131.0,7,0,1,0,0,0.0,0.0,0.0
furilca01,1947,BRO,NL,ОК,КФ,6,4,135.0,14,1,1,0,0,,,
joneswi01,1950,PHI,NL,ОК,3В,4,4,107.0,8,9,1,0,0,,,
lidgebr01,2004,HOU,NL,НЛС,П,4,0,24.0,0,0,0,0,0,,0.0,0.0
hitchst01,2001,NYA,AL,ОLSАД2,П,1,0,9.0,0,0,0,0,0,,0.0,0.0
duncach01,2006,SLN,NL,ОК,RF,2,2,39.0,2,0,1,0,0,,,
hillaa01,2011,ARI,NL,НЛДС2,Две-Б,5,5,,15,9,0,2,0,,,
trammbu01,2000,NYN,NL,ОК,RF,2,1,30.0,3,0,1,0,0,,,
sosasa01,2003,CHN,NL,НЛДС2,RF,5,5,132.0,8,0,0,0,0,,,
rudoldi01,1914,BSN,NL,ОК,П,2,2,54.0,0,3,0,0,0,,0.0,1.0
hermadu01,2001,SLN,NL,НЛДС2,П,1,0,9.0,0,1,0,0,0,,0.0,0.0
bondsba01,1990,PIT,NL,НЛС,LF,6,6,156.0,13,0,0,0,0,,,
millafe01,1969,ATL,NL,НЛС,Две-Б,3,3,78.0,3,8,1,1,0,,,
howarel01,1958,NYA,AL,ОК,LF,5,5,115.0,14,2,0,2,0,,,
martito02,1997,HOU,NL,НЛДС2,П,2,0,2.0,0,1,0,0,0,,0.0,0.0
