playerid,awardid,yearid,lgid,tie,notes
furilca01,TSN All-Star,1953,ML,,ОФ
robinfr02,TSN All-Star,1962,NL,,ОФ
grubeke01,Gold Glove,1990,AL,,3В
mageesh01,Baseball Magazine All-Star,1910,NL,,LF
brancra01,TSN All-Star,1947,ML,,П
wagneho01,Baseball Magazine All-Star,1908,ML,,КВ
guerrpe01,World Series MVP,1981,ML,z,
kellge01,Baseball Magazine All-Star,1947,AL,,3В
alexape01,Baseball Magazine All-Star,1923,ML,,T3
dyeje01,Babe Ruth Award,2005,AL,,ОФ
cronijo01,Baseball Magazine All-Star,1933,ML,,КВ
francju01,Silver Slugger,1991,AL,,Две-Б
cartega01,Gold Glove,1980,NL,,В
cicoted01,Baseball Magazine All-Star,1919,AL,,P2
fellebo01,Baseball Magazine All-Star,1946,ML,,П1
cavarph01,TSN All-Star,1945,ML,,1б
musiast01,TSN All-Star,1948,ML,,ОФ
ripkeca01,Gold Glove,1991,AL,,КВ
musiast01,TSN All-Star,1944,ML,,ОФ
kellge01,TSN All-Star,1952,ML,,3В
snidedu01,TSN Player of the Year,1955,NL,,
dickera01,TSN Pitcher of the Year,2012,NL,,
murcebo01,TSN All-Star,1973,AL,,ОФ
burleri01,TSN All-Star,1977,AL,,КВ
gibsobo01,Babe Ruth Award,1964,NL,,П
willibe02,Gold Glove,1999,AL,,ОФ
ripkeca01,Lou Gehrig Memorial Award,1992,ML,,
benchjo01,Most Valuable Player,1970,NL,,
uhlege01,TSN All-Star,1926,ML,,П
parneme01,Baseball Magazine All-Star,1949,ML,,Т4
martibi02,Babe Ruth Award,1953,AL,,Две-Б
jonesdo01,TSN Fireman of the Year,1992,NL,z,
oestero01,Hutch Award,1988,ML,,
speaktr01,Baseball Magazine All-Star,1912,AL,,ОФ
suttebr01,TSN Fireman of the Year,1981,NL,,
applilu01,Baseball Magazine All-Star,1936,AL,,КВ
parkeda01,TSN All-Star,1975,NL,,ОФ
gehrich01,Baseball Magazine All-Star,1929,AL,,Две-Б
speaktr01,Baseball Magazine All-Star,1921,AL,,ОФ
bollifr01,Gold Glove,1958,AL,,Две-Б
zitoba01,Cy Young Award,2002,AL,,
aloumo01,TSN All-Star,1994,NL,,ОФ
