hofid,yearid,votedby,ballots,needed,votes,inducted,category
davissp01h,1949,ААВПБВ,153.0,115.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
darkal01h,1972,ААВПБВ,396.0,297.0,55.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
sherdbi01h,1960,ААВПБВ,269.0,202.0,2.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
seymocy01h,1945,ААВПБВ,247.0,186.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
chylane99h,1999,ветераны,,,,z,Судья
dinnebi01h,1956,ААВПБВ,193.0,145.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
elliobo01h,1962,ААВПБВ,160.0,120.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
newhoha01h,1969,ААВПБВ,340.0,255.0,82.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
toneyfr01h,1949,ААВПБВ,153.0,115.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
crosefr01h,1956,ААВПБВ,193.0,145.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
cochrmi01h,1947,ААВПБВ,161.0,121.0,128.0,z,Игрок
bottoji01h,1952,ААВПБВ,234.0,176.0,7.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
brownmo01h,1949,Старые барины,,,,z,Игрок
maranra01h,1954,ААВПБВ,252.0,189.0,209.0,z,Игрок
cronijo01h,1952,ААВПБВ,234.0,176.0,48.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
gomezle01h,1955,ААВПБВ,251.0,189.0,71.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
vandejo01h,1960,ААВПБВ,269.0,202.0,31.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
mayca01h,1983,ААВПБВ,374.0,281.0,0.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
adamsba01h,1952,ААВПБВ,234.0,176.0,9.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
pendlte01h,2004,ААВПБВ,506.0,380.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
sainjo01h,1968,ААВПБВ,283.0,213.0,7.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
joynewa01h,2007,ААВПБВ,545.0,409.0,0.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
steinha01h,1937,ААВПБВ,201.0,151.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
crosefr01h,1958,ААВПБВ,266.0,200.0,5.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
murphda02h,1945,ААВПБВ,247.0,186.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
kuennha01h,1978,ААВПБВ,379.0,285.0,58.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
cardele01h,1981,ААВПБВ,401.0,301.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
slaugen01h,1979,ААВПБВ,432.0,324.0,297.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
splitpa01h,1990,ААВПБВ,444.0,333.0,0.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
hermabi01h,1948,ААВПБВ,121.0,91.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
daubeja01h,1938,ААВПБВ,262.0,197.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
wathajo01h,1991,ААВПБВ,443.0,333.0,0.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
mazerbi01h,1987,ААВПБВ,413.0,310.0,125.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
mcdougi01h,1973,ААВПБВ,380.0,285.0,2.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
bluegos01h,1956,ААВПБВ,193.0,145.0,2.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
lonboji01h,1986,ААВПБВ,425.0,319.0,3.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
bottoji01h,1950,ААВПБВ,168.0,126.0,8.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
mcdanli01h,1981,ААВПБВ,401.0,301.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
willsma01h,1981,ААВПБВ,401.0,301.0,163.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
hubbeca01h,1947,ААВПБВ,161.0,121.0,140.0,z,Игрок
boddimi01h,1999,ААВПБВ,497.0,373.0,0.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
candito01h,2005,ААВПБВ,516.0,387.0,2.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
sainjo01h,1972,ААВПБВ,396.0,297.0,21.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
newcodo01h,1971,ААВПБВ,360.0,270.0,8.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
niekrph01h,1994,ААВПБВ,456.0,342.0,273.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
garvest01h,1994,ААВПБВ,456.0,342.0,166.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
mcnalda01h,1981,ААВПБВ,401.0,301.0,5.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
allendi01h,1996,ААВПБВ,470.0,353.0,89.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
terrybi01h,1947,ААВПБВ,161.0,121.0,46.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
foxne01h,1972,ААВПБВ,396.0,297.0,64.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
burdele01h,1974,ААВПБВ,365.0,274.0,7.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
marquru01h,1952,ААВПБВ,234.0,176.0,9.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
planked01h,1946,Голосование за номинацию,202.0,,34.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
parkeda01h,2000,ААВПБВ,499.0,375.0,104.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
riceji01h,1998,ААВПБВ,473.0,355.0,203.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
howarel01h,1982,ААВПБВ,415.0,312.0,40.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
meusebo01h,1938,ААВПБВ,262.0,197.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
bancrda01h,1955,ААВПБВ,251.0,189.0,19.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
loberha01h,1937,ААВПБВ,201.0,151.0,2.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
adamsba01h,1955,ААВПБВ,251.0,189.0,24.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
pinsova01h,1988,ААВПБВ,427.0,321.0,67.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
gehrilo01h,1939,Специальные выборы,,,,z,Игрок
lolicmi01h,1995,ААВПБВ,460.0,345.0,26.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
kuennha01h,1981,ААВПБВ,401.0,301.0,93.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
cramedo01h,1964,ААВПБВ,201.0,151.0,12.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
dimagjo01h,1954,ААВПБВ,252.0,189.0,175.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
meusebo01h,1952,ААВПБВ,234.0,176.0,1.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
faberre01h,1956,ААВПБВ,193.0,145.0,34.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
marisro01h,1988,ААВПБВ,427.0,321.0,184.0,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",Игрок
