franchid,franchname,active,naassoc
TBD,Тампа-Бэй Рейз,z,
LOU,Луисвилл Колонелы,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
CFC,Кливленд Форест Сити,No additional text. Translation only.,
FLA,Флорида Марлинс,z,
TRT,Троианы,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
OAK,Оакленд Атлетикс,z,
CLE,Кливленд Индианс,z,
STL,Сент-Луис Кардиналс,z,
WAS,Вашингтонские сенаторы,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
SNA,Сент-Луис Браун Стокингс,No additional text. Translation only.,ШБ
COR,Цинциннати Оутла Редс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
HNA,Хартфорд Дарк Блюз,No additional text. Translation only.,ХЭР
PIT,Питтсбургские пираты,z,
STP,Св. Павел Апостол,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
ROC,Бронкос Рочестера,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
NNA,Нью-Йорк Мютуалс,No additional text. Translation only.,Нью-Йоркский университет
KEK,Форт-Вэйн Кекионгас,No additional text. Translation only.,
BLC,Бальтиморские канарейки,No additional text. Translation only.,
MLA,Милуоки Брюэрс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
ECK,Бруклин Экморс,No additional text. Translation only.,
BNA,Бостон Ред Сокс,No additional text. Translation only.,アトラ
BRS,Бостон Редс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
SYS,Сиракьюз Старс,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
CLV,Кливленд Спиддеры,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
PHQ,Филадельфийские Атлетики,"Нет, я не могу предоставить перевод, так как в вашем запросе нет текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью помогу вам.",
CIN,"""Синциннати Редс""",z,
ANA,Лос-Анджелес Энджелс из Анахайма,z,
WNT,Вашингтон Нэшнлз,No additional text. Translation only.,
