schoolid,schoolname,schoolcity,schoolstate,schoolnick
depaul,Университет Дьюка,Чикаго,ИЛ,Сине-демоны
sterlingks,Университет Стирлинга,Стерлинг,КС,Воины
huntercuny,"Хайнер Колледж, Городской Университет Нью-Йорка",Нью-Йорк,Нью-Йорк,Сапсы
manchester,Манчестерский колледж,Северный Манчестер,В,Спартаны
airforce,Академия ВВС США,Колорадо-Спрингс,СЕ,Сапсы
alabamaam,Университет Алабамы А&М,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",АЛ,Бульдоги
michiganst,МИСИГИНСКИЙ Статный Университет,Восточный Лансинг,МИ,Спартаны
salemintl,Международный университет Салома,Салем,Западная Вирджиния,Тигры
nyoneonta,Государственный университетский колледж в Онеонте,Онеонта,Нью-Йорк,Красные драконы
baylor,Бэйлорский университет,Вако,ТХX,Медведи
warnerpac,Вернер Тихоокеанский колледж,Портленд,О'р,Рыцари
loyolano,Луизаиский университет в Новом Орлеане,Новый Орлеан,Лос-Анджелес,Вульфпак
syracuse,Университет Сиракуз,Сиракузы,Нью-Йорк,Орангемен
etxbaptist,Восточный Техасский баптистский университет,Маршал,ТХX,Тигры
wiscmilw,Университет Висконсина — Милуоки,Милуоки,ВИ,Пантеры
neillinois,Северо-Восточный университет Иллинойса,Чикаго,ИЛ,
ohwesleyan,Университет Уэзлиана в Огайо,Делавэр,ОХ,Битва епископов
nyfredonia,Фредониский колледж штата Нью-Йорк,Фредония,Нью-Йорк,Синие дьяволы
upperiowa,Университет Верхней Иовии,Файетт,Я,Павочки
villanova,Виланова Университет,Вилнованa,ПА,Дикие коты
nebkearney,Университет Небраски в Кэрни,Кэрни,НЕ,Лоперсы
lacollege,Луизианский колледж,Пайнвилл,Лос-Анджелес,Дикие коты
wheatonma,Вайтон Колледж (Массачусетс),Уэтон,МЭ,Лионы
tarletonst,Тамелтонский государственный университет,Стивенвилл,ТХX,Техасцы
nycortland,"Штатный университет Нью-Йорка, колледж в Кортланде",Кортленд,Нью-Йорк,Красные драконы
cornell,Корнеллский университет,Итака,Нью-Йорк,Больший Красный
auburnmont,Аубурнский университет в Монтгомери,Монмут,АЛ,Сенаторы
lee,Университет Ли,Кливленд,Да,Пламя
georgetown,Джорджтаунский университет,Вашингтон,ДК,Хойя
blackbrnil,Колледж Блэкберн,Карлинвилл,ИЛ,Баттлин' Бизоны
latech,Луизианский университет техноловий,Рустон,Лос-Анджелес,Бульдоги
azusapac,Азуса Тихоокеанский университет,Ацуса,Калифорния,Песцы
rosehulman,Институт Роз-Хулмана,Терре-Хайт,В,Инженеры
purdue,Пурдьюский университет,Западный Лафайетт,В,Кувальщики
indpolis,Индианский университет в Индианаполисе,Индианаполис,В,Грейхаундс
ballst,Университет Б штата,Мунси,В,Кардиналы
