playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
spilmha01,1989,1,HOU,NL,В,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hoytwa01,1918,1,NY1,NL,П,1,,,0.0,0.0,0.0,0.0,,,,,
rodrifr03,2004,1,ANA,AL,П,69,0.0,252.0,5.0,9.0,0.0,0.0,,,,,
laryly01,1933,1,NYA,AL,3В,28,,,32.0,44.0,5.0,5.0,,,,,
willike02,1990,1,DET,AL,LF,17,1.0,99.0,6.0,0.0,0.0,0.0,,,,,
patekfr01,1969,1,PIT,NL,КВ,146,141.0,3699.0,227.0,399.0,30.0,81.0,,,,,
musiast01,1958,1,SLN,NL,1б,124,123.0,3114.0,1019.0,100.0,13.0,127.0,,,,,
pecotbi01,1991,1,KCA,AL,КВ,9,3.0,96.0,8.0,14.0,0.0,3.0,,,,,
loftudi01,1924,1,BRO,NL,ОФ,29,,,48.0,1.0,0.0,1.0,,,,,
wilmepa01,1989,1,TEX,AL,П,3,0.0,7.0,0.0,1.0,0.0,0.0,,,,,
trammbu01,1997,1,DET,AL,ОФ,28,25.0,638.0,52.0,1.0,0.0,0.0,,,,,
tettlmi01,1993,1,DET,AL,В,56,51.0,1290.0,268.0,19.0,1.0,1.0,4.0,20.0,36.0,9.0,0.0
iorgda01,1983,1,SLN,NL,RF,13,10.0,219.0,26.0,0.0,0.0,0.0,,,,,
schlead01,1905,1,CIN,NL,1б,6,,,57.0,3.0,1.0,1.0,,,,,
hendrcl01,1920,1,CHN,NL,П,27,,,4.0,56.0,5.0,1.0,,,,,
bancrda01,1922,1,NY1,NL,КВ,156,,,405.0,579.0,62.0,93.0,,,,,
mayda01,1967,1,BAL,AL,LF,1,1.0,30.0,4.0,0.0,0.0,0.0,,,,,
singlke01,1981,1,BAL,AL,RF,72,72.0,1659.0,127.0,2.0,0.0,2.0,,,,,
raburry01,2011,1,DET,AL,LF,52,34.0,1007.0,89.0,3.0,3.0,1.0,,,,,
johnsbo01,1944,1,BOS,AL,ОФ,142,,,270.0,23.0,7.0,3.0,,,,,
duryeje01,1890,1,CIN,NL,П,33,,,7.0,59.0,10.0,4.0,,,,,
bahnsst01,1966,1,NYA,AL,П,4,3.0,69.0,1.0,3.0,0.0,0.0,,,,,
wagnema01,1977,1,DET,AL,КВ,21,16.0,423.0,15.0,57.0,6.0,10.0,,,,,
dunstsh01,1999,1,SLN,NL,LF,9,7.0,153.0,10.0,0.0,0.0,0.0,,,,,
nielsmi01,1949,1,CLE,AL,ОФ,3,,,6.0,0.0,0.0,0.0,,,,,
snellch02,2006,1,SEA,AL,LF,1,1.0,27.0,2.0,0.0,0.0,0.0,,,,,
bartlbi01,1903,1,NY1,NL,П,1,,,0.0,1.0,0.0,0.0,,,,,
thronma01,1962,1,BAL,AL,ОФ,2,2.0,36.0,3.0,0.0,0.0,0.0,,,,,
hulseda01,1993,1,TEX,AL,ДХ,2,,,,,,,,,,,
quinnja01,1929,1,PHA,AL,П,35,,,3.0,38.0,1.0,1.0,,,,,
esterdu01,1880,1,BFN,NL,Две-Б,6,,,10.0,13.0,5.0,0.0,,,,,
sandoda01,2006,1,PHI,NL,Две-Б,8,2.0,99.0,7.0,7.0,0.0,1.0,,,,,
hamilea01,1916,1,SLA,AL,П,1,,,0.0,0.0,1.0,0.0,,,,,
doteloc01,2010,2,LAN,NL,П,19,0.0,56.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,
phelpke01,1989,2,OAK,AL,1б,1,1.0,27.0,0.0,0.0,0.0,0.0,,,,,
rudoldo01,1957,1,CHA,AL,П,5,0.0,36.0,0.0,1.0,0.0,0.0,,,,,
bellira01,1997,1,ATL,NL,Две-Б,7,0.0,32.0,1.0,5.0,0.0,0.0,,,,,
huffau01,2008,1,BAL,AL,3В,33,31.0,825.0,23.0,64.0,3.0,4.0,,,,,
musseje01,1988,1,TOR,AL,П,15,15.0,255.0,3.0,8.0,1.0,1.0,,,,,
wrighri01,1984,1,TEX,AL,П,8,1.0,44.0,1.0,4.0,0.0,0.0,,,,,
smithke01,1979,1,SLN,NL,LF,5,3.0,90.0,14.0,1.0,0.0,0.0,,,,,
owenfr01,1901,1,DET,AL,П,8,,,7.0,24.0,1.0,2.0,,,,,
fiskca01,1981,1,CHA,AL,1б,1,1.0,27.0,7.0,2.0,1.0,4.0,,,,,
wathajo01,1980,1,KCA,AL,В,77,72.0,1953.0,306.0,25.0,6.0,5.0,1.0,17.0,58.0,21.0,0.0
templjo01,1957,1,CIN,NL,Две-Б,145,141.0,3809.0,391.0,372.0,20.0,81.0,,,,,
biesest01,1997,1,NYN,NL,В,2,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mastewa02,1956,1,DET,AL,П,35,0.0,149.0,3.0,6.0,2.0,1.0,,,,,
betemwi01,2005,1,ATL,NL,3В,63,46.0,1293.0,26.0,94.0,6.0,6.0,,,,,
nealbl01,2001,1,FLO,NL,П,4,0.0,16.0,0.0,0.0,0.0,0.0,,,,,
pederst01,1985,1,LAN,NL,RF,2,0.0,9.0,1.0,0.0,0.0,0.0,,,,,
milleed04,1981,1,ATL,NL,ОФ,36,29.0,812.0,65.0,2.0,1.0,0.0,,,,,
travebi01,1975,1,ML4,AL,П,28,23.0,409.0,2.0,19.0,2.0,5.0,,,,,
ortizda01,2009,1,BOS,AL,ДХ,138,,,,,,,0.0,,0.0,0.0,
reedje01,1986,1,SEA,AL,П,11,4.0,104.0,4.0,3.0,0.0,0.0,,,,,
robermi01,1998,1,ARI,NL,ДХ,2,,,,,,,,,,,
hopkiga01,1968,1,CHA,AL,1б,7,5.0,135.0,45.0,1.0,0.0,3.0,,,,,
blissja01,1908,1,SLN,NL,В,43,,,194.0,59.0,2.0,6.0,5.0,,,,
jonesmi02,1985,1,KCA,AL,П,33,1.0,192.0,6.0,8.0,0.0,0.0,,,,,
sainjo01,1954,1,NYA,AL,П,45,0.0,231.0,6.0,11.0,0.0,0.0,,,,,
unroeti01,1996,1,ML4,AL,LF,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
toporsp01,1923,1,SLN,NL,3В,1,,,1.0,1.0,0.0,0.0,,,,,
williot01,1902,1,SLN,NL,КВ,2,,,5.0,8.0,3.0,0.0,,,,,
roystje01,1984,1,ATL,NL,КВ,16,12.0,330.0,20.0,47.0,3.0,7.0,,,,,
