id,lgid,teamid,franchid,name,park
109,AL,TOR,TOR,Торонто Блю Джейс,Реджерс-центр
311,UA,SLU,SLM,Сент-Луис Марунс,
226,NL,LS1,LGR,Луизвилл Грейс,"Стадион ""Луизвилл Бейсбол Парк"""
137,NA,ELI,RES,Элизабет принимает решение,Варавли-Фейрлэндс
97,AL,SEA,SEA,Сиэтл Маринерс,Кингдом/ Сафеко-филд
202,NL,CL2,CBL,Кливленд Блюз,Парк на улице Кеннард
72,AL,LAA,ANA,Лос-Анджелес Ангелы,Стадион Доджер
33,AA,SR2,SYS,Сиракьюз Старс,Парк Стар 2
49,AL,CHA,CHW,Чикаго Уайлд-Кокс,Комиски-Парк
184,NL,CHN,CHC,Чикаго Колтс,Западный парк II
221,NL,IN3,IND,Индианаполис Хоусьерс,Атлетический парк I
256,NL,PHI,PHI,Филадельфийские Квакеры,Рекреационный парк
181,NL,BSN,ATL,Бостонские воровские псов,"Южный конец, территория III"
44,AL,BOS,BOS,Бостон Ред Сокс,Фенвей-парк I
54,AL,CLE,CLE,Кливленд Блюз,Лига Парка I
19,AA,LS2,LOU,Луисвилл Колонелы,Eclipse Park I
73,AL,LAA,ANA,Лос-Анджелес Ангелы,Уриги Фейлд (Лос-Анджелес)
23,AA,NY4,NYP,Нью-Йорк Метростос,"Стадион ""Сент-Джордж Крикет Гроундс"""
118,FL,BRF,BTT,Бруклин Тип-Топс,
48,AL,CAL,ANA,Калифорния Энджелс,Стадион Доджер
264,NL,PIT,PIT,Питтсбургские пираты,Стадион «Три реки»
170,NL,BRO,LAD,Бруклин Супербас,Вашингтон Парк III
288,NL,TRN,TRT,Троианы,Пустемские земли
66,AL,DET,DET,Детройт Тайгерс,Навин Фэйлдс
189,NL,CHN,CHC,"Чикаго ""Белые стокинги""",Парк Озерный I
280,NL,SLN,STL,Сент-Луис Кардиналс,Буш Стэдиум III
257,NL,PHN,ATH,Филадельфийские Атлетики,Желтонская улица
35,AA,TL2,TLM,Толедо Маумейс,Парк Сперанза
299,PL,CLP,CLI,Кливленд Инфантс,
89,AL,OAK,OAK,Оакленд Атлетикс,О.ко Колизей
105,AL,TEX,TEX,Техас Рейнджеры,Рэнджерс Боллпарк в Арлингтоне
291,NL,WAS,WSN,Вашингтон Нэшнлз,Стадион «Национальы Парк»
262,NL,PIT,PIT,Питтсбургские пираты,Форбс-филд / Стадион Три Риверз
122,FL,CHF,CHH,Чикаго Уэйлс,Уигли-филд
190,NL,CHN,CHC,"Чикаго ""Белые стокинги""",Парк у озера I/Парк у озера II
136,NA,CL1,CFC,Кливленд Форест Сити,Национальная ассоциация полей
298,PL,CHP,CHP,Чикаго Пэкс,
39,AL,ANA,ANA,Анахайм Энджелс,Эдисон Интернэшнл Файлд
300,PL,NYP,NYI,Нью-Йорк Джайантс,
57,AL,CLE,CLE,Кливленд Индианс,Джейкобс-филд
219,NL,HOU,HOU,Хьюстон Колт .45,Колт-стадион
150,NA,TRO,TRO,Трои Хэймауэры,Место для сбора урожая хлеба
284,NL,SLN,STL,Сент-Луис Кардиналс,"Стадион "" Sportsmen's Park IV / Busch Stadium II"""
58,AL,CLE,CLE,Кливленд Индианс,Лигу Парк II
101,AL,TBA,TBD,Тампа-Бэй Рейс,Тропикана Ффилд
230,NL,MIL,MIL,Милуоки Брюэрс,Стадион Каунти
304,UA,BLU,BLU,Монументы в Балтиморе,
209,NL,DTN,DTN,Детройт Уайлдкэтс,Рекреационный парк
196,NL,CIN,CIN,"""Синциннати Редс""",Кроссли-филд/стадион Риверфронт
160,NL,BFN,BUF,Баффало Бильс,Риверсайд-Парк
56,AL,CLE,CLE,Кливленд Индианс,Стадион «Кливленд»
120,FL,BUF,BFL,Баффало Бильджес,
135,NA,CH2,CNA,"Чикаго ""Белые стокинги""",23-я улица Грундс
273,NL,SFN,SFG,Сан-Франциско Джайентс,Парк СБЦ
78,AL,MIN,MIN,Миннесота Твинс,Целевое поле
245,NL,NYN,NYM,Нью-Йорк Метс,Поле битвы IV
178,NL,BSN,ATL,Бостон Бравс,"Южный конец, территория III"
279,NL,SLN,STL,Сент-Луис Кардиналс,Буш-стадиум II
74,AL,LAA,ANA,Лос-Анджелес Энджелс из Анахайма,Аделфи Стадиум
182,NL,CHN,CHC,Чикаго Колтс,Южный парк I
62,AL,CLE,CLE,Кливленд Скрипки,Лигу Парк II
252,NL,PHI,PHI,Филадельфийские Филлис,Филадельфийские бейсбольные площадки
159,NL,BFN,BUF,Баффало Бильс,Олимпийский парк I
40,AL,BAL,BAL,Балтимор Ориолс,Мемориальный стадион
7,AA,BR3,LAD,Бруклин Грейс,Вашингтон-парк I
174,NL,BSN,ATL,Бостон Бэйнэтс,"Южный конец, территория III"
34,AA,TL1,TOL,Толедские синие стокинги,Лиги Парк
126,FL,PTF,PBS,Питтсбургские Рэбелз,
229,NL,MIA,FLA,Майами Марлинс,Марина-Парк
89,AL,OAK,OAK,Оакленд Атлетикс,О.ко Колизей
14,AA,CN2,CIN,Цинциннати Ред Стокингс,Лиг-парк I в Цинциннати
162,NL,BRO,LAD,Бруклин Бриджзельды,Восточный парк
210,NL,FLO,FLA,Флорида Марлинс,"Стадион ""Дольфин"""
50,AL,CHA,CHW,Чикаго Уайлд-Кокс,Комискей Парк II
24,AA,PH4,PHA,Филадельфийские Атлетики,Желтонская улица
83,AL,NYA,NYY,Нью-Йорк Янкиз,Шей-стадиум
172,NL,BSN,ATL,Бостон Бэйнэтс,Южный конец II
11,AA,CL5,CBK,Кленновые орешки Колумбуса,Рекреационный парк I
278,NL,SLN,STL,Сент-Луис Браунс,Парк спортсмена I
179,NL,BSN,ATL,Бостонские голуби,"Южный конец, территория III"
122,FL,CHF,CHH,Чикаго Уэйлс,Уигли-филд
266,NL,SDN,SDP,Сан-Диего Падрес,Стадион Джека Морриби
38,AL,ANA,ANA,Анахайм Энджелс,Анахиムの ангел-стадион
82,AL,NYA,NYY,Нью-Йорк Янкиз,Поле битвы IV
65,AL,DET,DET,Детройт Тайгерс,Комерика-Парк
102,AL,TBA,TBD,Тампа-Бэй Рейз,Тропикана Ффилд
56,AL,CLE,CLE,Кливленд Индианс,Стадион «Кливленд»
181,NL,BSN,ATL,Бостонские воровские псов,"Южный конец, территория III"
81,AL,NYA,NYY,Нью-Йоркские Хайтелеры,Парк на вершине холма
15,AA,CN3,CKK,Киллы Кэнзинси,Восточный парк
170,NL,BRO,LAD,Бруклин Супербас,Вашингтон Парк III
130,NA,BR1,ECK,Бруклин Экморс,Союзные земли
265,NL,PRO,PRO,Провиденс-Грейс,"Уличная арена ""Мессер"""
254,NL,PHI,PHI,Филадельфийские Филлис,Stadion ветеранов
124,FL,KCF,KCP,Канзас-Сити Пакерс,
212,NL,FLO,FLA,Флорида Марлинс,"Стадион ""Профессионал-плейер"""
152,NA,WS4,NAT,Вашингтон Нэшнлз,Национальная арена
51,AL,CHA,CHW,Чикаго Уайлд-Кокс,Южный парк II
148,NA,SL1,SLR,Сент-Луис Ред Стокингс,"Стадион ""Красный чулок"""
80,AL,MLA,BAL,Милуоки Брюэрс,Лойд-стрит-граундс
195,NL,CIN,CIN,"""Синциннати Редс""",Кросли Филд
257,NL,PHN,ATH,Филадельфийские Атлетики,Желтонская улица
161,NL,BLN,BLO,Балтимор Ориолс,Парк Союза
294,NL,WS8,WNL,Вашингтон Нэшнлз,Свампдоудл-граунз
272,NL,SFN,SFG,Сан-Франциско Джайентс,Парк Пач Белл
10,AA,CL3,CLV,Кливленд Блюз,Национальный парк II
219,NL,HOU,HOU,Хьюстон Колт .45,Колт-стадион
264,NL,PIT,PIT,Питтсбургские пираты,Стадион «Три реки»
105,AL,TEX,TEX,Техас Рейнджеры,Рэнджерс Боллпарк в Арлингтоне
275,NL,SL3,SBS,Сент-Луис Браун Стокингс,Парк спортсмена I
189,NL,CHN,CHC,"Чикаго ""Белые стокинги""",Парк Озерный I
235,NL,MON,WSN,Монреаль Экспоз,Стадион Олимпийский
27,AA,PT1,PIT,Питтсбургские Аллегхени,Экспозиционный парк I
167,NL,BRO,LAD,Бруклин Гримз,Восточный парк
36,AA,WS7,WST,Вашингтон Нэшнлз,Спортивный парк
311,UA,SLU,SLM,Сент-Луис Марунс,
173,NL,BSN,ATL,Бостон Бэйнэтс,Южный конец II / Конгресс-стрит Гроундс / Южный конец III
205,NL,CN1,CNR,"""Синциннати Редс""",Авеню Грэндс
237,NL,NY1,SFG,Нью-Йорк Джайантс,Поле Пло
46,AL,BOS,BOS,Бостон Ред Сокс,Х Хантингтон Авеню Гроундс
