managerid,awardid,yearid,lgid,tie,notes
maddojo99m,BBWAA Manager of the year,2008,AL,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
sewellu01m,TSN Manager of the Year,1944,ML,,
andersp01m,BBWAA Manager of the year,1987,AL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
alstowa01m,TSN Manager of the Year,1955,ML,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
willidi02m,TSN Manager of the Year,1967,ML,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
houkra01m,TSN Manager of the Year,1961,ML,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
virdobi01m,TSN Manager of the Year,1980,ML,,
lasorto01m,TSN Manager of the Year,1988,NL,,
murtada01m,TSN Manager of the Year,1970,ML,,
torboje01m,BBWAA Manager of the year,1990,AL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
coxbo01m,TSN Manager of the Year,2002,NL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
coxbo01m,TSN Manager of the Year,1999,NL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
bambege01m,TSN Manager of the Year,1978,ML,,
penato01m,BBWAA Manager of the year,2003,AL,,
coxbo01m,TSN Manager of the Year,1991,NL,,
andersp01m,TSN Manager of the Year,1987,AL,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
johnsda01m,TSN Manager of the Year,1975,ML,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
rolfere01m,TSN Manager of the Year,1950,ML,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
larusto01m,BBWAA Manager of the year,1983,AL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
williji03m,TSN Manager of the Year,1999,AL,,
showabu99m,TSN Manager of the Year,1994,AL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
stanked01m,TSN Manager of the Year,1952,ML,,
smithma01m,TSN Manager of the Year,1968,ML,,
tannech01m,TSN Manager of the Year,1972,ML,,
bauerha01m,TSN Manager of the Year,1966,ML,,
andersp01m,BBWAA Manager of the year,1984,AL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
foxch01m,TSN Manager of the Year,1971,ML,,
larusto01m,TSN Manager of the Year,1992,AL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
larusto01m,TSN Manager of the Year,1988,AL,,
manueje01m,TSN Manager of the Year,2000,AL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
durocle01m,TSN Manager of the Year,1939,ML,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
stengca01m,TSN Manager of the Year,1958,ML,,
keanejo99m,TSN Manager of the Year,1964,ML,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
weaveea99m,TSN Manager of the Year,1977,ML,,
larusto01m,TSN Manager of the Year,1983,ML,,
johnsda02m,TSN Manager of the Year,1997,AL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
leylaji99m,TSN Manager of the Year,1988,NL,,
torrejo01m,TSN Manager of the Year,1998,AL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
southbi01m,TSN Manager of the Year,1941,ML,,
freyji99m,TSN Manager of the Year,1984,ML,,
melesa01m,TSN Manager of the Year,1965,ML,,
robinfr02m,TSN Manager of the Year,1989,AL,,
weaveea99m,TSN Manager of the Year,1979,ML,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
southbi01m,TSN Manager of the Year,1942,ML,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,z,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
kellyto01m,TSN Manager of the Year,1991,AL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
baylodo01m,TSN Manager of the Year,1995,NL,,
gardero01m,TSN Manager of the Year,2004,AL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
martibi02m,TSN Manager of the Year,1981,ML,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
harribu01m,TSN Manager of the Year,1947,ML,,
larusto01m,BBWAA Manager of the year,1992,AL,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
lanieha01m,TSN Manager of the Year,1986,NL,,
murtada01m,TSN Manager of the Year,1960,ML,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
coxbo01m,TSN Manager of the Year,1985,ML,,
