name,mountains,height,type,longitude,latitude
Псилоритис,Крете,2456.0,,24.7,35.2
Пико Христофор Колумб,Сьерра-Невада-де-Санто-Марта,5775.0,,-73.7,10.85
Тирич Мир,Хиндукуш,7690.0,,71.8,36.25
Гран-Сассо,Апеннин,2912.0,,13.55,42.5
Олимпиос,Трудоc,1952.0,,32.85,34.9
Касбек,Каспийский регион,5033.0,вулканический,44.31,42.42
Мерак-Гора,Гималаи,8848.0,,86.9,28.0
Кораб,Балканы,2751.0,,20.3,41.4
Гуни Биняйя,,3027.0,,129.3,-3.1
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Маунт-Виктория,,1323.0,вулканический,178.0,-17.8
Пико Рувью,Мадеира,1861.0,вулканический,-16.0,31.0
Карисимби,Восточноафриканская рифтовая область,4507.0,вулкан,29.45,-1.5
Киношта,,4101.0,гранит,116.5,6.1
Маутен-Ридж,Рокки,3747.0,,-117.44,52.15
Звездная башня,Центральная Кордильера,1993.0,,-7.6,40.3
Гора Мак-Кинли,Аляза́нская го́ря,6193.0,,-151.0,63.1
Кана́л,,2435.0,вулкан,123.1,10.4
Финстерерхорн,Альпы,4274.0,,8.1,46.5
Монте-Роза,Альпы,4634.0,,7.9,45.9
Концепсьон,,1700.0,вулкан,-85.6,11.5
Фельдберг,Шварцвальд,1493.0,,7.5,47.5
Питон де ла Фурнез,,2631.0,вулкан,55.7,-21.2
Пик Чан-Тенгри,Тянь-Шань,6995.0,,80.0,43.0
Люсер,,3466.0,вулканический,98.0,3.0
Зард-Кух,Загросы,4550.0,,50.1,32.35
Кангчендзонг,Гималаи,8586.0,,88.1,27.7
Ораефайёкюль,,2110.0,вулкан,64.0,16.39
Пик Победы,Тянь-Шань,7439.0,,80.1,42.0
Пик Москвы,Памир,6785.0,,71.5,39.0
Монкайо,Иберские горы,2313.0,,1.85,41.8
Манталинган,,2085.0,вулканический,118.4,9.7
Фого,Кабо-Верде,2829.0,вулкан,-24.4,14.95
Пуй-де-Дом,Цевенны,1465.0,вулканический,3.0,45.8
Глиттертинд,,2452.0,,8.1,61.4
Гора Кук,Новые Зеландские Альпы,3754.0,,170.2,-43.6
Пико де лос Нуэвес,Канарские острова,1949.0,вулкан,-15.6,25.95
Джабал-лу-Наба,Ливан,3088.0,,36.1,34.3
Снаефелл,,1833.0,вулканический,-15.2,64.5
Пик Барбоу,Диапазон Британской империи,2616.0,,-75.0,81.9
Ганнетт Пик,Рокки,4207.0,,-110.0,43.2
Мавензи,Восточноафриканская рифтовая область,5148.0,вулкан,37.45,-3.1
Димерказик,Таурус,3756.0,,35.2,37.8
Арарат,Курдистан,5165.0,вулканический,44.3,39.7
Каткин Пик,Дракенсберг,3181.0,,29.35,-29.1
Шнейкоппе,Сды,1602.0,,15.7,50.7
Макалу,Гималаи,8485.0,,87.1,27.9
Руапеху,,2797.0,вулкан,175.6,-39.3
Пик Революция,Памир,6974.0,,72.2,38.3
Саяма,Андес,6542.0,вулкан,-68.9,-18.1
Котопакси,Андес,5897.0,вулкан,-78.4,-0.7
Герлаховский Сти́т,Бескиды,2655.0,,20.1,49.2
Гумфрис-Пик,Рокки,3850.0,вулканический,-111.65,35.3
Монт-Бабель,,952.0,,-68.7,51.45
Альпамаё,Белая Cordillera,5947.0,,-77.7,-8.9
Пико-Туркино,Сьерра-Маэстра,1974.0,,-76.8,20.0
Гора Белый Монблан,Альпы,4808.0,,6.8,45.8
Монт Орохена,,2241.0,вулканический,-149.5,-17.6
Эльбрус,Каспийский регион,5642.0,вулканический,42.26,43.21
Сульдительма,,1914.0,,16.2,67.1
Добавить,Западные Гати,2636.0,,76.7,11.4
Пик королевы Марии,,2060.0,вулкан,-12.3,-37.1
Мусала,Балканы,2925.0,,23.6,42.2
Мерапи,,2914.0,вулкан,110.4,-7.5
Гашербрум II,Каракорум,8034.0,,76.65,35.75
Борах-Пик,Рокки,3859.0,,-113.8,44.1
Таррекайсе,,1850.0,,17.3,67.0
Маут-Логан,Элиас-путь,5959.0,,-140.4,60.6
Лотсэ,Гималаи,8516.0,,86.9,28.0
Олимпиада,,2917.0,,22.35,40.1
