sea1,sea2
Индийский океан,Тихоокеанское море
Берингово море,Тихоокеанский океан
Бангла-Бей,Тихоокеанское море
Балтийское море,Северное море
Индийский океан,Тихоокеанский океан
Арабское море,Индийский океан
Баренцево море,Норвежское море
Гольф Стрейт,Индийский океан
Атлантический океан,Карибское море
Атлантический океан,Мεξиканское залив
Северное море,Скагерак
Арабское море,Гольф Стрейт
Тихоокеанский океан,Охотское море
Арктический океан,Баренцево море
Арабское море,Оманский залив
Море Сулавеси,Тихоокеанское море
Малакский пролив,Южно-Китайское море
Гольф Стрейт,Красный море
Восточное море,Южно-Китайское море
Арктический океан,Норвежское море
Южно-Китайское море,Тихоокеанское море
Восточное море,Тихоокеанский океан
Атлантический океан,Индийский океан
Восточное море,Жёлтое море
Арктический океан,Берингово море
Баренцево море,Сибирское море
