name,depth
Скагерак,725.0
Море Сулавеси,6218.0
Море Азовское,100.0
Андаманское море,3113.0
Карибское море,7240.0
Тихоокеанский океан,11034.0
Средиземное море,5121.0
Кatteгат,94.0
Бангла-Бей,4045.0
Канал,175.0
Норвежское море,3860.0
Восточное море,2370.0
Сибирское море,540.0
Баренцево море,32.0
Оманский залив,3350.0
Гольф Стрейт,5143.0
Атлантический океан,9219.0
Северное море,200.0
Арабское море,5203.0
Индийский океан,6400.0
Бухта Бенгальная,4694.0
Персидский залив,102.0
Охотское море,3372.0
Арктический океан,5608.0
Тихоокеанское море,7440.0
Малакский пролив,104.0
Чёрное море,2211.0
Южно-Китайское море,5420.0
Красный море,2635.0
Ирландское море,272.0
Балтийское море,459.0
Мεξиканское залив,4375.0
Жёлтое море,200.0
Берингово море,4096.0
Море Японии,4036.0
