lake,country,province
Боденское озеро,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",Баден-Вюртемберг
Озеро Тёрканья,EАК,Рифтовая долина
Озеро Чилва,МВ,Малави
Озеро Бангвелюл,Y,Луапула
Озеро Верхнее,США,Мινεнесота
Чэнда-Хо,ТЖ,Тибет
Версальский лес,ЧХ,ОВ
Мэларен,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Уппсала
Озеро Ван,Тр,Битлис
Озеро Виктория,Есть,Кагера
Озеро Манату,КДН,Онтарио
Озеро Атлин,КДН,Юконский край
Озеро Мичиган,США,Висконсин
Балатон,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",Весьрем
Озеро Старンベルク,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",Бавария
Озеро Чанка,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Приморский край
Озеро Преспа,АЛ,Албания
Озеро Никарагуа,КР,Алахуэла
Озеро Чилва,МОК,Ниасса
Озеро Трасимено,я,Тоскана
Озеро Бангвелюл,Y,Северный
Ликанкабурский кратерный озеро,Боль,Боливия
Озеро Кебан,Тр,Эльбазиг
Озеро Виктория,ВЭА,Уганда
Озеро Нипигон,КДН,Онтарио
Вейнерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Альсборг
Озеро Эри,США,Мичиган
Озеро Тахо,США,Невада
Оzero Балчаш,КАЗ,Жезказган
Даряче-е Намак,Я,Тегеран
