mountain,country,province
Андринитра,РМ,Фианарантсоа
Джабал Катрина,ET,Сина аль-Джанубийя
Цитлалпетль (Пик Оризаба),МЕХ,Пуэбла
Котопакси,ЕВ,Эквадор
Гранд-Баллон,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Лотрейн
Пикс-Пик,США,Колорадо
Монте Писсис,Р А,Льярьос
Гора Агу́н,Ри,Индонезия
Пидоруталагала,КЛ,Шри-Ланка
Монт-Бабель,КДН,Квебек
Карисимби,РВА,Руанда
Манаслу,НЕП,Непал
Кангчендзонг,Необходим перевод?,Сикким
Рантекомбола,Ри,Индонезия
Пико де Агуллас Нерас,Бр,Рио-де-Жанейро
Мт. Сент-Элиас,США,Аляска
Гросглокнер,А,Каринтия
Кебнеисиэ,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Норвеботтн
Бен Невис,Хорошо,Высотные
Клингманс-Дом,США,Теннесси
Оьос-дель-Сальадо,РХЧ,Чили
Ганнетт Пик,США,Вайоминг
Монте-Роза,ЧХ,ВИ
Эта,я,Сицилия
Мерапи,Ри,Индонезия
Портфолио,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Норвеботтн
Попоманасеу,SLБ,Соломоновы Острова
Тамбора,Ри,Индонезия
Барре д'Экра,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Рона-Альпы
Концепсьон,НИК,Никарагуа
Килиманджаро,Есть,Килиманджаро
Мауна-Кеа,США,Гавайи
Гашербрум II,ПК,Пакистан
Молдавану,Р,Сибий
Гора Бунди,США,Калифорния
Монте-Синто,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Корсика
Пико Боливар,ВИ,Мерида
Пико-де-Энео,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",Арагон
Кана́л,РП,Филиппины
Фудзи-сан,Здравствуйте! Как я могу вам помочь?,Яманаси
Финстерерхорн,ЧХ,ВИ
Тахана,МАЛ,Паханг
Аннапура,НЕП,Непал
Димерказик,Тр,Нигде
Сульдительма,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Норвеботтн
Джоекул,Да,Хордаланд
Лотсэ,НЕП,Непал
Блекберн,США,Аляска
Тубхал,А,Марокко
Пико Рокаре,ПЕ,Анкас
Семеру,Ри,Индонезия
Силисили,WS,Самоа
Церро-Чирипо,КР,Карфаген
Джабаль-Шуайб,Да,Ямен
Тахат,ДЗ,Алжир
Нангапараبات,ПК,Пакистан
Пико,П,Азоры
Гран-Сассо,я,Абруццо
Ллулакау,Р А,Тукман
Вершина Брод-Пик,ТЖ,Шинжа́нь
Джабал Марра,СУД,Дарфур
Маут Робсон,КДН,Британская Колумбия
