island,country,province
Тайвань,КР,Тайвань
Великая Британия,Хорошо,герцогство Хертфордшир
Готланд,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Готланд
Тринидад,ТТ,Тринидад и Тобаго
Оаху,США,Гавайи
Оссель,ОК,Эстония
Тристан да Куна,ХЭЛКС,Остров Святой Елены
Куба,С,Гуантанамо
Гренландия,ГРОКС,Гренландия
Восточная Фолклендская остров,ФАЛК,Фолклендские острова
Иерро,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",Канарские острова
Понапе,"FSM - это термин, который используется в информатике и означает ""финальный автомат с выходами"". Это математическая модель, которая описывает дискретный автомат с определенными входными символами и выходными действиями. FSM также известен как конечный автомат с выходами или переходящий автомат с выходами.",Микронезия
Мохилла,Ком,Коморские острова
Хиспанола,Дом,Доминиканская Республика
Хокну,Здравствуйте! Как я могу вам помочь?,Хёго
Хокну,Здравствуйте! Как я могу вам помочь?,Окаяма
Арран,Хорошо,Стратклайд
Окинава,Здравствуйте! Как я могу вам помочь?,Окинава
Великая Британия,Хорошо,Каэрфилли
Новая Гвинея,Ри,Индонезия
Сараваи,WS,Самоа
Хокну,Здравствуйте! Как я могу вам помочь?,Гифу
Великая Британия,Хорошо,Беркшир
Мадагаскар,РМ,Махангана
Остров Ометепе,НИК,Никарагуа
Принцип,Стоп,Сан-Томе и Принсипи
Балтрам,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",Нимбрук
Кауай,США,Гавайи
Великая Британия,Хорошо,Западный Йоркшир
Хокну,Здравствуйте! Как я могу вам помочь?,Чиба
Великая Британия,Хорошо,Кумбрия
Рота,НМИС,Северные Марианские острова
Руген,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",Мекленбург-Передние Побережья
Олхор,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Республика Бурятия
