country,population_growth,infant_mortality
КИР,1.89,52.9
ТO,0.82,40.26
МХ,3.85,46.9
СГП,1.9,4.7
НАМ,2.93,47.2
МЯ,1.84,80.7
ФЛ,1.08,5.3
Западная Вирджиния,0.64,16.8
МЧ,0.59,6.9
"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода.",-0.68,12.3
узб,1.87,79.6
А,2.05,43.2
Кейм,2.39,6.94
ГКА,2.48,50.7
КР,2.06,13.5
ОМ,3.53,27.3
Тут,2.03,40.65
ВАН,3.05,72.4
Хорошо,0.22,6.4
Да,1.11,8.4
ПР,0.34,8.42
"Скажите, пожалуйста, что вы хотите перевести?",0.34,10.7
Р,-1.21,23.2
АЗ,0.78,74.5
WAL,4.14,135.6
Рождество,,
Необходим перевод?,1.64,71.1
WD,0.38,9.6
Рок,1.02,8.2
Нет,1.74,25.9
Ри,1.53,63.1
"Да, конечно! Я могу помочь с переводом. Просто предоставьте мне текст, который нужно перевести, и укажите языки, с и на которые нужно выполнить перевод.",1.81,35.1
