abbreviation,name,city,country,province,established
Международный центр восстановления и реинтродукции,Международное движение Красного Креста и Красного Полумесяца,Женева,ЧХ,ГЕ,1928-01-01
"IFC (от английского ""International Finance Centre"") может относиться к:

- Международному финансовому центру в Гонконге, который является комплексом зданий, включающим финансовые учреждения и офисы.

- Internationalen финансовому центру в Москве, предлагающему офисные помещения и услуги для бизнеса.

- Международному финансовому центру в Стамбуле, который является развлекательным парком с аттракционами, играми и магазинами, посвященным теме финансов.

В зависимости от контекста, IFC может означать любой из этих объектов или что-то еще, имеющее схожее название или связанное с финансами значение.",Международный финансовый корпоратив,Вашингтон,США,Дистрикт Колумбия,1955-05-25
G-11,Группа из 11 человек,,,,1984-06-22
ПФП,Партнерство за мир,,,,1994-01-10
Wто?,Организация Объединенных Наций по туризму,Мадрид,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",Мадрид,1975-01-02
ОАПЕК,Организация арабских стран-экспортеров нефти,,,,1968-01-09
Вडब,Банк развития Западной Африки,Лома,RT,Того,1973-11-14
АНЗУС,"Договор о безопасности между Австралией, Новой Зеландией и США",Канберра,Австралийский союз,Австралийский столичный территория,1951-09-01
hlavních компонентный анализ,Постоянный арбитражный суд,,,,1899-07-29
"Да, я готова приступить к переводу. Пожалуйста, предоставьте текст для перевода.",Организация Исламской Конференции,Джидда,СА,Саудовская Аравия,1969-09-22
Удеак,Центральноафриканский таможенный и экономический союз,Бангui,АВТ,Центральная Африканская Республика,1964-12-08
МОМ,Международная организация по миграции,Женева,ЧХ,ГЕ,1951-12-05
ЮНКТАД,Конференция Организации Объединенных Наций по торговле и развитию,Женева,ЧХ,ГЕ,1964-12-30
ФАО,Организация Объединенных Наций по продовольствию и сельскому хозяйству,Рим,я,Лазио,1945-10-16
ОБСЕ,Организация по безопасности и сотрудничеству в Европе,Вена,А,Вена,1995-01-01
ЦЕЗА,Экономическое сообщество центральноафриканских государств,Либревиль,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам. Как я могу вам помочь сегодня?",Габон,1983-10-18
УНОМИГ,Миссия наблюдателей Организации Объединенных Наций в Грузии,Нью-Йорк,США,Нью-Йорк,
ИДА,Международная ассоциация развития,Вашингтон,США,Дистрикт Колумбия,1960-01-26
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,РХЧ,Чили,1948-02-25
ОПЕК,Организация стран-экспортеров нефти,Вена,А,Вена,1960-09-14
ООН,Организация Объединённых Наций,Нью-Йорк,США,Нью-Йорк,1945-06-26
УНОМИЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ОΕΚА,Организация восточнокарибских государств,Кастрис,ВЛ,Сент-Люсия,1981-06-18
ФАО,Международный фонд сельскохозяйственного развития,Рим,я,Лазио,1974-11-01
Г-5,Группа из 5 человек,,,,1985-09-22
Африканский банк развития,Африканский банк развития,Абиджан,ЦИ,Côte д’Ivoire,1963-08-04
ЛएЯ,Ассоциация интеграции Латинской Америки,Монtevидео,РУ,Уругвай,1980-08-12
Миссия ООН по поддержке в Гаити,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
САДК,Южноафриканское сообщество по развитию,Габороне,RБ,Ботсвана,1992-08-17
МАГАТЭ,Международное агентство по атомной энергии,Вена,А,Вена,1956-10-26
ОЭСР,Организация экономического сотрудничества и развития,Париж,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Иль-де-Франс,1960-12-14
Г-77,Группа 77,,,,1967-10-01
УНАВЭМ III,Миссия по проверке соблюдения санкций Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
СЧЭ,Агентство по культурному и техническому сотрудничеству,Париж,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Иль-де-Франс,1970-03-21
БДЕАК,Банк развития центральноафриканских государств,Браззавиль,КРБ,Конго,1975-12-03
BSОЭ,Зона экономического сотрудничества Черного моря,,,,1992-06-25
МВФ,Международный валютный фонд,Вашингтон,США,Дистрикт Колумбия,1944-07-22
ККК,Совет по сотрудничеству в области таможен,Брюссель,B,Прованс,1950-12-15
Спартека,Южно-Тихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
ООН,Институт обучения и исследований Организации Объединенных Наций,,,,1963-12-11
"Бельгия, Нидерланды и Люксембург",Бельгийский экономический союз,Брюссель,B,Прованс,1958-02-03
КДБ,Карибский банк развития,,,,1969-10-18
МыУ,Западноевропейский союз,Брюссель,B,Прованс,1954-10-23
ЦЕРН,Европейская организация по ядерным исследованиям,Женева,ЧХ,ГЕ,1953-07-01
САКУ,Южно-Африканское таможенное союзное соглашение,Пρετוריה,А.С.А.,Гатенг,1969-12-11
Эса,Европейское космическое агентство,Париж,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Иль-де-Франс,1973-07-31
