country,independence,dependent,government
АГ,1981-11-01,,парламентская демократия
А,1918-11-12,,Федеративная Республика
ХЭЛКС,,Хорошо,Британские заморские территории
Газа,,,
LV,1991-09-06,,республика
КВТ,1961-06-19,,номинальная конституционная монархия
ТO,1970-06-04,,"государственно-правовая форма, при которой монархия передается по наследству в пределах определенной династии или семьи."
МОК,1975-06-25,,республика
ВЭА,1962-10-09,,республика
Чешская Республика,1993-01-01,,парламентская демократия
А.С.А.,1910-05-31,,республика
GMK,,Хорошо,Британская зависимая от короны
"Да, конечно! Я могу помочь с переводом. Просто предоставьте мне текст, который нужно перевести, и укажите языки, с и на которые нужно выполнить перевод.",1956-03-20,,республика
ГБДЖ,,Хорошо,Британская зависимая от короны
АВТ,1238-01-01,,конституционная монархия
СИ,1976-06-29,,республика
Да,1960-08-16,,республика
"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1579-01-01,,конституционная монархия
Ниуэ,1974-10-19,,"самоуправляемая территория, состоящая в свободной ассоциации с Новой Зеландией"
КЛ,1948-02-04,,республика
Тр,1923-10-29,,республиканский парламентарно-демократический режим
"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время. Я могу перевести для вас текст с английского на русский язык. Как я могу вам помочь сегодня?",1492-01-01,,парламентская монархия
ПЛ,1918-11-11,,демократическое государство
РМ,1960-06-26,,республика
НМИС,,США,Содружество в политическом союзе с США
"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",1871-01-18,,Федеративная Республика
Эфир,,,Федеративная Республика
E/S,1821-09-15,,республика
НАМ,1990-03-21,,республика
GBZ,,Хорошо,"Возможно, вы имели в виду: заморский территория Великобритании"
ВИРГ,,,организованный
АЗ,1991-08-30,,республика
МАРТ,,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Отделение за рубежом Франции
ПА,1903-11-03,,конституционная республика
Гуам,,США,организованный
я,1861-03-17,,республика
Австралийский союз,1901-01-01,,федеративное парламентское государство
АРУ,,"Добро пожаловать! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",часть Королевства Нидерландов
МХ,1986-10-21,,Конституционное правительство в свободной ассоциации с США
МК,1991-09-17,,Emerging democracia
"Скажите, пожалуйста, что вы хотите перевести?",1993-01-01,,парламентская демократия
РЛ,1943-11-22,,республика
А,1956-03-02,,конституционная монархия
ГЕ,1991-04-09,,республика
ФПОЛ,,"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",Виллы-Франжуа
В реальной жизни,1921-12-06,,республика
УА,1991-12-01,,республика
КАЗ,1991-12-16,,республика
"Добро пожаловать в Coral, искусственный интеллект, который поможет вам с переводом. Я могу помочь перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который нужно перевести.",,,республика
Западная Вирджиния,1979-10-27,,конституционная монархия
ДЗ,1962-07-05,,республика
"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Я могу переводить тексты с английского на русский язык и наоборот. Просто дайте мне текст, который нужно перевести, и я сделаю это для вас!",1964-09-21,,парламентская демократия
Ирак,1932-10-03,,республика
КР,1821-09-15,,Демократическая Республика
РХЧ,1810-09-18,,республика
WAL,1961-04-27,,конституционная демократия
Макс,,ТЖ,Специальный административный район в Китае
Фиджи,1970-10-10,,республика
ЧХ,,,Федеративная Республика
АИ,1962-07-01,,республика
КДН,1867-07-01,,Конфедерация с парламентской демократией
Коко,,Австралийский союз,территория Австралии
Запад,,,
Да,1990-05-22,,республика
