mountain,island
Монт-Бабель,Остров Рене Левассера
"Blue Mountain Peak - ""Синяя горная вершина""",Ямайка
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Софриер,Сент-Винсент
Мёрн Диабло́тинс,Доминика
Жима,Олхор
Гуни Биняйя,Церам
Монте-Балби,Бугабуджим
Пик королевы Марии,Тристан да Куна
Тамбора,Сумбава
Пико-де-Тейде,Тенерифе
Рока де лос Мачадос,Ла-Пальма
Пико де лос Нуэвес,Гран-Канария
Люсер,Суматра
Ринджани,Ломбок
Пик Барбоу,Остров Элсмер
Пик Джейя,Новая Гвинея
Кракатау,Кракатау
Гора Агу́н,Бали
Керини,Суматра
Ю Шань,Тайвань
Аса́хи-Дакэ,Хоккайдо
Олимпиос,Кипр
Ораефайёкюль,Исландия
Пико де Сан-Томе,Сан-Томе и Принсипи
Бен Невис,Великая Британия
Пулоц,Лусон
Гора Кук,Тэ Вака-а-Мауи (Южный остров)
Халеакала,Мауи
