island,sea,lake,river
Батам,Южно-Китайское море,,
Скай,Атлантический океан,,
Сицилия,Средиземное море,,
Бонаир,Карибское море,,
Пико,Атлантический океан,,
Файаль,Атлантический океан,,
Ирландия,Атлантический океан,,
Фальстер,Балтийское море,,
Окинава,Тихоокеанский океан,,
Нижняя Земля,Карибское море,,
Сائو-Мигел,Атлантический океан,,
Парамушир,Тихоокеанский океан,,
Амрун,Северное море,,
Прозерчены,Атлантический океан,,
Грасиоза,Атлантический океан,,
Сардиния,Средиземное море,,
Маньто-Лин,,Озеро Гурон,
Понапе,Тихоокеанский океан,,
Сантьяго,Атлантический океан,,
Антигуа,Атлантический океан,,
Мальта,Средиземное море,,
Великий Тёрк,Атлантический океан,,
Великий Кайман,Карибское море,,
Бенбекала,Атлантический океан,,
Остров Сан-Клементе,Тихоокеанский океан,,
Хокну,Тихоокеанский океан,,
Сент-Пьер,Атлантический океан,,
Нанкетт,Атлантический океан,,
Доминика,Атлантический океан,,
Новый Провиденс,Атлантический океан,,
Принцип,Атлантический океан,,
Сент-Китс,Атлантический океан,,
Кюрасао,Карибское море,,
Сент-Люсия,Карибское море,,
Тенерифе,Атлантический океан,,
Гуадалканал,Тихоокеанский океан,,
Сент-Китс,Карибское море,,
Тортола,Карибское море,,
Ниуэ,Тихоокеанский океан,,
Остров Рене Левассера,,Озеро Маникаган,
Минданао,Море Сулавеси,,
Ангилья,Атлантический океан,,
Хоккайдо,Охотское море,,
Спиекерог,Северное море,,
Флорес,Атлантический океан,,
Олхор,,Ой-Буйский заповедник,
Парамушир,Охотское море,,
Каварати,Арабское море,,
Суматра,Малакский пролив,,
Пемба,Индийский океан,,
Ибица,Средиземное море,,
Монсерат,Атлантический океан,,
Великая Британия,Ирландское море,,
Великая Британия,Атлантический океан,,
Суматра,Южно-Китайское море,,
Кос,Средиземное море,,
Южный Уист,Атлантический океан,,
Маврикий,Индийский океан,,
Майотта,Индийский океан,,
Авст-Вагоеи,Норвежское море,,
Тайвань,Восточное море,,
