city,province,country,river,lake,sea
Устный,Западный Казахстан,КАЗ,Ураль,,
Омдурман,Аль-Хартум,СУД,Блю Нил,,
Итахаи,Сан-Катарина,Бр,,,Атлантический океан
Монtevидео,Уругвай,РУ,,,Атлантический океан
Хэммерфест,Финнмарк,Да,,,Баренцево море
Будуарес,Федеральный округ,Р А,Парана,,
Ал Хилла,Бебил,Ирак,Ефрат,,
Барри,Пулия,я,,,Средиземное море
Санто-Доминго,Доминиканская Республика,Дом,,,Карибское море
Эль-Арийш,Сина аш-Шамилях,ET,,,Средиземное море
Таллинн,Эстония,ОК,,,Балтийское море
Хианнин,Хубэй,ТЖ,Джангсец,,
Кель,Шлезвиг-Гольштейн,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",,,Балтийское море
Арау,АГ,ЧХ,Ааре,,
Рисиф,Пернамбуко,Бр,,,Атлантический океан
Хуанши,Хубэй,ТЖ,Джангсец,,
Бома,Бас-Зайр,Зре,Заир,,
Гоникара,Соломоновы Острова,SLБ,,,Тихоокеанский океан
Алахабад,Утар-Прадеш,Необходим перевод?,Ганг,,
Турку,Турук-Порси,SF,,,Балтийское море
Варанаси,Утар-Прадеш,Необходим перевод?,Ганг,,
Эдмонтон,Альберта,КДН,Саскачеваньский река,,
Галати,Галати,Р,Дунай,,
Бандунду,Бандунду,Зре,Касаи,,
Астрахан,Астраханская область,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Волга,,
Ноксвилл,Теннесси,США,Теннесси,,
Бриджтаун,Барбадос,Глобальная навигационная спутниковая система,,,Атлантический океан
Кингстон,Ямайка,No additional text provided.,,,Карибское море
Такамату,Кагава,Здравствуйте! Как я могу вам помочь?,,,Тихоокеанский океан
Ла-Спеція,Лигурия,я,,,Средиземное море
Барранкабаремеха,Южный Сантандер,Копия,Рио Магдалена,,
Вроцлав,Вроцлавские,ПЛ,Одер,,
Наталья,Рио-Гранде-ду-Норте,Бр,,,Атлантический океан
Канзас-Сити,Канзас,США,Миссури,,
Сетубал,Сетубал,П,,,Атлантический океан
Дияния,Аль-Кадисия,Ирак,Ефрат,,
Порт-Блэр,Аندаманские и Никобарские острова,Необходим перевод?,,,Бангла-Бей
Нантонг,Джянсу,ТЖ,Джангсец,,
Красный,Республика Тыва,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Джейнсэй,,
Виктория,Британская Колумбия,КДН,,,Тихоокеанский океан
Эспоо,УусИММА,SF,,,Балтийское море
Джинань,Шаньдун,ТЖ,Хванго,,
Калуга,Каловская область,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Ока,,
Шарджха,аш Шариках,ЕАЭ,,,Персидский залив
Оран,Алжир,ДЗ,,,Средиземное море
Оффенбах-на-Майне,Гессен,"Добро пожаловать в наш чат-бот! Я с радостью помогу вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я постараюсь дать точный и естественный перевод.",Основная,,
Лозанна,ДВ,ЧХ,,Озеро Леман,
Мапуту,Мапуту (город),МОК,,,Индийский океан
Малакал,Аали и Нил,СУД,Белый Нил,,
Икицос,Лорето,ПЕ,Амазонка,,
Палермо,Сицилия,я,,,Средиземное море
Вад-Мадани,Нил аль-Асрак,СУД,Блю Нил,,
Гоаати,Ассам,Необходим перевод?,Брахмапутра,,
Брастск,Иркутская область,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Ангара,,
Уксуру,Кена,ET,Нил,,
Уругвай,Рио-Гранде-ду-Сул,Бр,Уругвай,,
Сент-Луис,Миссури,США,Миссури,,
