name,area,depth,altitude,type,river,longitude,latitude
озеро Танганьика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Лахер Мар,3.3,53.0,275.0,кальдера,,7.3,50.4
Озеро Верхнее,82103.0,405.0,184.0,,,-87.37,47.7675
Озеро Кабора-Басса,2800.0,,326.0,искусственный,Замбеци,32.7,-15.6
Кратер-Лейк,53.2,594.0,1883.0,кальдера,,-122.1,42.9
лагуна Мар-Чикита,5770.0,19.0,71.0,соль,,-62.67,-30.5
Сильян,290.0,134.0,161.0,воздействие,Оестердаляलव,14.8,60.85
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Озеро Кебан,675.0,,,,Ефрат,38.75,38.8
Озеро Бангвелюл,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Каллавеси,472.0,,,,Вуокса,27.7,62.9
Имя: Нам Ко,1855.0,125.0,4718.0,соль,,90.55,30.7
Озеро Ньос,,208.0,,кальдера,,10.3,6.44
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Киога-но-си,1720.0,5.7,914.0,,Виктория Нил,33.0,1.5
Озеро Тёрканья,6405.0,73.0,375.0,соль,,36.1,3.6
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
Озеро Чапала,1685.0,12.0,1520.0,,Рио Лерма,-103.05,20.22
Озеро Руква,5760.0,5.0,800.0,соль,,32.35,-8.0
Мбакау,,,,искусственный,Санага,12.75,6.4
Оzero Балчаш,18428.0,26.0,342.0,соль,,74.88,46.55
Сальар-де-Уни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Озеро Гурон,59600.0,229.0,176.0,,Детройтская река,-82.44,44.795
Инари,1040.0,92.0,119.0,,Пацьоски,27.7,68.95
Озеро Онтаріо,18960.0,244.0,75.0,,Река Святого Лаврентия,-77.96,43.695
Ойко Таймыр,4560.0,26.0,5.0,,,101.6,74.5
Озеро Браккьяно,57.0,160.0,164.0,кальдера,,12.2,42.1
Мертвое море,41650.0,378.0,-422.0,соль,,35.5,31.3
Тунерзее,48.3,217.0,558.0,,Ааре,7.716,46.69
Вэттерн,1900.0,119.0,88.0,,,14.5,58.3
Форт-Пек-Лейк,981.0,67.0,,искусственный,Миссури,-106.4,48.0
Пайяянне,1118.0,95.0,78.0,,Кюмеёки,25.4,61.5
Озеро Манату,104.0,,,,,-82.0,45.76
Озеро Комо,146.0,425.0,197.0,,Адда,9.3,46.0
Озеро Больчено,114.0,151.0,335.0,кальдера,,11.9,42.6
Озеро Тоба,1103.0,505.0,905.0,кальдера,Аша́н,98.8,2.6
Пирамидное озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Саимаа,4370.0,85.0,76.0,,Вуокса,28.0,61.3
Озеро Охрид,367.0,289.0,695.0,,Чёрный Дринь,20.7,41.0
Issyk-Кул,6236.0,668.0,1609.0,соль,,77.2,42.4
