desert,country,province
Дастэ-Маргох,Афганистан,Афганистан
Кысылкум,КАЗ,Кызыл-Орда
Такла-ма-кан,ТЖ,Шинжа́нь
Гоби,ТЖ,Нингся Хуизу
Каракум,ТМ,Мэри
Кысылкум,узб,Каракалыпогистон
Дашт-е-Лут,Я,Хорасан
Руб-аль-Хали,СА,Саудовская Аравия
Тенер,"Добро пожаловать в чат-бот для перевода! Я могу помочь вам перевести текст с английского на русский язык. Просто введите текст, который нужно перевести, и я предоставлю точный перевод. Вы также можете задать вопрос или попросить объяснить что-то конкретное. Давайте начнём!",Нигер
Эрг Игиди,ДЗ,Алжир
Руб-аль-Хали,Да,Ямен
Азоауд,ММР,Мали
Эрг Чеч,ММР,Мали
Руб-аль-Хали,ЕАЭ,Умм-эль-Кауайн
Моаве,США,Аризона
Мурункум,КАЗ,Жамбыл
Рин,"Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Астраханская область
Ферло,СН,Луга
Тенер,ЧЧ,Чад
Эрди Эннеди,ЧЧ,Чад
Ордос,ТЖ,Нэй-Монголь
Великая песчаная пустыня,Австралийский союз,Западная Австралия
Каракум,ТМ,Добро пожаловать! Как я могу вам помочь?
Моаве,США,Калифорния
Калаhari,Анг,"Квест-игра, выпущенная в 2015 году."
Красный центр,Австралийский союз,Северная территория
Стурт-Десерт,Австралийский союз,Северная территория
Сонора,США,Аризона
Фесан,LAR,Ливия
Кысылкум,узб,Джиззак
Эрг Игиди,ММР,Мали
Стурт-Десерт,Австралийский союз,Квинсленд
Нубийский пустыня,СУД,Аш-Шаркия
Чихуахуа,США,Техас
Кум Тег,ТЖ,Шинжа́нь
Сонора,МЕХ,Чихуахуа
Кысылкум,узб,Самарканд
Оуэйхи,США,Идахо
Ливийский пустыня,ET,Матурух
Калаhari,Y,Южный
Красный центр,Австралийский союз,Западная Австралия
Ливийский пустыня,ET,Эль-Минья
Калаhari,RБ,Ботсвана
Чихуахуа,США,Аризона
Сирийский пустыня,"Добро пожаловать в мой мир, где слова оживают и превращаются в волшебные мосты между языками! Я - ваш верный помощник, готовый перевести ваши мысли и идеи на понятный и точный русский язык. Давайте начнём наше увлекательное путешествие!",Иордан
Тар,Необходим перевод?,Хариана
Азоауд,"Добро пожаловать в чат-бот для перевода! Я могу помочь вам перевести текст с английского на русский язык. Просто введите текст, который нужно перевести, и я предоставлю точный перевод. Вы также можете задать вопрос или попросить объяснить что-то конкретное. Давайте начнём!",Нигер
Руб-аль-Хали,ЕАЭ,Рас-al-Хайма
Тане́зруфт,ДЗ,Алжир
Ливийский пустыня,СУД,Дарфур
Эрг Чеч,ДЗ,Алжир
Симпсон-десерт,Австралийский союз,Квинсленд
Руб-аль-Хали,ЕАЭ,Аль-Фуджайра
Моаве,США,Юта
Каракум,узб,Самарканд
Сирийский пустыня,Ирак,Аль-Анбар
Дашт-е-Лут,Я,Эсфахан
Руб-аль-Хали,ОМ,Оман
Уст-Урт,КАЗ,Мангышлак
Великий Викторийский пустыня,Австралийский союз,Южный Австралия
Великий Викторийский пустыня,Австралийский союз,Западная Австралия
Ферло,СН,Тамбаконда
Ливийский пустыня,ET,Бенни Суеф
Дашт-е-Лут,Я,Систан и Балучстан
Кольорадо-Плато,США,Колорадо
Калаhari,НАМ,Намибия
Тар,ПК,Пакистан
Симпсон-десерт,Австралийский союз,Южный Австралия
Койдам,ТЖ,Тибет
Намибия,НАМ,Намибия
Ригестан,ПК,Пакистан
Негов,Я,Южный
Азоауд,ДЗ,Алжир
Ригестан,Афганистан,Афганистан
Оуэйхи,США,Невада
Эрг Мактеир,РИМ,Маврикий
